fid,timestamp,text_language,SocialMediaChannel,transcript
18088451482635538,2025-06-15 00:54:45,en,INSTAGRAM,"  It's the simple things 🫶🏾 full body session + natures fruit will make a girl happy — whole time nothing was really wrong lol. I think I was the weather, working all week + waking up everyday at 4am. I just needed a slow day! & I did just that. Show up for you each day but be mindful to be easyyyy on yourself as well. It's a balance we all need ehplabs — post workout drink / energy amazon — shorts & jacket"
18332854465163869,2025-06-15 16:51:30,en,INSTAGRAM,"  Sunday brunch & things 🩷✨ 1. You're her, act like it sis 2. Summer smoothie season back in full effect 3. Really in my Pilates princess era 4. Lock in 5. Amazing event with amazonca 🤍 learned so much! 6. Sunsets > 7. Pre 5k run. I did that! 8. 30 min stair master challenge. We're almost at the finish line ladies 9. ☺ 10. My fav ehplabs oxyshred. Use code: stephbygift this month for a free gift at checkout! Access code to sale: HEAT 11. Pilates, Pilates, Pilates 12. Trying new things 🥊✨ 13. When you see your hard work > 14. chefleecateringtoronto meal prep 15. God is so good ♥ 16. 17. Cheers to continued growth ladies! Xo #sundayreset #sundaybrunch #godisgood #blessed #healthybalance #healthylifestyle"
18093405265611116,2025-06-16 23:25:23,en,INSTAGRAM,"  Glutes & Core but make it Hybrid Powered up with ehplabs Hectic High Stim Pre in White Gummy Bear flavor🍬 because when it's heavy weight and high reps, we need energy that doesn't play. This pre is stacked with: ⚡️ Alpha GPC & L-Tyrosine – for next-level focus and mind-muscle connection Beta-Alanine & Citrulline Malate – for endurance, pump, and performance 300mg Caffeine + Infinergy™ – clean energy without the crash This formula keeps me dialed in, locked on, and pushing max weight like it's light work 😮‍💨 Use code ALEXADUNN10 to save on your order & thank me later Now let's get into this glute + core burner: Barbell Back Squats – 4x8-10 reps (heavy AF) Dumbbell Bulgarian Split Squats – 3x12 each leg (glute isolation on 10) Hip Thrusts – 4x10-12 reps (max weight, no mercy) ⚡ Kettlebell Swings – 3x20 (explosive glutes, core stability) Dumbbell Reverse Lunges – 3x12 each leg (balance + burn) We're building strong glutes, a tight core, and real athletic power. Hybrid training blends strength, endurance, and movement—so you can lift like a savage, look like a baddie, and feel unstoppable DM me “HYBRID” to start your training journey with me And grab your pre with code ALEXADUNN10 at checkout for that extra edge. #HybridTraining #GluteWorkout #explore #DunnDealFitness #SincerelyAlexaTamar  #GluteGains #TrainLikeAnAthlete #GluteAndCore #EHPLabs #HecticHighStim"
17880481503226093,2025-06-20 16:31:15,en,INSTAGRAM,  Shoulders ehplabs ✨$OFF Code: stephaniepalma10 I appreciate yall for the support if you use my code • • • #reels #viral #explore #explorepage #fitness #fit #fitnessmotivation #gymvideos #gymgirl #fitmom #backday #back #upperbody #tips #instafit
18061758605189724,2025-06-20 16:32:40,en,INSTAGRAM,  resetting on my day off to feel like myself again #explore #explorepage #viral #dailyvlog #minivlog #resetwithme #resetday #dayinalife #diml ehplabs wellah.nutrition colgateus crest glowmode_official ecostyle_us nike planetfitness alaninutrition bloomsupps instacart stanley_brand dawndishwash vspink victoriassecret mariobadescu chipotle
18085117801778884,2025-06-21 17:38:21,en,INSTAGRAM,  Slow Saturday mornings are pleasantly lit ☀ Don't get caught slacking on your morning skin care routine Every essential in my video can be shopped in my amazon storefront 🔗 in bio tatcha goodmolecules eosproducts naturiumskin paulaschoice Workout Apparel: oneractive Soft Motion in Soft Black Thermogenic Fat burner: ehplabs Cosmic Blast EHPLabs dc: NIQUE #selfimprovement #morningroutine #5amclub #visionboard #glowuproutine #bodygoals2025 #dailyinspo #cleangirlaesthetic #contentcreatorlife
18033911843663255,2025-06-23 17:31:09,en,INSTAGRAM,  the glow up vibes are real before the gym✨ Shop the essentials in my amazon storefront 🔗 in bio Essentials: naturiumskin eosproducts saltair thrivingymwear ehplabs OxyShred dc: NIQUE #selfimprovement #morningroutine #5amclub #visionboard #glowuproutine #bodygoals2025 #dailyinspo #cleangirlaesthetic #contentcreatorlife
18096482977594406,2025-06-24 17:00:00,en,INSTAGRAM,  4AM morning routine too easy 🥱 it's the having to leave the gym that's the hardest part! My pre gym glow-up routine though ✨ You can find the essentials in my amazon storefront 🔗 in bio Gym fragrance: soldejaneiro Lip masque: naturiumskin Fat burner: ehplabs  dc - NIQUE Workout set: oneractive Shoes: newbalance Deodorant: dove #selfimprovement #morningroutine #5amclub #batonrougeinfluencer #glowuproutine #bodygoals2025 #dailyinspo #cleangirlaesthetic #contentcreatorlife #dovepartner #
18565634815017626,2025-06-24 21:57:01,en,INSTAGRAM,"  Day 1 of my period usually = no gym for me I'm quick to just count the whole day out without even trying… but yesterday I told myself, “Just go. See how you feel.” And honestly? I'm so glad I did. I sipped on some oxyshredenergy and made a period-friendly leg day using just a bench + dumbbells. No jumping, no rushing, no moving all over the gym just slow, intentional movement in one spot. Light weight, 8–10 reps, and a lot of grace. To my girls who feel bloated, tired, or discouraged this week, try moving with your body, not against it. You don't have to push heavy to feel proud. Just showing up is enough. ehplabs | summer sale is live!! Link in bio<3 code JENNIGIFT @ checkout for a free gift #gym #gymgirl #period #periodworkout #girlthings #girls #motivation #discipline #mindset #explorepage"
18071628455057262,2025-06-27 07:07:34,en,INSTAGRAM,"  I've realised that wellness is all encompassing; it's how active you are, what you consume, how you sleep & how you rest. As you get older, the need to cater to every aspect increases and you have to find a way to ensure that no one suffers, this is my own way, these are the supplements I consume every morning & by the almost empty containers, you can tell I actually live by them & not just making content 😌 I've never liked swallowing pills 💊 especially as a daily routine even though “it's just supplements”. I won't swallow a 💊 if I don't have to, so for everything, I always ask “is there a drink for it” & pray it's not nasty, so far so good! …. This goes for my night time routine as well🤓 gosh I need to restock🥺🥺🥺 ehplabs oxyshredenergy_usa bragg earthscreationnigeria tetleyusa twiningsusa stanley_brand #shein #nike #puma #fashionnova #6ft1tallgymgirl #gymfashion #comfygymwears #fashionnovababe #skechers #asos #braggapplecidervinegar #fabletics #gymwearambassador #gymshark #ephlabs #explore #ltk #ltkstyletip #amazon #lapura #stanleybrand #stanleycup #oneractive #gymgirlie #goldsgym #locs #sisterlocs #earthscreations products will be linked on my LTK shop in my bio"
18072389128799310,2025-06-29 22:10:33,en,INSTAGRAM,"  I always enjoy evenings like these Took time to just be alone, enjoying my own company and watching the beautiful sunset. It's these days where I truly appreciate life. Didn't think I would be here 5/6 years later. Building a life with Jesus, taking care of my body, healing, and feeling true peace. I encourage you ladies all the time to slow down and take time for yourself. If you're ready to transform your life, my 6 week challenge is going to be closing today! Sign up now ! COMMENT “READY” 🌸🌸 or tap link in my bio! OXYSLEEP knocked me outtt this is by far my fav product to whine down and get a goodnight sleep! ehplabs code LILYFITGIFT (sale ends soon) Wearing womensbest code LILYR Wearing a M in everything! Everything on sale rn (: Bibles linked on my amazon storefront Shopping at costco + sprouts Cleanser cetaphil Body scrub treehut Skincare larocheposayusa"
17944476335888009,2025-07-02 16:39:08,en,INSTAGRAM,  10 essentials for gym baddies: leg day edition ♡ I thought I'd share some of my favorite items I use and keep close by when leg day is approaching • lifting straps from aybl code JAYME • gym bag from gymshark code JAYME • beatsbydre studio pros • stanley_brand quencher protour flip straw tumbler • leg day bundle & lifting gloves can be found in my amazon storefront • ehplabs oxyshred code JAYME (also in my storefront) • converse classic high tops • tripod from amazon also in my storefront what are some of your fav leg day essentials? #fitnesstips #workouttips #legdayessentials #gymessentials #gymessentialsforwomen #workouteqipment #workoutequipmentforwomen #fitnessmotivation
17842480137531931,2025-07-02 17:41:31,en,INSTAGRAM,  Health is wealth bpnsupps honeystinger bloomsupps optimumnutrition ehplabs amazon nutricost_official
