fid,timestamp,text_language,SocialMediaChannel,transcript
1413475698959824_1082466810407588_AD99ABC6CF699634FDF10C0EA878573BZZ,2025-06-18 02:39:47,en,FACEBOOK,"  LaVerna VanDan She earned more money, paid more into Social Security, and probably took it later than you did. People who take it early lose 8% per year. People plan differently. I get about the same a month in Social Security as she does, and I get two monthly state retirement checks as well."
1413475698959824_1082466810407588_2A0054E49B3383F9C1D1F3CD27ED8307ZZ,2025-06-19 04:36:53,en,FACEBOOK,"  LaVerna VanDan you might qualify for some SSI, Supplemental Security Income even though you're getting Social Security Retirement. Google ""can I get SSI even if I'm getting Social Security Retirement."" It might be $300 or more, you can thank me later."
1413475698959824_1082466810407588_622D0D4CAC9742C2E3FD13D30037328BZZ,2025-06-19 04:41:22,en,FACEBOOK,"  LaVerna VanDan I just looked it up if you Social Security Retirement is less than $987 then you could get $187 more in SSI benefits. It will go up in January so you could get a couple hundred. Please look into it, there's no reason you shouldn't qualify."
mov_537AED09287A75EB8D671B10EC17DBDD,2025-06-24 00:07:54,en,WEB,"  “Faith. Family. Football.” Those are the three pillars that Russell Wilson lives by. Despite his football fame, Wilson has always made time for family and celebrated every little milestone with them. Don Vito Corleone once said that a man who doesn't spend time with his family can never be a real man. And that's not just an iconic movie quote. For Wilson and his new Giants crew, that seems to be code to live by. Following his QB's routes off the field, the man who came to New York to take the reins from Saquon Barkley is carving out a similar story for himself. For Giants' RB Tyrone Tracy Jr., his family has been the driving force behind his rise to NFL glory. From his mom, Laverna's rallying war cry of “Go Tracy! Go Tracy!” to showing up with a tee that sported a Rise up 'Tracy Boys' print, she's done it all. Even his dad, Tyrone Tracy Sr., would take the whole fam to different national tournaments as vacations. Even Tracy Jr.'s brother, Javon, had once noted, “we've probably been to about 35 states that were just straight sports.” And that driving force is helping him run routes on the gridiron now. As per the latest post on the NYGiants IG page, “Family is everything for Tyrone Tracy Jr. ” In a heartfelt clip featuring Tracy, he talked about the bond with his family, and how they've been with him every step of the way. “All of my memories is really surrounded by family. Anytime we got together, we always was laughing and creating memories. I was raised by both parents in my house. I have three brothers. My parents didn't miss a game. Like, we all play sports. They didn't miss a thing. They was always there.” Tracy also talked about how his mom kept the whole family grounded in faith. Expand Post Tracy Sr. worked two jobs, one as a FedEx Driver and the other as the owner of Tyrone's Lawn Service. He still managed to be there for every single game for his boys, with Laverna cheering them on by his side. And for his fam, Tracy Jr. has a singular mission that he's carving out in his career. As he put it, “Every time I go on this football field, like, I see my family in the stands or watching it on TV or whatever. Like, I'll make sure that they hear my name or come across that screen. – I want them to reap each and every benefit that I have. Like, that's my why. – I want to prove the people that believed in me since day one. I want to prove every single one of them right every time I step on the football field.” After Barkley left for Philly last year, the Big Blue had David Singletary and Tracy Jr. to fill the gap. In his rookie year, Tyrone posted clean numbers with 192 carries for 839 yards. Add to that 5 TDs and even a tackle, and the man looks promising. With his family driving him to greatness, will he be able to make the Giants forget the ghosts of the past? While Tyrone works to make that a reality, his QB already has a designated weapon to deliver blows with this season. Russell Wilson's weapon of choice for the season Coming away from Steel City, Russell Wilson had quite a few reasons to land with the Giants. Getting to work with the mind of HC Brian Daboll certainly has its perks. There's also the added incentive of a chance to bring the fifth Lombardi Trophy to New York. But the biggest reason for Wilson being in New York was a single name. WR Malik Nabers. As Wilson had noted at the Fanatics Fest recently, “You know, I came here because of him. Big reason of it. You know, I really wanted to play with a guy special like him.”..."
1940031474830651901,2025-07-01 12:55:22,en,TWITTER,"  Laverna and Tyrone Sr. raised 4 incredible young men. Absolutely amazing family full of hard work, love and positivity. Awesome of the @Giants to share @TyroneTracy story #DecaturProud"
170473136030_1125354406291775_A7CBB8C31B886EC61C46FC8543BB84E1ZZ,2025-07-01 22:14:52,en,FACEBOOK,"  LaVerna Davis let me give you some more facts you can push to the side to fit YOUR narrative. The Institute on Taxation and Economic Policy found that undocumented immigrants paid $96.7 BILLION in federal, state, and local taxes in 2022— that's over $8,800 PER person—including payroll taxes for Social Security and Medicare. A 2007 Congressional Budget Office review stated that, over the long term, immigrants (BOTH legal and unauthorized) pay more in taxes than they consume in public services at the national level."
170473136030_1125354406291775_F479A0D1B19766BB5A99C94E1B7EB79CZZ,2025-07-01 22:36:56,en,FACEBOOK,"  LaVerna Davis I don't get medicaid, food stamps or nothing. I don't want to see people in our community loose jobs. Our taxes are paying for congress salaries and benefits,  they never seem to do anything about them except give themselves raises. I  don't know one person, who pays taxes on social security,  must be some that makes big bucks besides it. I appreciate you asking me out of all the comments,  which was on some one else's post, not yours. And love how you liked your own post 😆 Have a great day. p.s. I am an American,  I've worked my whole life,  until I retired, without any assistance from the government. But some people really need a helping hand sometimes,  I hope you never have to find out first hand."
170473136030_1125354406291775_7C2F5B31CB1F27921A62FBB8D4271858ZZ,2025-07-02 00:11:47,en,FACEBOOK,  LaVerna Davis okay just to tell you a couple things no taxes on overtime well you will be taxed every week at the end of the year if you qualify you'll get a credit. No taxes on tips unless they're cash tips they will still be taxed. No taxes on social Security the only person that helps is people who made a whole lot of money because they were the only people taxed to begin with. And Medicaid trust me you must not know anybody that has children or middle or lower class middle class that uses Medicaid because those are the people being cut the illegals are all being thrown out of country by masked men. So before you go Spouting about how great this is you really need to think it through
170473136030_1125354406291775_92D4F7007C789CA58C5AA3195A03D340ZZ,2025-07-02 00:35:16,en,FACEBOOK,"  LaVerna Davis you must not be paying attention lol. There is still tax on social security, just a higher threshold. There is still tax on tips, it just can't knock you into a higher tax bracket. It sure will take away a bunch of Healthcare and the major tax breaks are mainly for the top 20% of earners...but yes.... the rest of us will get some tax breaks....and 2-5 trillion more debt..."
mov_E8CE097924A710CE878B7FF064B26DA9,2025-07-02 18:12:00,en,WEB,"  Today is Day 182 of sharing my Daily Food Diary. This month, my focus is on COLLAGEN. Since I am celebrating my 70th birthday later this month, this focus was a natural for me. Most people recognize collagen for it's role in skin and hair care - especially as we age. But college affects far more that our skin and hair - as noted in this quotation taken from an online article posted by The Cleveland Clinic. https://share.google/YSN7onJmkUuvxPbQc     ""Collagen is the most abundant protein in your body. It accounts for about 30% of your body's total protein. Collagen is the primary building block of your body's skin, muscles, bones, tendons and ligaments, and other connective tissues. It's also found in your organs, blood vessels and intestinal lining."" Collagen production tends to decrease as we age so this is naturally when most people start to notice it (or the lack thereof). Genetic conditions, such as  Ehlers Danlos syndrome (some forms of which are life threatening),  create collagen challenges from birth. When collagen levels are inadequate to function as they should, all kinds of fun things can happen to make life interesting. There are the obvious wrinkles, thinning hair, and fragile nails. There are the  unstable joints and weakened muscles which create mobility and dexterity issues. There are circulation and breathing issues as  blood vessels and airways lose elasticity and stability. There is even  vertigo caused by the weakness of the connective tissues that are supposed to be supporting the small bones in our inner ears. There is pain, often excruciating pain, from muscle cramps to migraines to intestinal issues and more. (Fortunately pain is something that seldom  affects me, personally). There is no magic pill or medical intervention available to 'fix' collagen synthesis deficiencies. For now, the only treatments available deal with  managing the symptoms and  the health issues caused by the collagen failure. But, there is good news! A lifestyle focussed on exercise, diet, and stress management can do a lot to increase collagen production and efficiency in our bodies - especially if aging or benign collagen disorders is the root cause. Since this blog is my Daily Food Diary, I will be highlighting foods that are rich in collagen and foods that support collagen synthesis within our bodies. Because much of my Health and Wellness Journey, that I started three and a third  years ago, involves fitness and stress management, I will be touching on them regularly as well - especially as they relate to collagen production and dealing with collagen deficiency issues. Me and our dog Molly, who is a BIG part of my fit & healthy lifestyle. Daily Food Diary - Day 182 of 365     Breakfast:      (1) c coffee (2)     (1) tsp butter (34)     (1) tsp olive oil (40)     (1) c homemade hash browns (80)     (2) eggs (160)     (2) oz ham (160)     (2) green onions (16)     Snacks:     (1) apple (95)     (1/3) c mixed nuts (216)     (1/6) c dry roasted peanuts (131)     (48) oz water     Supper:     (1) c pork fried rice - pork, rice, celery, onion, mushrooms *, soya sauce, olive oil, butter  (363)     (2) c chicken stir fry - chicken, red onion, red pepper, carrots, mushrooms*, Bok choy, cabbage, garlic, olive oil, teriyaki sauce (264)     (12) oz carbonated water     *There are specific types of mushrooms, such as Shiitake mushrooms that do help with collagen synthesis. Total Net Calories: 1208      Net calorie goal: 1229 - 1208 = 21 under      That's it for today. Take care and have a great day! Our first Laverna blossom"
