fid,timestamp,text_language,SocialMediaChannel,transcript
UgzrfYmcciLo4GqB9vt4AaABAg,2025-07-14 21:17:46,en,YOUTUBE,"  After prime day sales week, I realized that a lot of the stuff I had in my cart is ""great"" to have (books, bras, affordable skincare) but I should really wait until next sale (maybe november or even next year's prime sale). I instead invested in some of the things that are more so a necessity (like my dentist wants me to use an electric toothbrush so I finally made the switch when it was 50% off) and that I'll be able to use long term + feel good about it. My probiotics that I already take were also on sale so I was able to skip next months shipment and save 10 dollars in that department. You really taught me what financial health means and how I can be so much more mindful about what ""saving money"" actually means as a consumer. I didn't know that I was actually spending more in order to get the complimentary ""gift card"" or fulfill the requirement for the sale but in actuality, I'm spending more on things that I'll just hoard and never use. It felt so good to give away some of the stuff I've been hoarding and to focus on using up the products I already opened. I think now it matters more to just be consistent with the products I currently have and it will still fulfill the same benefit I would've gotten if not better than from a new fancier product (for example the cheaper body lotions and body washes). I'm of course not perfect when it comes to lip products because I'm a sucker for 5$ glosses or lip oils but I'm teaching myself that I'm maxed out and don't need anymore lip products. PS last year I was really impressed from testing out the Necessaire body lotion at sephora. I remember it felt so luxurious putting it on my hand but now that I'm almost done with the 13.5 oz bottle, it really didnt make that much of a difference compared to my other body lotions . It was still nice and beneficial to use but not worth the 40 bucks at all"
1945094779286819277,2025-07-15 12:15:08,en,TWITTER,  Hii - Naturium Skin Renewal Retinol Lotion - Olay Nighttime Retinol Lotion - Paula's choice Retinol skin smoothing body treatment - Versed Restart Retinol lotion - Necessaire the body retinol Sunscreen - Bondi Sands SPF 50 (the big size) - Sol De Janeiro Rio Radiance SPF 50…
17909781684177443,2025-07-16 02:23:32,en,INSTAGRAM,"  When everyday feels loud, take time to get quiet and start fresh with a reset. Favorite everyday skincare products are currently necessaire"
43896752783_1365142581636302_D9C62CB33955BE570B9EE77E7C17B9A2ZZ,2025-07-16 11:42:32,fr,FACEBOOK,"  Qu'on supprime l'ame, le RSA maxi 5 ans. On taxe le CAC 40, baisse le salaires des ministres et députés. On arrête d'aider les pays étrangers......et il doit y avoir encore plein de petit trucs.....la prime de Noël,  pas necessaire. Les 40 euros par jours aux étrangers...."
58305334711_1186343280206697_1C6E351AC8E0ACF4ECEFC6D9C503BA80ZZ,2025-07-17 09:28:34,fr,FACEBOOK,"  Une autre chose m'a choqué dans le discours de Bayrou !!! Le Lundi de Pâques n'aurait rien de religieux !!! 😲😲😲   Quand on a mis ses enfants dans des écoles religieuses ( sans doute pour mieux leur faire supporter humiliations et mauvais traitements afin de leur enlever tout complexe plus tard ), on devrait avoir un peu plus de connaissance en ce domaine !!! C'est déjà oublier qu'à l'origine, c'était la semaine complète qui était fériée !!! Nous avons déjà perdu 4 jours sur cette semaine SAINTE .... Pourquoi ne pas commencer par supprimer les 3 jours fériés supplémentaires dont bénéficient les 3 départements de l'ancien protectorat allemand ???? Lorsque nous n'en aurons plus que 9 .... eux en auront toujours 12 !!! C'est cela l'égalité au sein de la république française ??? Pourquoi ne pas remettre au même niveau que nous leurs cotisations et prestations sécurité sociale ??? Pourquoi ne pas supprimer le 14 juillet, symbole de 1789, qui n'a jamais aboli le privilège d'être pauvre ???? Ce défilé ( je ne parle pas de nos militaires mais des ronds de cuir grassement à la charge de nos impôts ) de m'as-tu-vus prétentieux qui viennent s'engraisser pour la semaine à la Garden Party !!! Combien serait économisé s'il n'y avait plus toute cette gabegie d'argent issue de nos impôts ??? Réduction de fonctionnaires ? Pourquoi s'attaquer au régalien NECESSAIRE à notre fonctionnement et où des coupes drastiques ont déjà été faites !!! Pourquoi ne pas supprimer certaines strates inutiles mais remplies de fonctionnaires territoriaux, seule catégories qui a fortement augmenté ces dernières années à cause de la multiplication de ces strates et où l'absentéisme est le plus élevé ?? Je vise par là les ARS, les grandes régions, etc .... qui ont été créées juste pour placer quelques copains en manque de mandats et retraites supplémentaires !!! Vivez-vous mieux depuis ? Ont-elles amélioré votre mode ou rythme de vie ?"
17967344444782053,2025-07-19 00:13:27,en,INSTAGRAM,  @necessaire sunscreen ftw
1946549877837541600,2025-07-19 12:37:10,fr,TWITTER,"  @thesecondmouse2 Je trouve que le ton de la réponse est bien trop radical par rapport au message de départ. Il exprime son ressenti, et c'est aux dirigeants de retenir ce qui leur paraît pertinent. Cela donne aussi aux RH une idée de ce que pensent certains employés et de corriger si necessaire."
18073213318955734,2025-07-19 12:58:16,en,INSTAGRAM,"  Scent of the Day: lelabofragrances - Eucalyptus 20 layered on top of necessaire body wash and lotion (Olibanum/Frankincense fragrance). Eucalyptus 20 Fragrance Notes: Top - Eucalyptus, Cedarwood Middle - Labdanum Bottom - Musk, Frankincense My experience with this combo actually began with trying the Necessaire deodorant in Olibanum. It works so well, and I immediately went crazy over the fragrance. After sampling the body lotion at Sephora, I knew this line was one day going to become one of my regular rotations. This is a Frankincense-based fragrance beautifully blended with vanilla, fig leaf, and cassis buds. As a lover of fig fragrances, this is a great base for layering. It's woody, warm, and slightly sweet. I took advantage of the Amazon Prime Day sale and got these highly discounted. After hearing oliviaolfactory review Eucalyptus 20 a while back, it sounded like a must-sample. While I never did get to initially sample the fragrance, this perfect little discovery set was available for the nordstrom Anniversary Sale, allowing me to also enjoy Santal 33 and Another 13 (thanks Mom for the birthday gift card!) . Oddly enough, eucalyptus isn't the star of the show, more like a supporting role. It's a fresh eucalyptus and not medicinal in the least. The combination of frankincense and cedarwood create a deeply grounding aroma that evokes memories of incense at a midnight Catholic mass during childhood. Have you tried any of these products? If so, please let me know what you think in the comments. #lelabo #nécessaire #fragrance #nordstrom #sephora"
1946604752508182977,2025-07-19 16:15:13,de,TWITTER,"  SPR_COMBO[de]@dirkdigweed @EgonMusth Ist denn die heutige #schulrechtschreibung marktfähig? «69 Prozent der Deutschen schreiben Rhythmus falsch. Noch größere Mehrheiten scheitern an Portemonnaie, Hämorrhoiden und Necessaire. » Von gross/klein nicht zu reden, wie man auch bei @dirkdigweed sieht! https://t.co/eLCxgDCoQL"
1946662377359098119,2025-07-19 20:04:12,pt,TWITTER,"  ✨ Direto do mundo mágico pra sua necessaire! 📦Harry Potter Balm Labial Marrom Quem Disse, Berenice? De: R$54,90 Por: R$27,45 🔥 É metade do preço e 100% feitiço de beleza! ✨💋 🛒🤍 Compre agora  👉🏾https://t.co/86M4MEYqln — Oferta Amazon por tempo limitado.… https://t.co/3muPhj1iyq"
