fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1939857002693632278,  ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica ... https://t.co/SsL7TNAPnX #Amazonギフトカード,ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica ...,2025-07-01 01:22:04,ja,TWITTER,Amazonギフトカード,,,87d639ad20fcd4f3912c62561c164600,cluster_1,True,64,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/SsL7TNAPnX), which suggests a potential affiliate or product link
- Includes specific product details (Anua Azelaic Acid 15% Intense Calming Serum)
- Uses a pr","['https://t.co/SsL7TNAPnX),']",False,,,
1939865677608964222,  ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica ... https://t.co/M5u88C6s9m #Amazonギフトカード,ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica ...,2025-07-01 01:56:33,ja,TWITTER,Amazonギフトカード,,,87d639ad20fcd4f3912c62561c164600,cluster_1,False,64,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/SsL7TNAPnX), which suggests a potential affiliate or product link
- Includes specific product details (Anua Azelaic Acid 15% Intense Calming Serum)
- Uses a pr","['https://t.co/SsL7TNAPnX),']",True,True,Medium,2.479971408843994
1939872440584380856,  [Qoo10] アヌア 【新発売】 Anua ビタミン10 PORESTRIX™セラム メガポ期間中、ビタミンCセラムのご購入で ビタミン15 ポアクリアクレンジングバーム(現品)をプレゼント🎁 とのことで予約しました✌︎('ω')✌︎ https://t.co/tl0B8H8wiI #Qoo10,[Qoo10] アヌア 【新発売】 Anua ビタミン10 PORESTRIXセラム メガポ期間中、ビタミンCセラムのご購入で ビタミン15 ポアクリアクレンジングバーム(現品)をプレゼント とのことで予約しました('ω'),2025-07-01 02:23:25,ja,TWITTER,Qoo10,,🎁™✌,af63e6d47bdb286dd4b0592f7c8511da,,False,1,True,Affiliate,Medium,False,"- Contains specific product details about Anua Vitamin 10 PORESTRIX™ Serum
- Mentions a promotional offer/gift with purchase on Qoo10 platform
- Includes platform-specific promotional details (mega pe",[],False,,,
1939873404095443233,  PR 話題の🍑 ANUA 「桃77ナイアシンエッセンストナー」 メイク前に使うと崩れにくいって マジ!? ✨ ➡ https://t.co/RX3M5SROAI 汗でメイク溶けるし、インナードライで 毛穴もパッカーンだよ😭… 夏スキンケアに迷ったら、 これかもしれない🍑✨ Amazon 韓国スキンケア 保湿 美肌ケア,PR 話題の ANUA 「桃77ナイアシンエッセンストナー」 メイク前に使うと崩れにくいって マジ!? 汗でメイク溶けるし、インナードライで 毛穴もパッカーンだよ… 夏スキンケアに迷ったら、 これかもしれない Amazon 韓国スキンケア 保湿 美肌ケア,2025-07-01 02:27:15,ja,TWITTER,,,🍑✨➡😭,4fc37ef95120cf81bc2fdcfa1c6c9c72,cluster_19,True,4,True,Influencer,Medium,True,"- Contains a direct product link (https://t.co/RX3M5SROAI)
- Mentions Amazon and includes product-specific details
- Uses enthusiastic language promoting the product's benefits
- Includes emoji and co",['https://t.co/RX3M5SROAI)'],False,,,
1939874339392004118,  ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica ... https://t.co/SsL7TNAPnX #Amazon,ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica ...,2025-07-01 02:30:58,ja,TWITTER,Amazon,,,87d639ad20fcd4f3912c62561c164600,cluster_1,False,64,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/SsL7TNAPnX), which suggests a potential affiliate or product link
- Includes specific product details (Anua Azelaic Acid 15% Intense Calming Serum)
- Uses a pr","['https://t.co/SsL7TNAPnX),']",True,True,Medium,2.479971408843994
17971050917872648,"  ANUA Heartfleaf 77% Soothing Toner 250ml MVR 290.00 Product Available for Instant Purchase A soothing toner formulated with Heartleaf Extract, designed to calm irritation and moisturize the skin. #1 Bestseller Facial Toner on Amazon HOW TO USE: Tone Up Your Routine 01 Cleanse your skin. 02 Apply to the face using a cotton pad or your fingers. 03 Gently pat it all over your face. 04 Apply in the morning and evening. Everyday toner infused with Heartleaf Extract.","ANUA Heartfleaf 77% Soothing Toner 250ml MVR 290.00 Product Available for Instant Purchase A soothing toner formulated with Heartleaf Extract, designed to calm irritation and moisturize the skin. Bestseller Facial Toner on Amazon HOW TO USE: Tone Up Your Routine 01 Cleanse your skin. 02 Apply to the face using a cotton pad or your fingers. 03 Gently pat it all over your face. 04 Apply in the morning and evening. Everyday toner infused with Heartleaf Extract.",2025-07-01 06:54:48,en,INSTAGRAM,1,,,6f03916bc9cb3fb9bbc4f256713b0578,,False,1,True,Brand_Official,High,False,"The comment contains multiple strong promotional indicators:
- Detailed product description
- Specific product name and price
- Explicit usage instructions
- Sales-oriented language (""Available for In",[],False,,,
1939957414268477467,  え？ このコスメ 過去１ヶ月でこんなに売れてるの？ 《Amazon》(PR) ANUA(アヌア)ドクダミポアコントロールクレンジングオイル200ml 毛穴 角質 皮脂 黒ずみケア →https://t.co/QTG2fcRaJq 人気デパコス 今日のメイク #コスメ購入品 #コスメ　(2025/07/01・17:0),え？ このコスメ 過去１ヶ月でこんなに売れてるの？ 《Amazon》(PR) ANUA(アヌア)ドクダミポアコントロールクレンジングオイル200ml 毛穴 角質 皮脂 黒ずみケア → 人気デパコス 今日のメイク (2025/07/01・17:0),2025-07-01 08:01:04,ja,TWITTER,コスメ購入品|コスメ,,,672298d1c55a7197388bdafd229eb6e8,,False,1,True,Affiliate,Medium,True,"- Contains a direct Amazon product link (https://t.co/QTG2fcRaJq)
- Includes ""(PR)"" disclosure indicating promotional content
- Uses product-specific hashtags (#コスメ購入品 #コスメ)
- Highlights specific prod","['https://t.co/QTG2fcRaJq)', '#コスメ購入品', '#コスメ']",False,,,
1939968188386553931,  Amazon #AD ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica 高密度美容液 azelaic serum 混合肌 オイリー肌 スキンケア 韓国美容液 韓国コスメ【公式・正規品】 https://t.co/AgTNlsGtfv,Amazon ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica 高密度美容液 azelaic serum 混合肌 オイリー肌 スキンケア 韓国美容液 韓国コスメ【公式・正規品】,2025-07-01 08:43:53,ja,TWITTER,AD,,,4e92a2493851b58f6d3e5ef632c1d8ee,cluster_13,True,5,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Contains #AD disclosure tag
- Includes Amazon affiliate link (https://t.co/AgTNlsGtfv)
- Detailed product description with marketing language
- Includ","['#AD', 'https://t.co/AgTNlsGtfv)']",False,,,
1939986131699081666,  ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica 高密度美容液 azelaic serum 混合 ▼Amazon https://t.co/LLwcIqbPPH #PR,ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica 高密度美容液 azelaic serum 混合 ▼Amazon,2025-07-01 09:55:11,ja,TWITTER,PR,,,fb09458c63996c4460c20c8cb9ccfa49,cluster_7,True,6,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Contains Amazon affiliate link (https://t.co/LLwcIqbPPH)
- #PR hashtag explicitly indicates promotional content
- Detailed product description with sp","['https://t.co/LLwcIqbPPH)', '#PR']",False,,,
1939992813401514161,  ANUA(アヌア)ドクダミ 77スージングトナー 250ml+ドクダミ80水分アンプル30ml+ドクダミ70インテンスカー... https://t.co/vUopNKbkzw #Amazon,ANUA(アヌア)ドクダミ 77スージングトナー 250ml+ドクダミ80水分アンプル30ml+ドクダミ70インテンスカー...,2025-07-01 10:21:44,ja,TWITTER,Amazon,,,73913a885af91273fa78f6a1b8a1295b,cluster_16,True,4,True,Affiliate,Medium,True,"The tweet contains a shortened URL (https://t.co/vUopNKbkzw) which appears to be an Amazon affiliate link, and includes specific product details for Anua skincare products. The tweet looks like a prod",['https://t.co/vUopNKbkzw)'],False,,,
