fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,cluster_id,is_representative,repetition_count,counterfeit_risk,has_ccr_risk,risk_level,risk_type,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1939937554045763637,  Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) Buy via Amazon --> https://t.co/02zDEClc9I https://t.co/HQZU2ZEfJi,Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Buy via Amazon -->,2025-07-01 06:42:09,en,TWITTER,,,,cluster_10,True,4,True,True,Low,Suspicious_source,"While the listing offers a discounted price on Amazon, the significant price reduction (from $107 to $65.90) could be a potential red flag for authenticity. The use of a shortened URL and Amazon link ","['""only $65.90""']",False,,,
1939962635585212774,"  Hello i've the same problem but I really need help. I ordered a Versace Eros perfume on Amazon, but I ended up canceling it. First of all, I didn't even know if the order had actually been canceled because I didn't receive any confirmation, and it's impossible to know if I'll get a refund.","Hello i've the same problem but I really need help. I ordered a Versace Eros perfume on Amazon, but I ended up canceling it. First of all, I didn't even know if the order had actually been canceled because I didn't receive any confirmation, and it's impossible to know if I'll get a refund.",2025-07-01 08:21:49,en,TWITTER,,,,,False,1,True,True,High,Amazon_fake_concern,The comment suggests potential authenticity and transaction reliability issues when purchasing a Versace Eros perfume on Amazon. The lack of order cancellation confirmation and uncertainty about refun,"['""Amazon""']",False,,,
1940165265511121226,  Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) Buy via Amazon --> https://t.co/02zDEClc9I https://t.co/YNMoXI6yvr,Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Buy via Amazon -->,2025-07-01 21:47:00,en,TWITTER,,,,cluster_10,False,4,True,True,Low,Suspicious_source,"While the listing offers a discounted price on Amazon, the significant price reduction (from $107 to $65.90) could be a potential red flag for authenticity. The use of a shortened URL and Amazon link ","['""only $65.90""']",True,True,Medium,2.4687845706939697
1940193452626489827,"  Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX https://t.co/GsXK55lvkl Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) https://t.co/GnybkRm8vk Get ready for Prime Day Sale (July 8-11) https://t.co/ywTJ9FsqhH","Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Get ready for Prime Day Sale (July 8-11)",2025-07-01 23:39:00,en,TWITTER,,,,cluster_3,True,30,True,True,Low,Suspicious_source,"The comment contains multiple red flags suggesting potential counterfeit or unauthorized sales:
- Significant price discount on Versace Eros Flame (from $107 to $65.90)
- Short URL links which can mas","['""Sale""']",False,,,
1940208553815326919,"  Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX https://t.co/GsXK55lvkl Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) https://t.co/GnybkRm8vk Get ready for Prime Day Sale (July 8-11) https://t.co/ES3bE59LUD","Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Get ready for Prime Day Sale (July 8-11)",2025-07-02 00:39:01,en,TWITTER,,,,cluster_3,False,30,True,True,Low,Suspicious_source,"The comment contains multiple red flags suggesting potential counterfeit or unauthorized sales:
- Significant price discount on Versace Eros Flame (from $107 to $65.90)
- Short URL links which can mas","['""Sale""']",True,True,Medium,1.940279960632324
1940210332871651597,"  Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX https://t.co/OLOyXVwrBi Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) https://t.co/Ffufroc9Mg Get ready for Prime Day Sale (July 8-11)","Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Get ready for Prime Day Sale (July 8-11)",2025-07-02 00:46:05,en,TWITTER,,,,cluster_3,False,30,True,True,Low,Suspicious_source,"The comment contains multiple red flags suggesting potential counterfeit or unauthorized sales:
- Significant price discount on Versace Eros Flame (from $107 to $65.90)
- Short URL links which can mas","['""Sale""']",True,True,Medium,1.940279960632324
1940223652353409342,"  Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX https://t.co/GsXK55lvkl Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) https://t.co/GnybkRm8vk Get ready for Prime Day Sale (July 8-11) https://t.co/vlDPy46bNi","Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Get ready for Prime Day Sale (July 8-11)",2025-07-02 01:39:00,en,TWITTER,,,,cluster_3,False,30,True,True,Low,Suspicious_source,"The comment contains multiple red flags suggesting potential counterfeit or unauthorized sales:
- Significant price discount on Versace Eros Flame (from $107 to $65.90)
- Short URL links which can mas","['""Sale""']",True,True,Medium,1.940279960632324
1940229994002723321,  Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) Buy via Amazon --> https://t.co/02zDEClc9I https://t.co/6e3Zxq1Cxy,Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Buy via Amazon -->,2025-07-02 02:04:12,en,TWITTER,,,,cluster_10,False,4,True,True,Low,Suspicious_source,"While the listing offers a discounted price on Amazon, the significant price reduction (from $107 to $65.90) could be a potential red flag for authenticity. The use of a shortened URL and Amazon link ","['""only $65.90""']",True,True,Medium,2.4687845706939697
1940238751210279296,"  Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX https://t.co/GsXK55lvkl Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) https://t.co/GnybkRm8vk Get ready for Prime Day Sale (July 8-11) https://t.co/uC0Rs0PzdD","Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Get ready for Prime Day Sale (July 8-11)",2025-07-02 02:39:00,en,TWITTER,,,,cluster_3,False,30,True,True,Low,Suspicious_source,"The comment contains multiple red flags suggesting potential counterfeit or unauthorized sales:
- Significant price discount on Versace Eros Flame (from $107 to $65.90)
- Short URL links which can mas","['""Sale""']",True,True,Medium,1.940279960632324
1940248654327292042,  Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) Buy via Amazon ⬇️ https://t.co/Ffufroc9Mg,Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Buy via Amazon,2025-07-02 03:18:21,en,TWITTER,,,⬇️,,False,1,True,True,High,Amazon_fake_concern,"While the listing appears to be on Amazon and offers a discounted price, there are some potential red flags. The significant price reduction (from $107 to $65.90) could indicate a potentially unauthor","['""Buy via Amazon""']",False,,,
