fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1939838894343635426,"  SPR_COMBO[es]Colgate Sensitive Pro Alivio Inmediato - Pasta Dental para dientes sensibles, Alivio Rápido y Duradero, Limpieza Dental Intensiva, 75 ml se pone de 142 a 48 pesos (62% de descuento) https://t.co/BXIZcCxgan","SPR_COMBO[es]Colgate Sensitive Pro Alivio Inmediato - Pasta Dental para dientes sensibles, Alivio Rápido y Duradero, Limpieza Dental Intensiva, 75 ml se pone de 142 a 48 pesos (62% de descuento)",2025-07-01 00:10:07,es,TWITTER,,,,093976a2c43b6b604608d30cfcf4deab,,False,1,True,Affiliate,High,True,"Contains direct product details, specific pricing information, and a shortened URL suggesting an affiliate/sales link. The comment is specifically highlighting a product discount and providing a purch",[],False,,,
1939923756425564192,  Colgate Optic White Overnight Teeth Whitening Pen @ Amazon https://t.co/dS1KpZbRXT,Colgate Optic White Overnight Teeth Whitening Pen @ Amazon,2025-07-01 05:47:20,en,TWITTER,,,,bc5c65b8226eb4e5fa1bc1a09c6ec8eb,cluster_39,True,2,True,Affiliate,High,True,"Contains direct product link to Amazon with specific Colgate product, which strongly suggests affiliate marketing intent. The comment is a pure product link without personal context or user experience",[],False,,,
1939923761744011653,"  Colgate Optic White Whitening Mouthwash, 2% Hydrogen Peroxide, Fresh Mint, 32 Oz, 3 Pack @ Amazon https://t.co/Vhndjswioz","Colgate Optic White Whitening Mouthwash, 2% Hydrogen Peroxide, Fresh Mint, 32 Oz, 3 Pack @ Amazon",2025-07-01 05:47:21,en,TWITTER,,,,e9f9bdd197ed267377abc4de66a07c65,cluster_35,True,2,True,Affiliate,High,True,"The comment contains a direct Amazon product link for a specific Colgate product with precise details, which strongly suggests an affiliate marketing attempt to drive product sales through a trackable",[],False,,,
1939925242132000963,  SPR_COMBO[zh]Colgate 高露洁夜用牙齿洁白笔 @ Amazon https://t.co/op1Ujmv23r,SPR_COMBO[zh]Colgate 高露洁夜用牙齿洁白笔 @ Amazon,2025-07-01 05:53:14,zh,TWITTER,,,,ebad67be3eb56b6bad29135e435caae8,cluster_40,True,2,True,Affiliate,Medium,True,"- Contains a direct product link to Amazon
- Specific Colgate product mentioned (夜用牙齿洁白笔 / night tooth whitening pen)
- Uses shortened URL which suggests potential affiliate tracking
- Written in Chin",[],False,,,
1939925246930231516,  Colgate 亮白洁净漱口水 32oz 3瓶装 @ Amazon https://t.co/zj83zyHPiI,Colgate 亮白洁净漱口水 32oz 3瓶装 @ Amazon,2025-07-01 05:53:15,zh,TWITTER,,,,b2aecf46e7c671b097f631735e207526,cluster_14,True,3,True,Affiliate,Medium,True,"- Contains an Amazon product link (potential affiliate tracking)
- Specific product details (Colgate whitening mouthwash, 32oz, 3-pack)
- Direct link to purchase location
- Uses shortened URL (potenti",[],False,,,
1939927073474101271,  Colgate 高露潔夜用牙齒潔白筆 @ Amazon https://t.co/FljU5D9bbb,Colgate 高露潔夜用牙齒潔白筆 @ Amazon,2025-07-01 06:00:31,zh,TWITTER,,,,9587a240995c827cb0a73ac4789b59dc,cluster_19,True,3,True,Affiliate,Medium,True,"Contains a direct Amazon product link (https://t.co/FljU5D9bbb) for a specific Colgate product, which suggests an affiliate marketing intent. The comment is in Chinese and appears to be directing user",['https://t.co/FljU5D9bbb)'],False,,,
1939927078641500560,  Colgate 亮白潔淨漱口水 32oz 3瓶裝 @ Amazon https://t.co/bwh8wEnOv6,Colgate 亮白潔淨漱口水 32oz 3瓶裝 @ Amazon,2025-07-01 06:00:32,zh,TWITTER,,,,7b74aec069db5db87b6a4c85dd47e94c,cluster_13,True,3,True,Affiliate,Medium,True,"- Contains a direct product link to Amazon (potential affiliate link)
- Specific product details (Colgate whitening mouthwash, 32oz, 3-pack)
- Shortened URL suggests tracking/affiliate link
- Appears ",[],False,,,
1939971757969944718,  Colgate Toothpaste @ Upto 56% Off https://t.co/IZrwG0EZAg,Colgate Toothpaste @ Upto 56% Off,2025-07-01 08:58:04,en,TWITTER,,,,4c03a1c89dfeadfb543a7df7eb2047c2,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct product mention (Colgate Toothpaste)
- Explicit discount offer (Up to 56% Off)
- Shortened URL link (potential affiliate/tracking ",[],False,,,
1939971930448097548,  🎉 Colgate Optic White Expert White Beyazlatıcı Diş Macunu 75 ml 🎉 💰 Fiyat: 143.09 TL 🔖 Eski Fiyat: 190 TL 📌 Kaynak: amazon 🔗 https://t.co/VyFYQIj308 #işbirliği ❤ https://t.co/wryGbPeKr4,Colgate Optic White Expert White Beyazlatıcı Diş Macunu 75 ml Fiyat: 143.09 TL Eski Fiyat: 190 TL Kaynak: amazon,2025-07-01 08:58:45,tr,TWITTER,işbirliği,,🔗📌🎉🔖💰❤,b42c3623976ef315a4b3f911f68a07c7,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Specific product details (Colgate Optic White Expert White, 75ml)
- Price and discount information
- Amazon product link
- Hashtag #işbirliği (which t",['#işbirliği'],False,,,
1939982827535397023,  Colgate Proclinical 150 Charcoal Battery Powered Toothbrush Refill Heads  Price: 88/-     Link: https://t.co/NEMyHbNimK,Colgate Proclinical 150 Charcoal Battery Powered Toothbrush Refill Heads Price: 88/- Link:,2025-07-01 09:42:03,en,TWITTER,,,,404fe6a1427c250b06bc3ca1f09df427,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product name and model (Colgate Proclinical 150 Charcoal Battery Powered Toothbrush Refill Heads)
- Exact pricing information
- ",[],False,,,
