fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1939937554045763637,  Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) Buy via Amazon --> https://t.co/02zDEClc9I https://t.co/HQZU2ZEfJi,Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Buy via Amazon -->,2025-07-01 06:42:09,en,TWITTER,,,,3eec4e72d9adb180dd44cf67fa010830,cluster_10,True,4,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Direct product price comparison (retail vs. sale price)
- Explicit purchase link to Amazon
- Specific product recommendation (Versace Eros Flame)
- Sh",[],False,,,
1939975423854510270,  Versace Korea staff instagram story update with #Hyunjin. -He shared a picture of the outfit Hyunjin wore at Versace fw25 show. #HYUNJINxVERSACE https://t.co/rxX3Q2khaT,Versace Korea staff instagram story update with . -He shared a picture of the outfit Hyunjin wore at Versace fw25 show.,2025-07-01 09:12:38,en,TWITTER,Hyunjin|HYUNJINxVERSACE,,,bf8a2a645c1b8cc823f6d2d15929dc58,,False,1,True,Brand_Official,Low,False,"- This appears to be an official Versace Korea social media update
- Contains an official brand hashtag (#HYUNJINxVERSACE)
- References a specific fashion show (fw25)
- Mentions a brand ambassador/cel",['#HYUNJINxVERSACE'],False,,,
1939979600651837668,  Versace Korea PR instagram story update featuring #Hyunjin. #HYUNJINxVERSACE https://t.co/UlF700TDCr,Versace Korea PR instagram story update featuring .,2025-07-01 09:29:14,en,TWITTER,Hyunjin|HYUNJINxVERSACE,,,c7020774f06449386dfa1335e7e677f7,,False,1,True,Brand_Official,Medium,False,"- Contains official brand hashtag #HYUNJINxVERSACE
- References Versace Korea PR Instagram story
- Mentions a specific brand ambassador/celebrity (Hyunjin)
- Appears to be an official brand promotiona",['#HYUNJINxVERSACE'],False,,,
1939984185554608394,  250701 Hyunjin via Versace Korea PR & Versace Korea staff instagram story! #HYUNJINxVERSACE #HYUNJIN #현진 #ヒョンジン https://t.co/3YTVEOol77,250701 Hyunjin via Versace Korea PR & Versace Korea staff instagram story!,2025-07-01 09:47:27,en,TWITTER,HYUNJINxVERSACE|HYUNJIN|현진|ヒョンジン,,,7ab2aab4aed01e2d95c0f5482deea6c2,,False,1,True,Brand_Official,Medium,False,"- Contains official brand hashtag (#HYUNJINxVERSACE)
- Mentions Versace Korea PR & staff Instagram story
- References a specific brand ambassador/influencer (Hyunjin)
- Appears to be an official brand",['#HYUNJINxVERSACE'],False,,,
mov_3401D53740C9CD809CA648BD35CD6584,"  In the upper echelons of fashion, luxury isn't simply a fad; it's a way of life. Style, substance and sentiment converge in a finished product that reflects as much on the skill of its creation as on the individual wearing it. In the realm of women's luxury shoes, Versace embodies this notion with fearless design principles, a rich artistic heritage and an inimitable sense of elegance. Women's Luxury Shoes and the Language of Fashion Some say that a woman's shoes are the cornerstone of her style, in both the literal and figurative sense. In the world of luxury fashion, they tell a story all their own, one of social standing, personal agency and unique expression. Whether it's a beautifully designed high heel or an unforgettable boot design, a shoe can strike up a conversation by doing nothing more than simply existing. These aren't items that foster a certain style; they are the style. Aesthetic Meets Artistry The hallmark of luxurious shoes is a powerful blend of visual allure and labour-intensive artistry. Each pair in the collection of women's luxury shoes from Versace is a testament to just that. Sculptural heels, sumptuous textures, the label's signature motifs and a bold exploration of colour abound with every style, and nothing is an afterthought. Superlative materials, including luxe leather and supple suede, paired with polished metal accents, are married to the techniques of practised artisans, ensuring that these shoes deliver comfort in addition to longevity. And more importantly? They're built to be every bit as useful as they are beautiful. Versatility Rooted in Bold Design Perhaps one of the most exciting aspects of the collection of Versace women's luxury shoes is that they're so far from single-use. That says nothing for everything we've seen them prove themselves in the unrelatable environment where they made their first appearance on the runways. Designed for the Modern Woman The luxury consumer of today has evolved. She requires more than beautiful shoes; she needs authenticity, she needs a story, and she needs purpose. The luxury consumer of today is the elegant woman of today. She expects her shoes to be an extension of the strong, sophisticated and stylish way she lives her life. These shoes aren't possessions to behold; they are statements to be expressed in. Each heel, each boot, each sandal is a visual dialogue on her life and the story she wants to tell. Investing in Timeless Luxury Luxury isn't the style of today; it is the construction, design and quality that will last for years to come. Versace women's luxury shoes are the embodiment of this ethos, luxury footwear that stands the test of time. Behind each pair of shoes, there is a story of unparalleled quality. Creating a luxury shoe is a craft: from the first sketch to the last stitch, it requires a sense of beauty that makes the pursuit more than just worth doing. Versace women's luxury shoes are more than just a trend: they are an homage to grace, strength and individual style. In a world where first impressions carry immense weight, they make sure that every step tells her story and sings her song, a sound and style that can't be mistaken for any other. Share this…","In the upper echelons of fashion, luxury isn't simply a fad; it's a way of life. Style, substance and sentiment converge in a finished product that reflects as much on the skill of its creation as on the individual wearing it. In the realm of women's luxury shoes, Versace embodies this notion with fearless design principles, a rich artistic heritage and an inimitable sense of elegance. Women's Luxury Shoes and the Language of Fashion Some say that a woman's shoes are the cornerstone of her style, in both the literal and figurative sense. In the world of luxury fashion, they tell a story all their own, one of social standing, personal agency and unique expression. Whether it's a beautifully designed high heel or an unforgettable boot design, a shoe can strike up a conversation by doing nothing more than simply existing. These aren't items that foster a certain style; they are the style. Aesthetic Meets Artistry The hallmark of luxurious shoes is a powerful blend of visual allure and labour-intensive artistry. Each pair in the collection of women's luxury shoes from Versace is a testament to just that. Sculptural heels, sumptuous textures, the label's signature motifs and a bold exploration of colour abound with every style, and nothing is an afterthought. Superlative materials, including luxe leather and supple suede, paired with polished metal accents, are married to the techniques of practised artisans, ensuring that these shoes deliver comfort in addition to longevity. And more importantly? They're built to be every bit as useful as they are beautiful. Versatility Rooted in Bold Design Perhaps one of the most exciting aspects of the collection of Versace women's luxury shoes is that they're so far from single-use. That says nothing for everything we've seen them prove themselves in the unrelatable environment where they made their first appearance on the runways. Designed for the Modern Woman The luxury consumer of today has evolved. She requires more than beautiful shoes; she needs authenticity, she needs a story, and she needs purpose. The luxury consumer of today is the elegant woman of today. She expects her shoes to be an extension of the strong, sophisticated and stylish way she lives her life. These shoes aren't possessions to behold; they are statements to be expressed in. Each heel, each boot, each sandal is a visual dialogue on her life and the story she wants to tell. Investing in Timeless Luxury Luxury isn't the style of today; it is the construction, design and quality that will last for years to come. Versace women's luxury shoes are the embodiment of this ethos, luxury footwear that stands the test of time. Behind each pair of shoes, there is a story of unparalleled quality. Creating a luxury shoe is a craft: from the first sketch to the last stitch, it requires a sense of beauty that makes the pursuit more than just worth doing. Versace women's luxury shoes are more than just a trend: they are an homage to grace, strength and individual style. In a world where first impressions carry immense weight, they make sure that every step tells her story and sings her song, a sound and style that can't be mistaken for any other. Share this…",2025-07-01 11:20:22,en,WEB,,,,431f9026a4df4827387a7ca6ee0da05d,,False,1,True,Brand_Official,High,False,"The text is a highly detailed, brand-focused promotional piece about Versace women's luxury shoes that reads like official marketing content. Multiple indicators suggest this is a brand-created promot",[],False,,,
1940068815548600507,"  ¡OFERTA IMPERDIBLE! VERSACE EROS FLAME PARA HOMBRE 🔥💖 Amazon: Versace - Agua de perfume espray Eros Flame para hombre, 3.4 onzas, rojo 👉Enlace: https://t.co/64O0Z6GZJk -26% de descuento 🔥Precio Oferta: $1,348.90 ($13.49 / mililitro) Precio anterior: $1,835.16 ⚡️Unete a n… https://t.co/Z6Cc8IZ0Oy","¡OFERTA IMPERDIBLE! VERSACE EROS FLAME PARA HOMBRE Amazon: Versace - Agua de perfume espray Eros Flame para hombre, 3.4 onzas, rojo Enlace: -26% de descuento Precio Oferta: $1,348.90 ($13.49 / mililitro) Precio anterior: $1,835.16 Unete a n…",2025-07-01 15:23:45,es,TWITTER,,,💖🔥⚡👉,294fff776b9e23a0db47d27074dae547,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct product link to Amazon
- Specific product details (Versace Eros Flame)
- Explicit discount percentage (-26%)
- Price comparison
- ",[],False,,,
1940165265511121226,  Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) Buy via Amazon --> https://t.co/02zDEClc9I https://t.co/YNMoXI6yvr,Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Buy via Amazon -->,2025-07-01 21:47:00,en,TWITTER,,,,3eec4e72d9adb180dd44cf67fa010830,cluster_10,False,4,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Direct product price comparison (retail vs. sale price)
- Explicit purchase link to Amazon
- Specific product recommendation (Versace Eros Flame)
- Sh",[],True,True,Medium,2.4687845706939697
1940193452626489827,"  Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX https://t.co/GsXK55lvkl Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) https://t.co/GnybkRm8vk Get ready for Prime Day Sale (July 8-11) https://t.co/ywTJ9FsqhH","Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Get ready for Prime Day Sale (July 8-11)",2025-07-01 23:39:00,en,TWITTER,,,,1a648962aff9269770106673c9247988,cluster_3,True,30,True,Affiliate,High,True,"Multiple clear promotional elements present, including:
- Specific product pricing for Versace Eros Flame fragrance
- Discount pricing details
- Multiple shortened URLs suggesting affiliate tracking l","['- ""Reg']",False,,,
1940205332489228390,  Versace Eros for $64.61! https://t.co/3EeClq2E5A 12 pk Coke Zero Sugar Cans as low as $4.67! *coupon on page https://t.co/XXe8FA7orR https://t.co/jxVilUN9TK,Versace Eros for $64.61! 12 pk Coke Zero Sugar Cans as low as $4.67! *coupon on page,2025-07-02 00:26:13,en,TWITTER,,,,838067b1b4b4d7034e6dbae042e1198e,cluster_6,True,15,True,Affiliate,High,True,"The comment contains multiple shortened URLs, includes a specific product (Versace Eros) with a price point, and appears to be a multi-product promotional post with affiliate marketing characteristics","['- ""Versace Eros""', '- Price point (']",False,,,
1940208553815326919,"  Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX https://t.co/GsXK55lvkl Versace Eros Flame Eau De Parfum Spray for only $65.90  (Retail $107.00) https://t.co/GnybkRm8vk Get ready for Prime Day Sale (July 8-11) https://t.co/ES3bE59LUD","Slow Masticating Cold Press Juicer for $60, reg $119.99! -- Code J85BVRFX Versace Eros Flame Eau De Parfum Spray for only $65.90 (Retail $107.00) Get ready for Prime Day Sale (July 8-11)",2025-07-02 00:39:01,en,TWITTER,,,,1a648962aff9269770106673c9247988,cluster_3,False,30,True,Affiliate,High,True,"Multiple clear promotional elements present, including:
- Specific product pricing for Versace Eros Flame fragrance
- Discount pricing details
- Multiple shortened URLs suggesting affiliate tracking l","['- ""Reg']",True,True,Medium,1.940279960632324
