fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,cluster_id,is_representative,repetition_count,counterfeit_risk,has_ccr_risk,risk_level,risk_type,reasoning,keywords,result_propagated
17944476335888009,  10 essentials for gym baddies: leg day edition ♡ I thought I'd share some of my favorite items I use and keep close by when leg day is approaching • lifting straps from aybl code JAYME • gym bag from gymshark code JAYME • beatsbydre studio pros • stanley_brand quencher protour flip straw tumbler • leg day bundle & lifting gloves can be found in my amazon storefront • ehplabs oxyshred code JAYME (also in my storefront) • converse classic high tops • tripod from amazon also in my storefront what are some of your fav leg day essentials? #fitnesstips #workouttips #legdayessentials #gymessentials #gymessentialsforwomen #workouteqipment #workoutequipmentforwomen #fitnessmotivation,10 essentials for gym baddies: leg day edition ♡ I thought I'd share some of my favorite items I use and keep close by when leg day is approaching • lifting straps from aybl code JAYME • gym bag from gymshark code JAYME • beatsbydre studio pros • stanley_brand quencher protour flip straw tumbler • leg day bundle & lifting gloves can be found in my amazon storefront • ehplabs oxyshred code JAYME (also in my storefront) • converse classic high tops • tripod from amazon also in my storefront what are some of your fav leg day essentials?,2025-07-02 16:39:08,en,INSTAGRAM,fitnesstips|workouttips|legdayessentials|gymessentials|gymessentialsforwomen|workouteqipment|workoutequipmentforwomen|fitnessmotivation,,,,False,1,False,False,,,"- The comment appears to be a standard influencer/content creator product recommendation post
- The mention of EHPlabs Oxyshred includes a personal discount code (JAYME), suggesting a legitimate promo",['None identified related to counterfeiting'],False
17842480137531931,  Health is wealth bpnsupps honeystinger bloomsupps optimumnutrition ehplabs amazon nutricost_official,Health is wealth bpnsupps honeystinger bloomsupps optimumnutrition ehplabs amazon nutricost_official,2025-07-02 17:41:31,en,INSTAGRAM,,,,,False,1,False,False,,,"The comment appears to be a list of supplement brand names and platforms (Amazon, EHPlabs, Optimum Nutrition, etc.) without any explicit or implicit indicators of counterfeiting. While Amazon is menti",['None identified'],False
99HKlK__DKA,"  here we are again...yet ANOTHER time was had in sin city, so come see what we got into this timeee SOCIALS instagram - https://www.instagram.com/princesskalia/ tiktok - https://www.tiktok.com/@princesskalia amazon storefront - https://www.amazon.com/shop/kalianicole depop - https://depop.com/princesskalia everything else - https://bio.site/kalianicole save some $ get $30 with rakuten! if you love online + in-store shopping like me, might as well get some money for it hellooo https://tinyurl.com/rakutenkalia supps - EHPLABS 'KALIA' https://tinyurl.com/ehplabskalia gym fits - DFYNE  'KALIA' https://tinyurl.com/dfynekalia *disclaimer: i may receive a small commission from purchases made through some links above* for business inquiries only: kalianicoleofficial@gmail.com background music ""i'm fly"" (prod. KG) https://www.youtube.com/watch?v=TVC1AeS7bI4&list=RDTVC1AeS7bI4&start_radio=1 keywords: girls trip vegas, vegas girls trip vlog, spend the weekend with us, come to vegas with us, drais beach club, xs nightclub, hakkasan nightclub vegas, what to do in vegas, cosmopolitan vegas, vegas itinerary, vegas trip #KaliaNicole #weekendinmylife #vegasvlog","here we are again...yet ANOTHER time was had in sin city, so come see what we got into this timeee SOCIALS instagram - tiktok - amazon storefront - depop - everything else - save some $ get $30 with rakuten! if you love online + in-store shopping like me, might as well get some money for it hellooo supps - EHPLABS 'KALIA' gym fits - DFYNE 'KALIA' *disclaimer: i may receive a small commission from purchases made through some links above* for business inquiries only: kalianicoleofficial.com background music ""i'm fly"" (prod. KG) keywords: girls trip vegas, vegas girls trip vlog, spend the weekend with us, come to vegas with us, drais beach club, xs nightclub, hakkasan nightclub vegas, what to do in vegas, cosmopolitan vegas, vegas itinerary, vegas trip",2025-07-03 18:00:10,en,YOUTUBE,KaliaNicole|weekendinmylife|vegasvlog,princesskalia|gmail,,,False,1,False,False,,,"- This appears to be an influencer promotional post for EHPlabs supplements
- The comment contains a direct affiliate link to EofficialHabs products
- Links are to official brand channels and the infl",['None relevant to counterfeiting'],False
17925592098095817,"  Our June favourite's 1. Gua sha, I love her and can honestly tell a massive difference in my appearance when I'm not using it. Mines just off Amazon. 2. rhode pocket blush, they blend like a dream and come in the prettiest colours that really work well with my skin tone. 3. candlesnoud in the sent heavenly oud, this is my signature sent people say they know be I've arrived because they can smell me. It lasts ages and smells like a vanilla dream. 4. perfecttedenergy matcha is so yummy but I recently discovered the vanilla bean and it taste like a cake it's unreal. 5. cosrx_uk snail 96 facial serum is everything you need for glass skin, it's affordable and a little goes a long way. 6. Capri pants, trousers, denim, patterned ones I'll take them all they look expensive to me, very classy and put together. If I see a girl in capris I know she's a baddie. 7. ehplabs oxyshred energy cans, so convenient, come in so many tasty flavours great for the gym or just a cheeky pick me up. Provide clean energy, no crash out. 8. summerfridays gloss i love her, she smells amazing I use it daily. My friend got it me for my birthday and I'll definitely be trying more flavours. 9. eloah_havianas flip flops, these have been stuck to my feet like I stepped in superglue. Comfy, light weight and look cute. 10. canonuk ixus if I've posted a bad arse selfie, my canon took it. It's great that vintage 90s look I love it it's always in my bag on a night out. 11. All denim, double denim, triple denim, denim on denim. I love no matter if it's jeans, a skirt, shorts it looks so cute and put together especially if the denim matches. Same time next month?? #june #junefavorites #survivingmy20s #wellness #selfhelptips #selfhelppodcast #selflove #confidence","Our June favourite's 1. Gua sha, I love her and can honestly tell a massive difference in my appearance when I'm not using it. Mines just off Amazon. 2. rhode pocket blush, they blend like a dream and come in the prettiest colours that really work well with my skin tone. 3. candlesnoud in the sent heavenly oud, this is my signature sent people say they know be I've arrived because they can smell me. It lasts ages and smells like a vanilla dream. 4. perfecttedenergy matcha is so yummy but I recently discovered the vanilla bean and it taste like a cake it's unreal. 5. cosrx_uk snail 96 facial serum is everything you need for glass skin, it's affordable and a little goes a long way. 6. Capri pants, trousers, denim, patterned ones I'll take them all they look expensive to me, very classy and put together. If I see a girl in capris I know she's a baddie. 7. ehplabs oxyshred energy cans, so convenient, come in so many tasty flavours great for the gym or just a cheeky pick me up. Provide clean energy, no crash out. 8. summerfridays gloss i love her, she smells amazing I use it daily. My friend got it me for my birthday and I'll definitely be trying more flavours. 9. eloah_havianas flip flops, these have been stuck to my feet like I stepped in superglue. Comfy, light weight and look cute. 10. canonuk ixus if I've posted a bad arse selfie, my canon took it. It's great that vintage 90s look I love it it's always in my bag on a night out. 11. All denim, double denim, triple denim, denim on denim. I love no matter if it's jeans, a skirt, shorts it looks so cute and put together especially if the denim matches. Same time next month??",2025-07-05 08:11:11,en,INSTAGRAM,june|junefavorites|survivingmy20s|wellness|selfhelptips|selfhelppodcast|selflove|confidence,,,,False,1,False,False,,,"- The comment mentions EHPlabs OxyShred energy cans in a positive, casual context
- No indicators of counterfeiting or product authenticity concerns
- The reference appears to be a genuine product rec",['None identified'],False
18139621939409375,  I started oxygreens about 2 months ago. Let me tell you I done NOTHING about my gut health at all. Since I've been taking it I've been having so much more energy in my everyday life. And how did I not know the benefits of my skin as well ??? ANYWAYSSSSS I heard a secret (amazon amazonaustralia ) is having upto 40% OFF SALE ON ehplabs ehplabs_ausnz TOMORROW !! So get your cart ready and join me with our oxygreens morning routine. Thank me later,I started oxygreens about 2 months ago. Let me tell you I done NOTHING about my gut health at all. Since I've been taking it I've been having so much more energy in my everyday life. And how did I not know the benefits of my skin as well ??? ANYWAYSSSSS I heard a secret (amazon amazonaustralia ) is having upto 40% OFF SALE ON ehplabs ehplabs_ausnz TOMORROW !! So get your cart ready and join me with our oxygreens morning routine. Thank me later,2025-07-07 04:56:45,en,INSTAGRAM,,,,cluster_1,True,2,False,False,,,"While the comment mentions an Amazon sale, there are no explicit counterfeit risk indicators. The comment appears to be a genuine product endorsement with a sale announcement. The mention of Amazon an","['None identified as counterfeit', 'related']",False
18503668450004349,  I started oxygreens about 2 months ago. Let me tell you I done NOTHING about my gut health at all. Since I've been taking it I've been having so much more energy in my everyday life. And how did I not know the benefits of my skin as well ??? ANYWAYSSSSS I heard a secret (amazon amazonaustralia ) is having upto 40% OFF SALE ON ehplabs ehplabs_ausnz TOMORROW !! So get your cart ready and join me with our oxygreens morning routine. Thank me later,I started oxygreens about 2 months ago. Let me tell you I done NOTHING about my gut health at all. Since I've been taking it I've been having so much more energy in my everyday life. And how did I not know the benefits of my skin as well ??? ANYWAYSSSSS I heard a secret (amazon amazonaustralia ) is having upto 40% OFF SALE ON ehplabs ehplabs_ausnz TOMORROW !! So get your cart ready and join me with our oxygreens morning routine. Thank me later,2025-07-07 05:00:58,en,INSTAGRAM,,,,cluster_1,False,2,False,False,,,"While the comment mentions an Amazon sale, there are no explicit counterfeit risk indicators. The comment appears to be a genuine product endorsement with a sale announcement. The mention of Amazon an","['None identified as counterfeit', 'related']",True
18060316334214364,  You too can have a big haul coming your way. Stock up on all your faves. Take advantage of Amazon  Prime Day July 8th. It's going to be huge! Up to 40%off ehplabs@amazon use my code DONNASTAR #ehplabs_ausnz #ehplabs #oxyshred #amazon,You too can have a big haul coming your way. Stock up on all your faves. Take advantage of Amazon Prime Day July 8th. It's going to be huge! Up to 40%off ehplabs use my code DONNASTAR,2025-07-07 06:49:19,en,INSTAGRAM,ehplabs_ausnz|ehplabs|oxyshred|amazon,amazon,,,False,1,False,False,,,"The comment appears to be a promotional post about an Amazon Prime Day sale for EHPlabs products. While it mentions using a discount code (DONNASTAR), there are no explicit indicators of counterfeitin",['Amazon Prime Day'],False
17933904045059690,"  Let's talk glow up tools! 1. Nutrition does the heavy lifting for you. Proteins keep you full, keep your hair and nails strong, and help your muscle grow. 2. FIBREEEEE is your bestie bc we are regular, snatched queens (not blocked up and bloated protein bros). Add veggies or fruit with every meal. I take Oxygreens EVERY morning to help me get my greens in (bc who has time to juice and Oxygreens tastes way better lol). Get my exact one and 10% off using code KIRSTYS10 😍 they're having 40% off very soon btw for their Amazon Prime Day to help you save your $$ 3. High volume foods on lock and desserts in moderation. This helps us stay full and reduces those binge eating days (especially on those luteal phase days 😭). If something isn't working for you body comp wise, come back to the kitchen before you change your workout split! Got questions? Drop them below! #standards #highstandards #selfworth ehplabs amazon","Let's talk glow up tools! 1. Nutrition does the heavy lifting for you. Proteins keep you full, keep your hair and nails strong, and help your muscle grow. 2. FIBREEEEE is your bestie bc we are regular, snatched queens (not blocked up and bloated protein bros). Add veggies or fruit with every meal. I take Oxygreens EVERY morning to help me get my greens in (bc who has time to juice and Oxygreens tastes way better lol). Get my exact one and 10% off using code KIRSTYS10 they're having 40% off very soon btw for their Amazon Prime Day to help you save your $$ 3. High volume foods on lock and desserts in moderation. This helps us stay full and reduces those binge eating days (especially on those luteal phase days ). If something isn't working for you body comp wise, come back to the kitchen before you change your workout split! Got questions? Drop them below! ehplabs amazon",2025-07-07 08:31:29,en,INSTAGRAM,standards|highstandards|selfworth,,😍😭,,False,1,False,False,,,"- The comment appears to be a genuine product endorsement
- Contains a personal promo code (KIRSTYS10)
- Mentions an upcoming Amazon Prime Day sale
- Discusses product benefits of Oxygreens (an EHPlab",['None relevant to counterfeiting'],False
18089817616628993,"  AMAZON PRIME DAY Be prepared for tomorrow, 8 of July, amazon prime day is coming and and well ehplabs is ready with incredible discounts on Amazon Take care of your gut health with Oxygreen, push your limits during your workouts with Oxyshred and bcaa, pump with creatine and feed your muscles with a good dose of protein. Don't forget that on EHPLABS page or app you can use my code: NICOLO10GWP  for an extra 10% discount Don't wait tomorrow, prepare your cart today #australia #sydney #fitnessmotivation #getfit #gymmotivation #ehplabs #ehplabs_ausnz","AMAZON PRIME DAY Be prepared for tomorrow, 8 of July, amazon prime day is coming and and well ehplabs is ready with incredible discounts on Amazon Take care of your gut health with Oxygreen, push your limits during your workouts with Oxyshred and bcaa, pump with creatine and feed your muscles with a good dose of protein. Don't forget that on EHPLABS page or app you can use my code: NICOLO10GWP for an extra 10% discount Don't wait tomorrow, prepare your cart today",2025-07-07 11:04:47,en,INSTAGRAM,australia|sydney|fitnessmotivation|getfit|gymmotivation|ehplabs|ehplabs_ausnz,,,,False,1,False,False,,,"The comment appears to be a promotional post about EHPlabs products during Amazon Prime Day. It contains:
- Legitimate brand references (EHPlabs)
- Specific product mentions (Oxygreen, Oxyshred, BCAA,",['None related to counterfeiting'],False
18114558754492607,"  Amazon Prime Day!!! amazon Don't miss out the sale up to 40% off oxygen green from ehplabs EHPlabs!!! Can't wait for it! Speaking of my daily routine of my gut care, green apple oxygen green will be the best choice for the morning! Always here with me, no matter where I go, and I will bring with me!!! ☺️☺️☺ Lately, I've been starting my mornings with Green Apple OxyShred 🍏—and honestly, it's a game changer. It gives me that clean boost of energy without the jitters or crash. Boosts metabolism Helps with fat burning Supports gut health with probiotics Tastes so refreshing (like green apple candy but guilt-free!) Whether I'm heading to the gym, working from home, or just need a little mid-day pick-me-up—it's my go-to. Feeling good, energized, and ready to take on the day Here is the discount code for you to order online- JENNYMCDONALD10 #OxyShred #EHPlabs #GreenOxyShred #HealthyHabits #DailyRoutine #CleanEnergy #FitnessLifestyle #MorningBoost #GutHealth #NoCrashEnergy #personaltrainerlife #personaltrainer #fitnesslife #fitness #fitnessfreaks #gym #gymlife #gymrats #gymtime #discountcode #discount","Amazon Prime Day!!! amazon Don't miss out the sale up to 40% off oxygen green from ehplabs EHPlabs!!! Can't wait for it! Speaking of my daily routine of my gut care, green apple oxygen green will be the best choice for the morning! Always here with me, no matter where I go, and I will bring with me!!! Lately, I've been starting my mornings with Green Apple OxyShred —and honestly, it's a game changer. It gives me that clean boost of energy without the jitters or crash. Boosts metabolism Helps with fat burning Supports gut health with probiotics Tastes so refreshing (like green apple candy but guilt-free!) Whether I'm heading to the gym, working from home, or just need a little mid-day pick-me-up—it's my go-to. Feeling good, energized, and ready to take on the day Here is the discount code for you to order online- JENNYMCDONALD10",2025-07-07 11:43:26,en,INSTAGRAM,OxyShred|EHPlabs|GreenOxyShred|HealthyHabits|DailyRoutine|CleanEnergy|FitnessLifestyle|MorningBoost|GutHealth|NoCrashEnergy|personaltrainerlife|personaltrainer|fitnesslife|fitness|fitnessfreaks|gym|gymlife|gymrats|gymtime|discountcode|discount,,🍏☺️☺,,False,1,False,False,,,"This appears to be a genuine promotional/endorsement comment for EHPlabs OxyShred product. The comment contains:
- Specific product details
- Personal experience narrative
- Legitimate Amazon Prime Da",['None identified related to counterfeiting'],False
