fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1940221795904479296,  Amika superfruit star lightweight hair styling oil is available. Link to buy: https://t.co/3BMXCrw4lV #ad #hair #amika,Amika superfruit star lightweight hair styling oil is available. Link to buy:,2025-07-02 01:31:38,en,TWITTER,ad|hair|amika,,,2dedffa3ef1cc75b736b5e91b54464d4,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Direct product name mention (Amika superfruit star lightweight hair styling oil)
- Explicit purchase link
- #ad disclosure tag
- Sales-orie",['#ad'],False,,,
AaN5rbBvNYU,"  Mes favoris de Juin sont là ! Toutes mes pépites découvertes ces dernières semaines, toutes catégories confondues ! ▶𝘿𝙞𝙨𝙘𝙡𝙖𝙞𝙢𝙚𝙧 Les liens sont des liens d'affiliation (que je passe beaucoup de temps à chercher pour que ce soit plus simple pour vous) avec lesquels je touche de petites commissions. Cela ne change pas du tout le prix des produits. Certains produits présentés peuvent être des produits reçus gratuitement. Cela ne change en rien les avis que j'émets sur ma chaîne, vous me connaissez j'en achète tout autant et ne fais pas la différence quand je les teste pour vous en parler. 𝗣𝗥𝗢𝗗𝗨𝗜𝗧𝗦 𝗤𝗨𝗘 𝗝'𝗨𝗧𝗜𝗟𝗜𝗦𝗘 𝗗𝗔𝗡𝗦 𝗟𝗔 𝗩𝗜𝗗𝗘𝗢 SOINS /CORPS : -Masque LED visage nouvelle génération et Masque LED cou et décolleté nouvelle génération CURRENTBODY : https://tinyurl.com/wa2dwhnd Code promo : offre masque LED à -18% (la page aura -8% déjà appliqué dessus et le code SANANAS offre -10% en + au paiement. -Hyalu B5, sérum Yeux anti-rides, répare & repulpe LA ROCHE POSAY : https://tinyurl.com/58k8x987 OU https://go.shopmy.us/p-20116157 -Madagascar centella probio-cica bakuchiol eye cream SKIN 1004 : https://bit.ly/45yjfcv -Baume demaquillant peau nette SEPHORA COLLECTION : https://bit.ly/3HOHOYW -Crème sorbet vinoo-hydra CAUDALIE : https://tinyurl.com/yv7awe84 -Body Badalada™ lotion hydratante légère 24h SOL DE JANEIRO : https://bit.ly/44S07G1 CHEVEUX : -Forget Frizz shampoing anti-frisottis AMIKA : https://bit.ly/45I8JiT -Forget Frizz -après - shampoing anti-frisottis AMIKA : https://bit.ly/4kUhLy1 -Frizz-me-not soin hydratant anti-frisottis AMIKA : https://bit.ly/3TbdR7F MAKEUP : TEINT : -Poreless jelly base de teint MAYBELLINE : https://bit.ly/44lPSrF -Super boost skin tint MAKE UP FOR EVER : https://bit.ly/3TFEG40 -Bright reveal fluide anti-uv teinté L'ORÉAL PARIS : https://bit.ly/448HjBL -Bright reveal stick anti-UV SPF50+ anti-taches vitamine E L'ORÉAL PARIS : https://bit.ly/45x7lzA -All hours anti-cernes YVES SAINT LAURENT : https://bit.ly/3T2XvOx -All hours  poudre libre YVES SAINT LAURENT : https://bit.ly/4lncfnr -Instant bronzing drops SEPHORA COLLECTION : https://bit.ly/44va7V0 -Hoola wave baume Bronzant BENEFIT : https://bit.ly/4jYLBjv -Tea to tan powder blush BY TERRY : https://bit.ly/46d4Brl -Dior backstage rosy glow stick DIOR : https://bit.ly/4kSBRIT -Cheek tint shine ARMANI : https://bit.ly/3G9XbdV -Dior backstage rosy glow DIOR : https://bit.ly/408qtR5 -Blush & go SEPHORA COLLECTION : https://bit.ly/45E8EN8 SOURCILS : -Natural brow duo PIXI : https://bit.ly/3ShhMiQ -12H Colorful SEPHORA COLLECTION :https://bit.ly/3HTyJxX YEUX : -Idôle tint LANCÔME : https://bit.ly/4k8UuXU -Cashmere matte eyelights RMS BEAUTY : https://c.klarna.com/al/E7G9/ -Ribbon wrapped lash TOO FACED : https://bit.ly/4jfdGD5 -Mascara volume modulable effet maxi MAYBELLINE :  https://bit.ly/3HTS3uY LÈVRES : -Lip cheat contour duo CHARLOTTE TILBURY : https://bit.ly/3ZGZYSw -Crayon à lèvres lip shape WESTMAN ATELIER : https://bit.ly/4nggdQx -Cupid's arrow longwear stylo NABLA : https://bit.ly/3Id8Nxa -Lip suede WESTMAN ATELIER : https://bit.ly/3Ehtzu2 -Macximal sleek satin lipstick M.A.C : https://bit.ly/4efJ0Au -Rouge à lèvres satiné, Beige Ébloui HERMÈS : https://go.shopmy.us/p-20120001...","Mes favoris de Juin sont là ! Toutes mes pépites découvertes ces dernières semaines, toutes catégories confondues ! 𝘿𝙞𝙨𝙘𝙡𝙖𝙞𝙢𝙚𝙧 Les liens sont des liens d'affiliation (que je passe beaucoup de temps à chercher pour que ce soit plus simple pour vous) avec lesquels je touche de petites commissions. Cela ne change pas du tout le prix des produits. Certains produits présentés peuvent être des produits reçus gratuitement. Cela ne change en rien les avis que j'émets sur ma chaîne, vous me connaissez j'en achète tout autant et ne fais pas la différence quand je les teste pour vous en parler. 𝗣𝗥𝗢𝗗𝗨𝗜𝗧𝗦 𝗤𝗨𝗘 𝗝'𝗨𝗧𝗜𝗟𝗜𝗦𝗘 𝗗𝗔𝗡𝗦 𝗟𝗔 𝗩𝗜𝗗𝗘𝗢 SOINS /CORPS : -Masque LED visage nouvelle génération et Masque LED cou et décolleté nouvelle génération CURRENTBODY : Code promo : offre masque LED à -18% (la page aura -8% déjà appliqué dessus et le code SANANAS offre -10% en + au paiement. -Hyalu B5, sérum Yeux anti-rides, répare & repulpe LA ROCHE POSAY : OU -Madagascar centella probio-cica bakuchiol eye cream SKIN 1004 : -Baume demaquillant peau nette SEPHORA COLLECTION : -Crème sorbet vinoo-hydra CAUDALIE : -Body Badalada lotion hydratante légère 24h SOL DE JANEIRO : CHEVEUX : -Forget Frizz shampoing anti-frisottis AMIKA : -Forget Frizz -après - shampoing anti-frisottis AMIKA : -Frizz-me-not soin hydratant anti-frisottis AMIKA : MAKEUP : TEINT : -Poreless jelly base de teint MAYBELLINE : -Super boost skin tint MAKE UP FOR EVER : -Bright reveal fluide anti-uv teinté L'ORÉAL PARIS : -Bright reveal stick anti-UV SPF50+ anti-taches vitamine E L'ORÉAL PARIS : -All hours anti-cernes YVES SAINT LAURENT : -All hours poudre libre YVES SAINT LAURENT : -Instant bronzing drops SEPHORA COLLECTION : -Hoola wave baume Bronzant BENEFIT : -Tea to tan powder blush BY TERRY : -Dior backstage rosy glow stick DIOR : -Cheek tint shine ARMANI : -Dior backstage rosy glow DIOR : -Blush & go SEPHORA COLLECTION : SOURCILS : -Natural brow duo PIXI : -12H Colorful SEPHORA COLLECTION : YEUX : -Idôle tint LANCÔME : -Cashmere matte eyelights RMS BEAUTY : -Ribbon wrapped lash TOO FACED : -Mascara volume modulable effet maxi MAYBELLINE : LÈVRES : -Lip cheat contour duo CHARLOTTE TILBURY : -Crayon à lèvres lip shape WESTMAN ATELIER : -Cupid's arrow longwear stylo NABLA : -Lip suede WESTMAN ATELIER : -Macximal sleek satin lipstick M.A.C : -Rouge à lèvres satiné, Beige Ébloui HERMÈS :",2025-07-02 05:00:22,fr,YOUTUBE,,,™▶,b72568068ad76b5742bfba976ecc4cc3,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Extensive list of product links with affiliate shortened URLs
- Explicit disclaimer about affiliate links and receiving free products
- D",[],False,,,
18282727438261187,  I will be RUNNING to grab these staples from amika ✨ 30% off for amazon prime day from 7/8-7/11 is too good #amikapartner #amika #haircare #hairtok #hairtips #showerroutine #dryshampoo,I will be RUNNING to grab these staples from amika 30% off for amazon prime day from 7/8-7/11 is too good,2025-07-02 16:26:30,en,INSTAGRAM,amikapartner|amika|haircare|hairtok|hairtips|showerroutine|dryshampoo,,✨,d721036d064734fed7d7707b91692aa8,,False,1,True,Influencer,Medium,False,"The comment contains multiple strong promotional indicators:
- Uses #amikapartner hashtag (direct partnership disclosure)
- Mentions specific sales event (Amazon Prime Day 30% off)
- Uses multiple bra",['#amikapartner'],False,,,
18311435176240572,"  Solo el lunes 7 de julio! 20% de descuento en la línea de Amika. No incluye variedad de litros, mascarillas ni los kits. Aprovecha esta gran oportunidad🤗. #cosmoprofpuertorico #cosmoprofcaguas #amika #estilistas #cabello #barberias #descuentos #ofertas #hidratación #shampoo #acondicionador #leavein #caguas #plazacentro","Solo el lunes 7 de julio! 20% de descuento en la línea de Amika. No incluye variedad de litros, mascarillas ni los kits. Aprovecha esta gran oportunidad.",2025-07-03 18:52:10,es,INSTAGRAM,cosmoprofpuertorico|cosmoprofcaguas|amika|estilistas|cabello|barberias|descuentos|ofertas|hidratación|shampoo|acondicionador|leavein|caguas|plazacentro,,🤗,09f28763b8665072bf0d27c2db14b380,,False,1,True,Brand_Official,High,False,"The comment contains multiple strong promotional indicators:
- Specific discount offer (20% off on Amika products)
- Explicit sales call (""Aprovecha esta gran oportunidad"" - ""Take advantage of this gr",[],False,,,
1941097230754001286,  Amika hydro rush intense moisture conditioner with hyaluronic acid https://t.co/j7nHc8PoUE,Amika hydro rush intense moisture conditioner with hyaluronic acid,2025-07-04 11:30:18,en,TWITTER,,,,6935d00c6ac19a72f72b8bf43b9d90be,,False,1,True,Affiliate,Medium,True,"The comment contains a shortened URL (https://t.co/j7nHc8PoUE) which appears to be an affiliate or tracking link, and directly mentions a specific Amika product with product details. The concise produ",['https://t.co/j7nHc8PoUE)'],False,,,
18035369384397970,"  ✨ My Realistic Shower Routine ✨ Not gatekeeping my faves 🧴🫧 These are the actual products I use for soft skin, silky hair, and smelling like a warm cloud of vanilla & clean girl vibes 💁‍♀ Here's the lineup: ♀️ Hydrating shampoo & conditioner from amika Energizing body wash from methodbody Scrub & smooth with treehut Shave essentials that prevent bumps meetflamingo cremocompany Post-shower glow-up with soldejaneiro, lovefrenshe & Amika's leave-in All products linked in my Amazon Storefront (link in bio!) #ShowerRoutine #SoftGirlEra #SelfCareSunday #AmikaHair #SolDeJaneiro #BodyCareFavorites #AmazonFinds #RealisticRoutine #SmellGoodAlways #Frenshe #TreeHutScrub #CleanGirlAesthetic #HydrationGoals This post contains affiliate links, which means I may earn a small commission if you choose to shop through them—thank you for supporting my content!","My Realistic Shower Routine Not gatekeeping my faves These are the actual products I use for soft skin, silky hair, and smelling like a warm cloud of vanilla & clean girl vibes Here's the lineup: Hydrating shampoo & conditioner from amika Energizing body wash from methodbody Scrub & smooth with treehut Shave essentials that prevent bumps meetflamingo cremocompany Post-shower glow-up with soldejaneiro, lovefrenshe & Amika's leave-in All products linked in my Amazon Storefront (link in bio!) This post contains affiliate links, which means I may earn a small commission if you choose to shop through them—thank you for supporting my content!",2025-07-07 04:46:31,en,INSTAGRAM,ShowerRoutine|SoftGirlEra|SelfCareSunday|AmikaHair|SolDeJaneiro|BodyCareFavorites|AmazonFinds|RealisticRoutine|SmellGoodAlways|Frenshe|TreeHutScrub|CleanGirlAesthetic|HydrationGoals,,🧴♀️💁‍♀🫧✨,6424ec218f2969383da669f0f99545a8,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators are present:
- Explicit mention of ""Amazon Storefront (link in bio!)""
- Direct affiliate disclosure: ""This post contains affiliate links""
- Multiple branded hash",[],False,,,
mov_FD8DE8F9427EF0299A28BCC3674CCA3C,"  It's finally almost here! This is your game plan for securing the best deals during the retailer's big summer sales event. Amazon Prime Day 2025 starts tomorrow. The major summer savings event includes must-see deals on home and outdoor goods, fashion, beauty, accessories, travel items, workout essentials, and must-haves from our favorite celebrities, including Paige DeSorbo, Ariana Madix, Kyle Richards, and more. If you haven't joined Prime yet, there's still time! Reminder: All the best deals will be exclusive to Amazon Prime members. Not a Prime member yet? You can sign up for a 30-day trial and get access to all the deals and Prime perks during the event. How Can I Find the Best Amazon Prime Day Deals? Stay ahead of the sale by checking curated Prime Day picks from E! Insider Shop. New offers go live regularly, and early deals often roll out before the main event. See all the early Prime discounts you can snag right now: Shop top-rated, celeb-loved beauty Shop celeb-loved travel deals Shop the best Bravolebrity-approved deals No Gatekeeping! The Best Amazon Prime Day Beauty Tool Deals Are Here Shop must-have shoe deals, including designer dupes Shop hot accessory deals Shop the best home deals, including Dyson, Ninja, and more Best Amazon Prime Day 2025 Deals on Outdoor Furniture, Decor, and Tech Shop the best Prime Day fashion deals TikTok-Viral Beauty Products from Medicube, Maybelline, & More Prime Day may kick off tomorrow, but you can and start shopping early Prime Day deals today before they run out of stock! We've rounded up our favorite early deals that you can shop right now below. Snag these must-haves, including celeb-approved beauty and accessories on-sale ahead of anyone else. Bestselling early Prime Day deals Amika Normcore Signature Shampoo You can always count on Amika to deliver the best results in their shampoo line. Just apply a palm-size amount to your hair, and coat from the root to tip for peak moisturizing results. e.l.f. Halo Glow Liquid Filter You know her, you love her, it's the Halo Glow Liquid Filter. The viral alternative to Charlotte Tilbury's Hollywood Flawless Filter. Whether you wear it on its own or beneath foundation, it leaves behind a radiant glow and a flawless, blurred effect. Choose from 12 shades. Charging Station for Apple Multiple Devices This portable, foldable wireless charging pad can do it all. It can power your iPhone (12 and up), Apple Watch, and AirPods (with magnetic case) all at once using just one cord. It folds into a stand so you can watch or chat while your devices charge, making it perfect for home, office, or travel. It's almost half off right now! New Balance Women's FuelCore Nergize V1 Sneaker With a versatile colorway and cushioned insole, these slip-on sneakers check all the boxes. You can toss the washing machine when they need a refresh, and they're available in wide sizing. They have 49,800+ 5-star Amazon reviews and this fan reported, ""I love these shoes, they're super lightweight and comfortable, good for running or day-to-day activities."" Available colors: 8 Available sizes: 5 to 12 (including wide & half sizes) Dreo Tower Fan It's hot out — stay cool with this must-have, on-sale 36-inch tower fan. With 4 modes, 4 speeds, and a whisper-quiet 28 dB design, it keeps you comfortable without the noise. Plus, the handy remote means you can adjust it without ever leaving bed....","It's finally almost here! This is your game plan for securing the best deals during the retailer's big summer sales event. Amazon Prime Day 2025 starts tomorrow. The major summer savings event includes must-see deals on home and outdoor goods, fashion, beauty, accessories, travel items, workout essentials, and must-haves from our favorite celebrities, including Paige DeSorbo, Ariana Madix, Kyle Richards, and more. If you haven't joined Prime yet, there's still time! Reminder: All the best deals will be exclusive to Amazon Prime members. Not a Prime member yet? You can sign up for a 30-day trial and get access to all the deals and Prime perks during the event. How Can I Find the Best Amazon Prime Day Deals? Stay ahead of the sale by checking curated Prime Day picks from E! Insider Shop. New offers go live regularly, and early deals often roll out before the main event. See all the early Prime discounts you can snag right now: Shop top-rated, celeb-loved beauty Shop celeb-loved travel deals Shop the best Bravolebrity-approved deals No Gatekeeping! The Best Amazon Prime Day Beauty Tool Deals Are Here Shop must-have shoe deals, including designer dupes Shop hot accessory deals Shop the best home deals, including Dyson, Ninja, and more Best Amazon Prime Day 2025 Deals on Outdoor Furniture, Decor, and Tech Shop the best Prime Day fashion deals TikTok-Viral Beauty Products from Medicube, Maybelline, & More Prime Day may kick off tomorrow, but you can and start shopping early Prime Day deals today before they run out of stock! We've rounded up our favorite early deals that you can shop right now below. Snag these must-haves, including celeb-approved beauty and accessories on-sale ahead of anyone else. Bestselling early Prime Day deals Amika Normcore Signature Shampoo You can always count on Amika to deliver the best results in their shampoo line. Just apply a palm-size amount to your hair, and coat from the root to tip for peak moisturizing results. e.l.f. Halo Glow Liquid Filter You know her, you love her, it's the Halo Glow Liquid Filter. The viral alternative to Charlotte Tilbury's Hollywood Flawless Filter. Whether you wear it on its own or beneath foundation, it leaves behind a radiant glow and a flawless, blurred effect. Choose from 12 shades. Charging Station for Apple Multiple Devices This portable, foldable wireless charging pad can do it all. It can power your iPhone (12 and up), Apple Watch, and AirPods (with magnetic case) all at once using just one cord. It folds into a stand so you can watch or chat while your devices charge, making it perfect for home, office, or travel. It's almost half off right now! New Balance Women's FuelCore Nergize V1 Sneaker With a versatile colorway and cushioned insole, these slip-on sneakers check all the boxes. You can toss the washing machine when they need a refresh, and they're available in wide sizing. They have 49,800+ 5-star Amazon reviews and this fan reported, ""I love these shoes, they're super lightweight and comfortable, good for running or day-to-day activities."" Available colors: 8 Available sizes: 5 to 12 (including wide & half sizes) Dreo Tower Fan It's hot out — stay cool with this must-have, on-sale 36-inch tower fan. With 4 modes, 4 speeds, and a whisper-quiet 28 dB design, it keeps you comfortable without the noise. Plus, the handy remote means you can adjust it without ever leaving bed....",2025-07-07 10:00:00,en,WEB,,,,37c77b775baf277a115f8f4be698d44f,,False,1,True,Affiliate,High,False,"The comment is a carefully crafted promotional piece disguised as an Amazon Prime Day shopping guide, with a specific product mention of Amika Normcore Signature Shampoo. While not containing direct a",[],False,,,
18110163523513929,"  SOLO HOY 7 DE JULIO TODOS LOS PRODUCTOS DE AMIKA TIENE UN 20% DE DESCUENTO (EXCLUYE LITROS, MASCARILLAS 16OZ) 🛍Oferta valida mientras dure la mercancía. ☎️Para mas información llamar al(787)488-0232 ⏰️Horario: 8:00am-5:00pm 📍Estamos localizados en Rexville Town Center de Bayamón #getsocialwithamika #amikahairproducts #healthlyhair #cabellosano #getsocialwithcosmoprof #estilismo #estilistadepuertorico #cosmoprofpuertorico #bayamon #toabajapuertorico #toaaltapr #naranjitopr #comeriopuertorico #barberosdepuertorico #barberosdelmundo #beautysalon #cambiodelook #cosmetologasprofesionales #estilistadepuertorico #reparaciondecabello","SOLO HOY 7 DE JULIO TODOS LOS PRODUCTOS DE AMIKA TIENE UN 20% DE DESCUENTO (EXCLUYE LITROS, MASCARILLAS 16OZ) Oferta valida mientras dure la mercancía. Para mas información llamar al(787)488-0232 Horario: 8:00am-5:00pm Estamos localizados en Rexville Town Center de Bayamón",2025-07-07 13:27:59,es,INSTAGRAM,getsocialwithamika|amikahairproducts|healthlyhair|cabellosano|getsocialwithcosmoprof|estilismo|estilistadepuertorico|cosmoprofpuertorico|bayamon|toabajapuertorico|toaaltapr|naranjitopr|comeriopuertorico|barberosdepuertorico|barberosdelmundo|beautysalon|cambiodelook|cosmetologasprofesionales|estilistadepuertorico|reparaciondecabello,,⏰🛍📍☎️,ea30559679ee83b9b7149f45b49ac6b3,,False,1,True,Brand_Official,High,False,"The comment contains multiple strong promotional indicators:
- Direct sales promotion with specific discount details (20% off)
- Explicit sales call with contact information
- Multiple brand-specific ",[],False,,,
1942271749959074052,"  amika soulfood nourishing Mask, 8 Fl oz #hairmask #haircare #hairtreatment #Amazon https://t.co/2jY7DRJRTu","amika soulfood nourishing Mask, 8 Fl oz",2025-07-07 17:17:25,en,TWITTER,hairmask|haircare|hairtreatment|Amazon,,,3e7cf5725ce0d80cf6657be7392ba269,,False,1,True,Affiliate,Medium,True,"- Contains specific product name (amika soulfood nourishing Mask)
- Includes multiple promotional hashtags (#hairmask #haircare #hairtreatment)
- Includes direct product link to Amazon (potential affi","['#hairmask', '#haircare', '#hairtreatment']",False,,,
18006941183783764,  absolute non negotiable hair products to pick up on amazon prime day 🧡💁‍♀️ amika #amikapartner #primeday #amazonfavorites #amazonbeauty #amazonbeauty #hairessentials #hairhealth,absolute non negotiable hair products to pick up on amazon prime day amika,2025-07-07 21:59:01,en,INSTAGRAM,amikapartner|primeday|amazonfavorites|amazonbeauty|amazonbeauty|hairessentials|hairhealth,,🧡💁‍♀️,601d476473f874d41072ff8494b04f05,,False,1,True,Influencer,Medium,False,"The comment contains multiple strong promotional indicators:
- Multiple branded hashtags (#amikapartner is a direct partnership disclosure)
- Explicit product recommendation
- Mentions specific shoppi",['#amikapartner'],False,,,
