fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
mov_BD1206C96E4A85E73E691EAA44959B62,"  6.00 USDHand Sanitizer Bottle Labels. Editable label template. Matching Designs Link ♥ https://www.etsy.com/shop/VineWedding?search_query=VWC95  TRY FREE DEMO - Try Before You Buy Copy and Paste Link Below To Your Web Browser https://www.corjl.com/d/18D1FG  ••• PLEASE NOTE ••• This item is a DIGITAL FILE, no physical item will be shipped. ________________________________________  SIMPLE AND EASY TO USE 1. After purchasing, an email will be sent to you with a link to log onto Corjl's online editor. 2. You can edit the files with the online editor on a phone, tablet or computer. Please SAVE your edits. 3. Download your final design files in PDF or JPEG file format to print. You will have access to your files for one full year (364 days) ________________________________________  Four label sizes included: ~ 1""x2"" size for 1 oz Purell bottle ~ 1.25""x1.375"" size for Bath & Body Works Pocketbac bottle ~ 1.25""x2.25"" size for 2 oz Purell bottle ~ 2""x3.25"" size for 6 to 8 oz bottle  ________________________________________  DIY Printing Options  Pocketbac Label Sheets for DIY Printing: https://www.onlinelabels.com/products/ol3344  Pocketbac Printing Template: https://www.onlinelabels.com/templates/blank/ol3344?type=maestro-label-designer  1""x2"" Labels: https://www.onlinelabels.com/products/ol114wx  Print on full sheet sticker paper: Download to print multiples per page and print on full sheet sticker paper and trim yourself. https://www.amazon.com/Sticker-Paper-Sheets-Inkjet-Printer/dp/B07N977LKT?th=1  WHERE TO PRINT  Local Print Shop - Staples, Office Depot, Fedex Office, etc. Home Printer - Download to print multiples per page with trim marks. Professional Online Print Shop - We recommend our printing partner Prints of Love. They offer high quality printing with free shipping and envelopes. Plus, Prints of Love will plant a tree in your name with every order. Please use code ""VINEWEDDING"" at Prints of Love for 10% off your order of $49 or more! Paste the link below to your browser to order your prints. https://printsoflove.com/ref/VineWedding  ________________________________________  TERMS & CONDITIONS OF USE Please note that by purchasing our product, you are agreeing to the following terms of use. • All designs are for PERSONAL USE ONLY and may not be used for any commercial use/resale, distributed or shared. You may print the designs for personal use. All rights are reserved by Vine Wedding. • Due to the digital nature of our products, refunds or exchanges are not possible once a file has been purchased. • Colors on final prints may vary depending on color settings, ink, printer and paper stock used, all of which is out of our control. We are unable to issue a refund based on your print results. • By purchasing this product, you understand and agree to the terms and conditions of use. ________________________________________  CONTACT • QUESTIONS We are happy to answer any questions you may have. We do our best to respond to all messages within 24 hours. ________________________________________  Copyright: All designs and templates are for personal use only and may not be used for any commercial use/resale, distributed or shared. You may print the templates for personal use. © Vine Wedding","6.00 USDHand Sanitizer Bottle Labels. Editable label template. Matching Designs Link TRY FREE DEMO - Try Before You Buy Copy and Paste Link Below To Your Web Browser ••• PLEASE NOTE ••• This item is a DIGITAL FILE, no physical item will be shipped. ________________________________________ SIMPLE AND EASY TO USE 1. After purchasing, an email will be sent to you with a link to log onto Corjl's online editor. 2. You can edit the files with the online editor on a phone, tablet or computer. Please SAVE your edits. 3. Download your final design files in PDF or JPEG file format to print. You will have access to your files for one full year (364 days) ________________________________________ Four label sizes included: ~ 1""x2"" size for 1 oz Purell bottle ~ 1.25""x1.375"" size for Bath & Body Works Pocketbac bottle ~ 1.25""x2.25"" size for 2 oz Purell bottle ~ 2""x3.25"" size for 6 to 8 oz bottle ________________________________________ DIY Printing Options Pocketbac Label Sheets for DIY Printing: Pocketbac Printing Template: 1""x2"" Labels: Print on full sheet sticker paper: Download to print multiples per page and print on full sheet sticker paper and trim yourself. WHERE TO PRINT Local Print Shop - Staples, Office Depot, Fedex Office, etc. Home Printer - Download to print multiples per page with trim marks. Professional Online Print Shop - We recommend our printing partner Prints of Love. They offer high quality printing with free shipping and envelopes. Plus, Prints of Love will plant a tree in your name with every order. Please use code ""VINEWEDDING"" at Prints of Love for 10% off your order of $49 or more! Paste the link below to your browser to order your prints. ________________________________________ TERMS & CONDITIONS OF USE Please note that by purchasing our product, you are agreeing to the following terms of use. • All designs are for PERSONAL USE ONLY and may not be used for any commercial use/resale, distributed or shared. You may print the designs for personal use. All rights are reserved by Vine Wedding. • Due to the digital nature of our products, refunds or exchanges are not possible once a file has been purchased. • Colors on final prints may vary depending on color settings, ink, printer and paper stock used, all of which is out of our control. We are unable to issue a refund based on your print results. • By purchasing this product, you understand and agree to the terms and conditions of use. ________________________________________ CONTACT • QUESTIONS We are happy to answer any questions you may have. We do our best to respond to all messages within 24 hours. ________________________________________ Copyright: All designs and templates are for personal use only and may not be used for any commercial use/resale, distributed or shared. You may print the templates for personal use. Vine Wedding",2025-07-01 20:04:59,en,WEB,,,♥©,371bafbb85c3411502e542338fee40ef,,False,1,True,Affiliate,High,True,"This is a detailed promotional listing for digital label templates specifically mentioning Bath & Body Works Pocketbac bottles. Multiple affiliate/referral links are present, including:
- Etsy shop li",[],False,,,
18071790349960747,  Protector Solar BATH AND BODY WORKS FPS 50 Resistente al agua durante 80 minutos. Elaborado sin parabenos ni colorantes artificiales. Clínicamente probado para hidratar la piel. Probado por dermatólogos Recuerda que todo lo que necesites lo encontrarás disponible en tu tienda online donde contamos con servicio a domicilio y ofertas especiales para consentirlos🇻🇪 📍Estamos ubicados en San Joaquín. 📍Si estas en Valencia en el Trigal 👏🏻. Hacemos entrega personales en ambos sitios Contamos con Delivery 🛵 🌎 Puedes Contactarnos desde Extranjero para hacerles las compras a tus familiares 🇻🇪 📲Contactanos: 📌 San Joaquín 04125014264 📌 Trigal 0414 4311939 🌀Síguenos: tetengoalguito VENTAS DE PRODUCTOS IMPORTADOS 🇺🇸 📱💌¡Ordénalos ahora y disfruta de lo mejor solo con tetengoalguito #bathandbodyworks #productosimportados📦 #valenciavenezuela #ᴍᴀʀᴀᴄᴀʏ #caracasvenezuela #sanjoaquin,Protector Solar BATH AND BODY WORKS FPS 50 Resistente al agua durante 80 minutos. Elaborado sin parabenos ni colorantes artificiales. Clínicamente probado para hidratar la piel. Probado por dermatólogos Recuerda que todo lo que necesites lo encontrarás disponible en tu tienda online donde contamos con servicio a domicilio y ofertas especiales para consentirlos Estamos ubicados en San Joaquín. Si estas en Valencia en el Trigal . Hacemos entrega personales en ambos sitios Contamos con Delivery Puedes Contactarnos desde Extranjero para hacerles las compras a tus familiares Contactanos: San Joaquín 04125014264 Trigal 0414 4311939 Síguenos: tetengoalguito VENTAS DE PRODUCTOS IMPORTADOS ¡Ordénalos ahora y disfruta de lo mejor solo con tetengoalguito,2025-07-01 22:06:57,es,INSTAGRAM,bathandbodyworks|productosimportados|valenciavenezuela|ᴍᴀʀᴀᴄᴀʏ|caracasvenezuela|sanjoaquin,,👏🏻📲🌎📌🇺🇸💌📱🇻🇪📍📦🛵🌀,56d0cfb7c4a721abf2ff71480c31360d,,False,1,True,Affiliate,High,False,"The comment contains multiple strong promotional indicators:
- Detailed product description of Bath & Body Works sunscreen
- Multiple contact numbers and location details
- Explicit sales-oriented lan",[],False,,,
1940434409515033057,  😶‍🌫️ Los jabones espumosos están a $5.994 en Bath And Body Works. 🔗 https://t.co/UfB3wHrU66 https://t.co/b4vb1WMKGZ,Los jabones espumosos están a $5.994 en Bath And Body Works.,2025-07-02 15:36:29,es,TWITTER,,,😶‍🌫️🔗,f4dc2f28bcf93bb2b7b978c4f0b9daa7,,False,1,True,Affiliate,Medium,True,"- Contains a shortened URL (potential affiliate/tracking link)
- Directly mentions Bath & Body Works brand
- Includes specific product pricing (","['- ""Los jabones espumosos"" (foamy soaps)', '- Bath And Body Works', '- Price mention (']",False,,,
1940471579764572308,"  I just listed: Bath and Body Works Aromatherapy Stress Relief Eucalyptus Spearmint Body Lotion Bath & Body Works, for CAD$24.99 via @amazon  https://t.co/QjtcrwZaQ1","I just listed: Bath and Body Works Aromatherapy Stress Relief Eucalyptus Spearmint Body Lotion Bath & Body Works, for CAD$24.99 via",2025-07-02 18:04:11,en,TWITTER,,amazon,,419badffe423f93e0794859e63385c71,cluster_1,True,7,True,Affiliate,Medium,True,"- Contains an Amazon affiliate link (https://t.co/QjtcrwZaQ1)
- Specific product listing with price (Bath & Body Works Aromatherapy Stress Relief Eucalyptus Spearmint Body Lotion)
- Appears to be a pr","['- ""listed""', '- ""CAD']",False,,,
17888159979293039,"  Naabend liebe Dufties 🫶🏼 ✨Bath and Body Works At The Beach✨ Duftkomponenten: Frangipani, geröstete Kokosnuss mit der Frische von Bergamotte und einer kühlen Meeresbrise Was für ein schöner Duft! 😍 Dieses Jahr hab ich wirklich viele Highlights unter meinen neuen Sommerkerzen 🥰 Ich rieche hier zuerst einmal eine süße, sehr wässrige Kokosnuss. Hinzu gesellen sich leicht frische, blumige Noten. Frangipani riecht man definitiv heraus. Ein nahezu perfekter Sommerduft, der an einen tropischen Strand erinnert 🏝️😍 Was haltet ihr vom Duft? 🐚🥥🌴 #bathandbodyworks #bathandbodyworkscandles #atthebeach #candle #candleobsessed #candleobsession #candleaddiction #candlewarmer #candlewarmers #scentedcandle #scentedcandles #candlelover #candlelovers #candlelove [Unbezahlte Werbung]","Naabend liebe Dufties Bath and Body Works At The Beach Duftkomponenten: Frangipani, geröstete Kokosnuss mit der Frische von Bergamotte und einer kühlen Meeresbrise Was für ein schöner Duft! Dieses Jahr hab ich wirklich viele Highlights unter meinen neuen Sommerkerzen Ich rieche hier zuerst einmal eine süße, sehr wässrige Kokosnuss. Hinzu gesellen sich leicht frische, blumige Noten. Frangipani riecht man definitiv heraus. Ein nahezu perfekter Sommerduft, der an einen tropischen Strand erinnert Was haltet ihr vom Duft? [Unbezahlte Werbung]",2025-07-02 18:26:47,de,INSTAGRAM,bathandbodyworks|bathandbodyworkscandles|atthebeach|candle|candleobsessed|candleobsession|candleaddiction|candlewarmer|candlewarmers|scentedcandle|scentedcandles|candlelover|candlelovers|candlelove,,✨🌴🐚🏝️🫶🏼🥥🥰😍,c14592434eaa6e71355302ac321d8c95,,False,1,True,Influencer,Medium,False,"- Contains multiple Bath & Body Works branded hashtags
- Detailed product description of a specific scent
- Includes ""[Unbezahlte Werbung]"" (Unpaid Advertisement) disclosure
- Enthusiastic product rev",[],False,,,
mov_9F75CA854AABDB02CC80854B9E398E1F,"  Although it's only been summer for about 12 days, Halloween feels just around the corner—thanks to the Summerween collection at Bath and Body Works. It's still a few months until the spooky season officially begins but that doesn't mean you can't start using the eerie products now. Shopping    The Scent-sational Savings Event: Bath and Body Works Semi-Annual Sale Details     The highly anticipated Bath and Body Works Semi-Annual Sale kicked off just after the Christmas holiday this year and we have all the details. This is the ultimate opportunity to snag incredible deals. From up to 75% off clearance items to exciting weekly markdowns, this sale is a treasure trove for fans of the brand's […]   Why Summerween at Bath & Body Works is a big deal Dropping in stores nationwide is the Summerween collection of nearly 70 products, featuring all of your favorite Halloween creatures and items. With new drops and returning favorites all in store for this year, the Summerween collection is set to release earlier than ever before. “We're fully embracing this exciting summer trend, which is now bigger than ever, with an incredible collection of fragrances and accessories which capture the true essence of the spooky season,” says Betsy Schumacher, Chief Merchant at Bath & Body Works. “Halloween is one of our customers' favorite times of year and we're meeting them right where they are with the highest quality, trend-forward products to fit every mood and aesthetic.” See the exciting products that you can get your hands on in just a few days. Shopping    Get Bath and Body Works Body Care for the Lowest Price of the Year This Weekend     After Candle Day, there's only one sale Bath and Body Works fans love more — Body Care Day. Starting Dec. 13 for Loyalty Members (and Dec. 14 for everyone else), this weekend-long event is your chance to score Bath & Body Works body care for just $4.95 each! From fan-favorite fragrances to exciting new scents, […]   Introducing the 2025 Summerween Collection The Summerween Collection is chock-full of spooky fragrances that are perfect for the fall season. See the exciting options below. I Scream Float: As one of the new drops this season, the I Scream Float is a play on words of the summertime favorite, an ice cream float. This fragrance includes notes of cola, vanilla and some extra spookiness that you'll just have to see to believe. Vampire Blood: You've seen this one before but that doesn't mean you can't grab another product in Vampire Blood. This scent features red berries, plum and jasmine, perfect for a cool autumn night. Immortal: Another returning favorite is the first-ever men's fragrance with black plum, saffron and aged oak—and this year, you can get it in a coffin-shaped box. Ghoul Friend: This fragrance is a seductive blend of dark strawberries, peony, and citrus—the perfect gift for someone's boo-thang. Wicked Vanilla Woods: This is just right for you if you love the sweetness of your vanilla fragrances. The delicate fragrance combines notes of vanilla, amber wood and pink pepper. Candy Apple Cauldron: No autumn season is complete without a candy apple. This sweet scent twists green apple, sugar and bergamot There are also creepy accessories that will add to the sweet scents, including a ghostly 3-wick candle pedestal holder, a bubbling cauldron hand soap dispenser, black cat-inspired hand sanitizer holders and Wallflower plugs and a ghoulish Frankenstein's Bakery luminary. Shopping    Halloween Decor in a Pinch: 18 Amazon Finds That'll Get Your Home Halloween Ready     Shop last-minute Halloween decor at Amazon! When can you get your claws on the Summerween Collection? It's a few months until Halloween, but the Summerween Collection is available much sooner. If you're a member of the Bath and Body Works Loyalty Program, you can get your hands on the products right now—the collection dropped online exclusively for loyalty members on June 30. To become a loyalty member, sign up for free right here! If you're not a member, you'll have to anxiously await July 7, 2025, when the new products will become available to all souls. Keep reading for more! The Best Women's Clothing Sales You Can Shop Right Now Black Jelly Sandals Are the Surprise Hit of the Season — Shop the Viral Comeback at Zappos Shop These Steals on Spring Dresses at QVC Before They Sell Out!","Although it's only been summer for about 12 days, Halloween feels just around the corner—thanks to the Summerween collection at Bath and Body Works. It's still a few months until the spooky season officially begins but that doesn't mean you can't start using the eerie products now. Shopping The Scent-sational Savings Event: Bath and Body Works Semi-Annual Sale Details The highly anticipated Bath and Body Works Semi-Annual Sale kicked off just after the Christmas holiday this year and we have all the details. This is the ultimate opportunity to snag incredible deals. From up to 75% off clearance items to exciting weekly markdowns, this sale is a treasure trove for fans of the brand's […] Why Summerween at Bath & Body Works is a big deal Dropping in stores nationwide is the Summerween collection of nearly 70 products, featuring all of your favorite Halloween creatures and items. With new drops and returning favorites all in store for this year, the Summerween collection is set to release earlier than ever before. “We're fully embracing this exciting summer trend, which is now bigger than ever, with an incredible collection of fragrances and accessories which capture the true essence of the spooky season,” says Betsy Schumacher, Chief Merchant at Bath & Body Works. “Halloween is one of our customers' favorite times of year and we're meeting them right where they are with the highest quality, trend-forward products to fit every mood and aesthetic.” See the exciting products that you can get your hands on in just a few days. Shopping Get Bath and Body Works Body Care for the Lowest Price of the Year This Weekend After Candle Day, there's only one sale Bath and Body Works fans love more — Body Care Day. Starting Dec. 13 for Loyalty Members (and Dec. 14 for everyone else), this weekend-long event is your chance to score Bath & Body Works body care for just $4.95 each! From fan-favorite fragrances to exciting new scents, […] Introducing the 2025 Summerween Collection The Summerween Collection is chock-full of spooky fragrances that are perfect for the fall season. See the exciting options below. I Scream Float: As one of the new drops this season, the I Scream Float is a play on words of the summertime favorite, an ice cream float. This fragrance includes notes of cola, vanilla and some extra spookiness that you'll just have to see to believe. Vampire Blood: You've seen this one before but that doesn't mean you can't grab another product in Vampire Blood. This scent features red berries, plum and jasmine, perfect for a cool autumn night. Immortal: Another returning favorite is the first-ever men's fragrance with black plum, saffron and aged oak—and this year, you can get it in a coffin-shaped box. Ghoul Friend: This fragrance is a seductive blend of dark strawberries, peony, and citrus—the perfect gift for someone's boo-thang. Wicked Vanilla Woods: This is just right for you if you love the sweetness of your vanilla fragrances. The delicate fragrance combines notes of vanilla, amber wood and pink pepper. Candy Apple Cauldron: No autumn season is complete without a candy apple. This sweet scent twists green apple, sugar and bergamot There are also creepy accessories that will add to the sweet scents, including a ghostly 3-wick candle pedestal holder, a bubbling cauldron hand soap dispenser, black cat-inspired hand sanitizer holders and Wallflower plugs and a ghoulish Frankenstein's Bakery luminary. Shopping Halloween Decor in a Pinch: 18 Amazon Finds That'll Get Your Home Halloween Ready Shop last-minute Halloween decor at Amazon! When can you get your claws on the Summerween Collection? It's a few months until Halloween, but the Summerween Collection is available much sooner. If you're a member of the Bath and Body Works Loyalty Program, you can get your hands on the products right now—the collection dropped online exclusively for loyalty members on June 30. To become a loyalty member, sign up for free right here! If you're not a member, you'll have to anxiously await July 7, 2025, when the new products will become available to all souls. Keep reading for more! The Best Women's Clothing Sales You Can Shop Right Now Black Jelly Sandals Are the Surprise Hit of the Season — Shop the Viral Comeback at Zappos Shop These Steals on Spring Dresses at QVC Before They Sell Out!",2025-07-02 20:30:12,en,WEB,,,,d78c90cc61329c765e94efd8ce66c0ae,,False,1,True,Brand_Official,High,False,"This appears to be a direct promotional piece from Bath & Body Works, with multiple clear indicators:
- Detailed product descriptions of new ""Summerween"" collection
- Direct quotes from Bath & Body Wo",[],False,,,
1940523761956278418,  Bath and Body Works has a 75% sale on select items.,Bath and Body Works has a 75% sale on select items.,2025-07-02 21:31:32,en,TWITTER,,,,b0fc81d9c73332cee006db0c2388eadc,,False,1,True,Brand_Official,Medium,False,"The comment directly references an ongoing sale (75% off) for Bath & Body Works, which is a clear promotional statement about current pricing and product availability.",[],False,,,
1940756021216936399,  $1 PocketBac Hand Sanitizers at Bath and Body Works Use code: BIGDEAL https://t.co/EGE0BITiPQ https://t.co/uYlOsV5fFy,$1 PocketBac Hand Sanitizers at Bath and Body Works Use code: BIGDEAL,2025-07-03 12:54:27,en,TWITTER,,,,e7835da8c20ce83733efc43209a24d90,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product discount (","['- ""']",False,,,
17920100771999683,"  Bodymist Warm Vanilla Sugar de Bath and Body Works ✨ Sumérgete en la dulzura y calidez del bodymist Warm Vanilla Sugar de Bath and Body Works. Este delicioso aroma combina notas de vainilla cálida, azúcar moreno y un toque de almizcle, creando una fragancia irresistible que te envolverá en una sensación de confort y elegancia. 🌸🍦 Características: - Fragancia: Vainilla cálida, azúcar moreno y almizcle. 🌟 - Duración: Larga duración para mantenerte perfumada todo el día. ⏳ - Uso: Ideal para cualquier ocasión, desde una salida casual hasta una noche especial. 🌙✨ Promoción Especial: - Domicilio Gratis en Barranquilla 🚚 - Envío a toda Colombia 📦 ¡No te pierdas la oportunidad de disfrutar de esta maravillosa fragancia! Haz tu pedido ahora y déjate envolver por la magia de Warm Vanilla Sugar. 🌟💖 #bathandbodyworks #victoriassecret #bodymistbbw #colombia🇨🇴 #barranquilla","Bodymist Warm Vanilla Sugar de Bath and Body Works Sumérgete en la dulzura y calidez del bodymist Warm Vanilla Sugar de Bath and Body Works. Este delicioso aroma combina notas de vainilla cálida, azúcar moreno y un toque de almizcle, creando una fragancia irresistible que te envolverá en una sensación de confort y elegancia. Características: - Fragancia: Vainilla cálida, azúcar moreno y almizcle. - Duración: Larga duración para mantenerte perfumada todo el día. - Uso: Ideal para cualquier ocasión, desde una salida casual hasta una noche especial. Promoción Especial: - Domicilio Gratis en Barranquilla - Envío a toda Colombia ¡No te pierdas la oportunidad de disfrutar de esta maravillosa fragancia! Haz tu pedido ahora y déjate envolver por la magia de Warm Vanilla Sugar.",2025-07-04 18:42:51,es,INSTAGRAM,bathandbodyworks|victoriassecret|bodymistbbw|colombia|barranquilla,,🇨🇴🌙⏳🍦🌸🌟📦🚚✨💖,dc147402b4c06bffbe9c81180d3b0cc3,,False,1,True,Influencer,High,False,"The comment contains multiple strong promotional indicators:
- Detailed product description of Bath & Body Works Warm Vanilla Sugar body mist
- Specific product features and benefits
- Explicit sales ",[],False,,,
17931558566948163,"  Tienda Bath and Body Works 🧴🛍️ Visitamos tienda física y mandamos fotos en tiempo real, y lo mejor de todo respetamos las ofertas en tienda. Pregunta por tu olor favorito 😍 #bathandbody #bodylotion #candles #bodycare #cuidadopersonal #comprafácil #carcare #guadalajara #zapopan #jalisco","Tienda Bath and Body Works Visitamos tienda física y mandamos fotos en tiempo real, y lo mejor de todo respetamos las ofertas en tienda. Pregunta por tu olor favorito",2025-07-04 20:35:04,es,INSTAGRAM,bathandbody|bodylotion|candles|bodycare|cuidadopersonal|comprafácil|carcare|guadalajara|zapopan|jalisco,,🧴😍🛍️,50ea31c3440a855428da3f0cce41712b,,False,1,True,Influencer,Medium,False,"The comment appears to be a promotional/service-oriented post from a local Bath & Body Works reseller or personal shopping service in Guadalajara, Mexico. Key promotional indicators include:

- Direct",[],False,,,
