fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1939889451804529063,"  SPR_COMBO[es]REDKEN - Tratamiento One United de Redken | Spray 25 beneficios en 1 con protección térmica para todo tipo de cabello |Repara, nutre, fortalece, previene el quiebre y proporciona manejabilidad | Ácido Láctico y Aceite de Coco | 150ml se pone de 840 a 578 pesos (31% de descuento)…","SPR_COMBO[es]REDKEN - Tratamiento One United de Redken | Spray 25 beneficios en 1 con protección térmica para todo tipo de cabello |Repara, nutre, fortalece, previene el quiebre y proporciona manejabilidad | Ácido Láctico y Aceite de Coco | 150ml se pone de 840 a 578 pesos (31% de descuento)…",2025-07-01 03:31:01,es,TWITTER,,,,f2dcec759e08ed78d097c8d91e8e0316,cluster_3,True,2,True,Brand_Official,High,False,"The comment contains multiple strong promotional elements including:
- Specific product details (Redken One United Spray)
- Explicit product benefits
- Detailed price information (840 to 578 pesos, 31",[],False,,,
18511324921039350,"  #Collaboration ! I have been using redken ABC Leave-In Treatment for almost a year now and have gone through a couple of tubes,  because it's THAT good. Damage from heat styling is one of the most important things to avoid and now it's the easiest too! Just apply a coin sized amount of this to your damp hair and style as usual. That's literally it. Instantly protected from heat up to 230 °C! Because of my work and needing to heat style my hair often for shoots I have to be extra careful and I can honestly, and happily say my hair and felt so much healthier and stronger after using this consistently and much less frizz and split ends than I used to see! Get your hands on this now at a Redken salon close to you or online on mynykaa or amazonfashionin! #RedkenRepairs #RedkenIndia","! I have been using redken ABC Leave-In Treatment for almost a year now and have gone through a couple of tubes, because it's THAT good. Damage from heat styling is one of the most important things to avoid and now it's the easiest too! Just apply a coin sized amount of this to your damp hair and style as usual. That's literally it. Instantly protected from heat up to 230 °C! Because of my work and needing to heat style my hair often for shoots I have to be extra careful and I can honestly, and happily say my hair and felt so much healthier and stronger after using this consistently and much less frizz and split ends than I used to see! Get your hands on this now at a Redken salon close to you or online on mynykaa or amazonfashionin!",2025-07-01 03:33:46,en,INSTAGRAM,Collaboration|RedkenRepairs|RedkenIndia,,,bd96f234542ba0d6c6275f3cf08bdda2,,False,1,True,Influencer,High,False,"The comment contains multiple strong promotional indicators:
- Detailed product recommendation with specific usage instructions
- Direct product placement (#RedkenRepairs, #RedkenIndia)
- Explicit sto","['#RedkenRepairs', '#RedkenIndia']",False,,,
18334350544202802,"  #Collaboration | When the heat is on, my hair doesn't even flinch - thanks to redken 's Acidic Bonding Concentrate Leave-In Treatment 🧬✨ From hot tools to hotter days, this leave-in is my go-to for: Up to 230°C heat protection Stronger, shinier, healthier hair Bond repair that works from the inside out. Try it now from a Redken salon close to you or online on mynykaa & amazonfashionin 💁‍♀ #RedkenRepairs #RedkenIndia","| When the heat is on, my hair doesn't even flinch - thanks to redken 's Acidic Bonding Concentrate Leave-In Treatment From hot tools to hotter days, this leave-in is my go-to for: Up to 230°C heat protection Stronger, shinier, healthier hair Bond repair that works from the inside out. Try it now from a Redken salon close to you or online on mynykaa & amazonfashionin",2025-07-01 04:55:44,en,INSTAGRAM,Collaboration|RedkenRepairs|RedkenIndia,,💁‍♀✨🧬,5b63ff52f6a917b373dcf9197bafef77,,False,1,True,Influencer,High,False,"Multiple strong promotional indicators present, including:
- Explicit product recommendation
- Specific product details (#Redken Acidic Bonding Concentrate)
- Direct purchase suggestions (""Try it now""",['#Redken'],False,,,
18411514282103590,"  #Collaboration | When the heat is on, my hair doesn't even flinch - thanks to @redken 's Acidic Bonding Concentrate Leave-In Treatment 🧬✨ From hot tools to hotter days, this leave-in is my go-to for: Up to 230°C heat protection Stronger, shinier, healthier hair Bond repair that works from the inside out. Try it now from a Redken salon close to you or online on @mynykaa & @amazonfashionin 💁‍♀ #RedkenRepairs #RedkenIndia","| When the heat is on, my hair doesn't even flinch - thanks to 's Acidic Bonding Concentrate Leave-In Treatment From hot tools to hotter days, this leave-in is my go-to for: Up to 230°C heat protection Stronger, shinier, healthier hair Bond repair that works from the inside out. Try it now from a Redken salon close to you or online on &",2025-07-01 04:55:49,en,INSTAGRAM,Collaboration|RedkenRepairs|RedkenIndia,redken|mynykaa|amazonfashionin,💁‍♀✨🧬,16b8bc5848fa09de94b86c5624cbd429,,False,1,True,Influencer,High,False,"Multiple strong promotional indicators present, including:
- Explicit product recommendation
- Specific product details (#Redken Acidic Bonding Concentrate)
- Direct purchase suggestions (""Try it now""",['#Redken'],False,,,
18072357320480912,"  When the heat turns up, my hair doesn't back down, thanks to redken! My go-to: Redken's ABC Leave-In Treatment for Stronger hair from the inside out Heat Protection up to 230°C Shiny, frizz- free hair with no split-ends! It's my holy-grail pre styling and I never skip this step! Try it for yourself from a Redken salon close to you or online on mynykaa or amazonfashionin #RedkenIndia #RedkenRepairs","When the heat turns up, my hair doesn't back down, thanks to redken! My go-to: Redken's ABC Leave-In Treatment for Stronger hair from the inside out Heat Protection up to 230°C Shiny, frizz- free hair with no split-ends! It's my holy-grail pre styling and I never skip this step! Try it for yourself from a Redken salon close to you or online on mynykaa or amazonfashionin",2025-07-01 08:15:22,en,INSTAGRAM,RedkenIndia|RedkenRepairs,,,e43df65317fd9020d447babd495fc1d8,,False,1,True,Influencer,High,False,"The comment contains multiple strong promotional indicators:
- Detailed product recommendation
- Specific product name (Redken ABC Leave-In Treatment)
- Product benefits highlighted
- Brand hashtags (",[],False,,,
18089134933659016,"  Y'all are going to want these… 😍 Comment “MUST HAVE” below to shop! At 54, I'm all about simplifying my routine without sacrificing results. These tried-and-true favorites (from makeup to skincare, hair care, scalp serums, and tools) are over-40 approved and seriously make getting ready a breeze. Whether it's smoothing flyaways, brightening dull skin, or getting that effortless glow, these are the products I reach for again and again. Minimal effort, maximum glow… yes please! Featuring staples from trusted brands like Divi, DIBS Beauty, Colleen Rothschild, Clinique, Revlon, Fièra, Living Proof, Kérastase, and Redken. #over40beauty #simplifyyourroutine #divi #dibs #colleenrothschild #revlon #redken #livingproofhair #clinque #summeressentials #agelessbeauty #over40style #radiantcomplexion #cleangirl #summerskin","Y'all are going to want these… Comment “MUST HAVE” below to shop! At 54, I'm all about simplifying my routine without sacrificing results. These tried-and-true favorites (from makeup to skincare, hair care, scalp serums, and tools) are over-40 approved and seriously make getting ready a breeze. Whether it's smoothing flyaways, brightening dull skin, or getting that effortless glow, these are the products I reach for again and again. Minimal effort, maximum glow… yes please! Featuring staples from trusted brands like Divi, DIBS Beauty, Colleen Rothschild, Clinique, Revlon, Fièra, Living Proof, Kérastase, and Redken.",2025-07-01 13:30:05,en,INSTAGRAM,over40beauty|simplifyyourroutine|divi|dibs|colleenrothschild|revlon|redken|livingproofhair|clinque|summeressentials|agelessbeauty|over40style|radiantcomplexion|cleangirl|summerskin,,😍,5437febb7ae014f1cf4cb476d14be745,cluster_2,True,2,True,Influencer,Medium,False,"The comment exhibits multiple promotional indicators:
- Multiple brand mentions across multiple product categories
- Encourages engagement with ""Comment 'MUST HAVE' below to shop!""
- Uses multiple bra",[],False,,,
3667135216507846097_845447128,"  Y'all are going to want these… 😍 Comment “MUST HAVE” below to shop! At 54, I'm all about simplifying my routine without sacrificing results. These tried-and-true favorites (from makeup to skincare, hair care, scalp serums, and tools) are over-40 approved and seriously make getting ready a breeze. Whether it's smoothing flyaways, brightening dull skin, or getting that effortless glow, these are the products I reach for again and again. Minimal effort, maximum glow… yes please! Featuring staples from trusted brands like Divi, DIBS Beauty, Colleen Rothschild, Clinique, Revlon, Fièra, Living Proof, Kérastase, and Redken. #over40beauty #simplifyyourroutine #divi #dibs #colleenrothschild #revlon #redken #livingproofhair #clinque #summeressentials #agelessbeauty #over40style #radiantcomplexion #cleangirl #summerskin","Y'all are going to want these… Comment “MUST HAVE” below to shop! At 54, I'm all about simplifying my routine without sacrificing results. These tried-and-true favorites (from makeup to skincare, hair care, scalp serums, and tools) are over-40 approved and seriously make getting ready a breeze. Whether it's smoothing flyaways, brightening dull skin, or getting that effortless glow, these are the products I reach for again and again. Minimal effort, maximum glow… yes please! Featuring staples from trusted brands like Divi, DIBS Beauty, Colleen Rothschild, Clinique, Revlon, Fièra, Living Proof, Kérastase, and Redken.",2025-07-01 13:30:05,en,INSTAGRAM,over40beauty|simplifyyourroutine|divi|dibs|colleenrothschild|revlon|redken|livingproofhair|clinque|summeressentials|agelessbeauty|over40style|radiantcomplexion|cleangirl|summerskin,,😍,5437febb7ae014f1cf4cb476d14be745,cluster_2,False,2,True,Influencer,Medium,False,"The comment exhibits multiple promotional indicators:
- Multiple brand mentions across multiple product categories
- Encourages engagement with ""Comment 'MUST HAVE' below to shop!""
- Uses multiple bra",[],True,True,Medium,2.9711101055145264
1940040424787177719,"  CABELOS MACIOS E HIDRATADOS! ✨ Redken Leave-in All Soft Moisture Restore Selecione ""Comprar com recorrência"" R$ 89,91 https://t.co/VnI5ucAnkp via @amazon #cabelo","CABELOS MACIOS E HIDRATADOS! Redken Leave-in All Soft Moisture Restore Selecione ""Comprar com recorrência"" R$ 89,91 via",2025-07-01 13:30:56,pt,TWITTER,cabelo,amazon,✨,c499ab721c69661296544e114355a58c,,False,1,True,Affiliate,High,True,"The comment contains multiple promotional indicators:
- Direct product mention (Redken Leave-in All Soft Moisture Restore)
- Specific pricing information (R",[],False,,,
mov_17B7750B916D372D2A042B9FC5F00804,"  SPR_COMBO[it]Diventa tester Lancome, CeraVe, La Roche-Posay, Redken… (Luglio 2025) 1 Luglio 2025 0 Facebook
WhatsApp
Twitter
Telegram
Email
Print
Quale delle 2 Beauty Box scegli? Diventa tester e ricevi gratis prodotti Lancome, CeraVe, La Roche-Posay, Redken, Nyx, Matrix, Kiehl's! Scopriamo come candidarsi. Clicca l'immagine sottostante per collegarti con la pagina del progetto ufficiale Test&Tell luglio 2025. Dopodiché semplicemente compila il modulo di candidatura con i tuoi dati e scegli uno dei due box che vorresti ricevere gratuitamente a casa da provare: BOX 1 Face Foaming Cleansing Gel di CeraVe Toleraine Acqua Micellare Pelle Reattiva di La Roche Posay ACG Naked Gloss Oil di Redken Liquid Eyeliner di NYX Professional Makeup BOX 2 Face Foaming Cleansing Calendula di Kiehl's Bi-Facil Struccante di Lancôme Food For Soft Oil Serum di Matrix Fat Oil Lipstick di NYX Professional Makeup Tra tutte le partecipanti saranno scelte 50 tester (25 per ciascuna box), che verranno prima informate via email dell'avvenuta selezione dopodiché, in cambio di una sincera opinione (da esprimere mediante un questionario o una recensione), riceveranno il prodotto. Le candidature saranno aperte dal 30 giugno al 20 luglio 2025. Puoi anche:
guadagnare 100€ in buoni Amazon con l'app di Nielsen (testata da 10 anni da noi, sicura e pagante).
guadagnare premi di valore (TV, elettrodomestici...) scansionando la tua spesa in un qualsiasi supermercato;
guardare la nostra sezione dedicata Diventa Tester (sempre aggiornata) e verificare se hai sottoposto la candidatura a tutti i progetti attivi;
TAGScosmetici gratisdiventare tester prodotti scontOmaggio Articoli correlatiDi più dello stesso autore Campioni omaggio Diventa tester mascara Lord&Berry Splashproof Waterproof Campioni omaggio Campioni omaggio Vichy Minéral 89 Booster Campioni omaggio Campioni omaggio siero La Roche-Posay Mela B3 Campioni omaggio Diventa tester MammaCheApp… GRATIS la MammacheValigiaParto Campioni omaggio Diventa tester “Libri in Musica – Leggi e Ascolta” con Whiskey il Ragnetto, Unicorni Magici e Trattori Impazziti! Concorsi con acquisto Concorso Make-up Maybelline… in palio 10 iPhone 16 128 gb","SPR_COMBO[it]Diventa tester Lancome, CeraVe, La Roche-Posay, Redken… (Luglio 2025) 1 Luglio 2025 0 Facebook WhatsApp Twitter Telegram Email Print Quale delle 2 Beauty Box scegli? Diventa tester e ricevi gratis prodotti Lancome, CeraVe, La Roche-Posay, Redken, Nyx, Matrix, Kiehl's! Scopriamo come candidarsi. Clicca l'immagine sottostante per collegarti con la pagina del progetto ufficiale Test&Tell luglio 2025. Dopodiché semplicemente compila il modulo di candidatura con i tuoi dati e scegli uno dei due box che vorresti ricevere gratuitamente a casa da provare: BOX 1 Face Foaming Cleansing Gel di CeraVe Toleraine Acqua Micellare Pelle Reattiva di La Roche Posay ACG Naked Gloss Oil di Redken Liquid Eyeliner di NYX Professional Makeup BOX 2 Face Foaming Cleansing Calendula di Kiehl's Bi-Facil Struccante di Lancôme Food For Soft Oil Serum di Matrix Fat Oil Lipstick di NYX Professional Makeup Tra tutte le partecipanti saranno scelte 50 tester (25 per ciascuna box), che verranno prima informate via email dell'avvenuta selezione dopodiché, in cambio di una sincera opinione (da esprimere mediante un questionario o una recensione), riceveranno il prodotto. Le candidature saranno aperte dal 30 giugno al 20 luglio 2025. Puoi anche: guadagnare 100€ in buoni Amazon con l'app di Nielsen (testata da 10 anni da noi, sicura e pagante). guadagnare premi di valore (TV, elettrodomestici...) scansionando la tua spesa in un qualsiasi supermercato; guardare la nostra sezione dedicata Diventa Tester (sempre aggiornata) e verificare se hai sottoposto la candidatura a tutti i progetti attivi; TAGScosmetici gratisdiventare tester prodotti scontOmaggio Articoli correlatiDi più dello stesso autore Campioni omaggio Diventa tester mascara Lord&Berry Splashproof Waterproof Campioni omaggio Campioni omaggio Vichy Minéral 89 Booster Campioni omaggio Campioni omaggio siero La Roche-Posay Mela B3 Campioni omaggio Diventa tester MammaCheApp… GRATIS la MammacheValigiaParto Campioni omaggio Diventa tester “Libri in Musica – Leggi e Ascolta” con Whiskey il Ragnetto, Unicorni Magici e Trattori Impazziti! Concorsi con acquisto Concorso Make-up Maybelline… in palio 10 iPhone 16 128 gb",2025-07-01 15:05:57,it,WEB,,,,d0c964f38dfdc975ea3d3584bd102f1e,,False,1,True,UGC_Campaign,High,False,"- Detailed product testing campaign for multiple brands including Redken
- Describes specific product testing process with 50 selected testers
- Offers free product samples in exchange for reviews
- I",[],False,,,
18094051711528776,"  ¡8 años de belleza, cuidado y transformación con albabrows_ en velezza🎉 Gracias por acompañarnos en este viaje… y para celebrarlo, te traemos un aniversario cargado de descuentos, regalos y mimos especiales 💖 👀 Quédate hasta el final del video y descubre todas las ofertas en tratamientos capilares, cejas y pestañas que tenemos para ti en Velezza: 💆🏻‍♀️ Tratamientos de cabina con precios especiales: ✔️ Fusio Dose de Kérastase: $2,400 (antes $3,000) ✔️ Células madres de Alfaparf: $2,000 (antes $2,500) ✔️ Tailoring de Davines: $1,900 (antes $2,500) ✔️ Abc bonding concentré de Redken: $2,000 (antes $3,000) Cejas y pestañas que realzan tu belleza natural — Además, si te realizas un baño de color, recibes corte de puntas GRATIS ✂️ 🎁 Y por consumo de RD$3,500 o más… ¡te llevas un regalito especial! 📍Ubicados en la calle Miguel Ángel Monclus #304, Renacimiento, Santo Domingo 📲 Para más información puedes contactarnos al 829-684-3575 ✨ Celebra con nosotros y regálate el cuidado que mereces #Velezza #Aniversario #AlbaBrows8Años #CejasYMás #OfertasDeBelleza #rd #micropigmentaciòn #salon","¡8 años de belleza, cuidado y transformación con albabrows_ en velezza Gracias por acompañarnos en este viaje… y para celebrarlo, te traemos un aniversario cargado de descuentos, regalos y mimos especiales Quédate hasta el final del video y descubre todas las ofertas en tratamientos capilares, cejas y pestañas que tenemos para ti en Velezza: Tratamientos de cabina con precios especiales: Fusio Dose de Kérastase: $2,400 (antes $3,000) Células madres de Alfaparf: $2,000 (antes $2,500) Tailoring de Davines: $1,900 (antes $2,500) Abc bonding concentré de Redken: $2,000 (antes $3,000) Cejas y pestañas que realzan tu belleza natural — Además, si te realizas un baño de color, recibes corte de puntas GRATIS Y por consumo de RD$3,500 o más… ¡te llevas un regalito especial! Ubicados en la calle Miguel Ángel Monclus , Renacimiento, Santo Domingo Para más información puedes contactarnos al 829-684-3575 Celebra con nosotros y regálate el cuidado que mereces",2025-07-01 16:01:09,es,INSTAGRAM,304|Velezza|Aniversario|AlbaBrows8Años|CejasYMás|OfertasDeBelleza|rd|micropigmentaciòn|salon,,🎁📲👀💆🏻‍♀️✔️🎉📍✂️✨💖,c102860822a8653ad27edd3426b97189,,False,1,True,Brand_Official,High,False,"This is a highly promotional comment from a salon (Velezza) advertising multiple beauty treatments and specifically mentioning Redken products. The comment contains clear sales-oriented elements:
- Sp",[],False,,,
