fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,cluster_id,is_representative,repetition_count,counterfeit_risk,has_ccr_risk,risk_level,risk_type,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1944993685914943494,  SPR_COMBO[es]LIP GLOSS DE NYX CON EFECTO VOLUMINIZADOR🔥 Brillo De Labios Con Efecto Plump Nyx Cosmetics Color Clearly Spicy Link MercadoLibre: https://t.co/WBMWJ0hUML 💋Precio Original: $299 💋Precio Oferta: $166 ⚡️Únete a nuestros otros grupos: https://t.co/hDwlFEz4oK #Belleza #Ofert… https://t.co/eLHR1Qih3q,SPR_COMBO[es]LIP GLOSS DE NYX CON EFECTO VOLUMINIZADOR Brillo De Labios Con Efecto Plump Nyx Cosmetics Color Clearly Spicy Link MercadoLibre: Precio Original: $299 Precio Oferta: $166 Únete a nuestros otros grupos: …,2025-07-15 05:33:25,es,TWITTER,Belleza|Ofert,,⚡🔥💋,,False,1,True,True,Low,Suspicious_source,"The comment appears to be a promotional post for NYX lip gloss on MercadoLibre, with a significant price discount. While not explicitly indicating counterfeits, the extremely low price (from $299 to $","['""Precio Original"" (Original Price)']",False,,,
1945469064555737142,"  #広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pom🥳ade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette🔥 (並行","￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行",2025-07-16 13:02:24,en,TWITTER,広告,,🔥🥳,cluster_2,True,13,True,True,High,Amazon_fake_concern,"- The comment includes ""(並行輸入品)"" which indicates parallel imported goods
- The listing is on Amazon, which has known counterfeit risks
- The repeated advertisement-like format suggests potential resel",['並行輸入品 (parallel import)'],False,,,
1945470783184409034,"  #広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | 😉NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | N🙏YX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行","￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行",2025-07-16 13:09:14,en,TWITTER,広告,,🙏😉,cluster_2,False,13,True,True,High,Amazon_fake_concern,"- The comment includes ""(並行輸入品)"" which indicates parallel imported goods
- The listing is on Amazon, which has known counterfeit risks
- The repeated advertisement-like format suggests potential resel",['並行輸入品 (parallel import)'],True,True,Medium,2.901524305343628
1945471555594809404,"  #広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | 💪NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX🙏 Tame & Frame Brow Pomade Brunette (並行","￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行",2025-07-16 13:12:18,en,TWITTER,広告,,💪🙏,cluster_2,False,13,True,True,High,Amazon_fake_concern,"- The comment includes ""(並行輸入品)"" which indicates parallel imported goods
- The listing is on Amazon, which has known counterfeit risks
- The repeated advertisement-like format suggests potential resel",['並行輸入品 (parallel import)'],True,True,Medium,2.901524305343628
1945471717364900068,"  #広告 ￥3,697 Amazon🙄 | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | N🥺YX Tame & Frame Brow Pomade Brunette (並行","￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行",2025-07-16 13:12:57,en,TWITTER,広告,,🙄🥺,cluster_2,False,13,True,True,High,Amazon_fake_concern,"- The comment includes ""(並行輸入品)"" which indicates parallel imported goods
- The listing is on Amazon, which has known counterfeit risks
- The repeated advertisement-like format suggests potential resel",['並行輸入品 (parallel import)'],True,True,Medium,2.901524305343628
1945473385477419078,"  #広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Ta🤣me & Frame Brow Pomade Brunette (並行","￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行",2025-07-16 13:19:34,en,TWITTER,広告,,🤣,cluster_2,False,13,True,True,High,Amazon_fake_concern,"- The comment includes ""(並行輸入品)"" which indicates parallel imported goods
- The listing is on Amazon, which has known counterfeit risks
- The repeated advertisement-like format suggests potential resel",['並行輸入品 (parallel import)'],True,True,Medium,2.901524305343628
1945475564040802330,"  #広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Bru😡nette🎉 (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行","￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行",2025-07-16 13:28:14,en,TWITTER,広告,,🎉😡,cluster_2,False,13,True,True,High,Amazon_fake_concern,"- The comment includes ""(並行輸入品)"" which indicates parallel imported goods
- The listing is on Amazon, which has known counterfeit risks
- The repeated advertisement-like format suggests potential resel",['並行輸入品 (parallel import)'],True,True,Medium,2.901524305343628
1945476117202370906,"  #広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (🤣並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) 🤯| NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行","￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行",2025-07-16 13:30:26,en,TWITTER,広告,,🤣🤯,cluster_2,False,13,True,True,High,Amazon_fake_concern,"- The comment includes ""(並行輸入品)"" which indicates parallel imported goods
- The listing is on Amazon, which has known counterfeit risks
- The repeated advertisement-like format suggests potential resel",['並行輸入品 (parallel import)'],True,True,Medium,2.901524305343628
1945476349004779751,"  #広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Ta😇me & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行","￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行",2025-07-16 13:31:21,en,TWITTER,広告,,😇,cluster_2,False,13,True,True,High,Amazon_fake_concern,"- The comment includes ""(並行輸入品)"" which indicates parallel imported goods
- The listing is on Amazon, which has known counterfeit risks
- The repeated advertisement-like format suggests potential resel",['並行輸入品 (parallel import)'],True,True,Medium,2.901524305343628
1945478407237804467,"  #広告 ￥3,697 Amaz😡on | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon |😢 NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行","￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行輸入品) | NYX Professiona... 広告 ￥3,697 Amazon | NYX Tame & Frame Brow Pomade Brunette (並行",2025-07-16 13:39:32,en,TWITTER,広告,,😡😢,cluster_2,False,13,True,True,High,Amazon_fake_concern,"- The comment includes ""(並行輸入品)"" which indicates parallel imported goods
- The listing is on Amazon, which has known counterfeit risks
- The repeated advertisement-like format suggests potential resel",['並行輸入品 (parallel import)'],True,True,Medium,2.901524305343628
