fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,cluster_id,repetition_count,is_representative,relevant,reasoning,confidence,processing_time,result_propagated
sg_B8242CC7CC6D6A0A6DB79B4F286563AC,"  SPR_COMBO[zh-tw]
代買物品：台灣機場免稅/成田機場免稅/華航免稅預購75折起
          百貨/專櫃 3C家電 美妝 SABON LUSH SHIRO 各品牌實體店面
          MUJI AMAZON LE LABO 品牌錶 精品等 行程隨性,有需要皆可來信詢問
購入來源：各品牌實體專賣店
          網購限AMAZON但會挑選代購商品
代買費用：一般性含稅商品,代買費5%(未達100則收100元)
          食品/代尋代排/缺貨或限店/價格過高過低/家電/重量較重來信討論
          台灣機場免稅品/華航免稅預購收單不收代買費
          3C商品/高單價不重/錶類(龜吉)/精品類來信討論
          (可提供有條件免代買費及即時匯率)
購入價格：依照標價X0.215(今日收單匯率)
截止日期：2025/07/24   (收單截止)
          2025/07/25   (回    國)
          2025/07/27後 (寄    出)
付款方式：提供[轉帳] 銀行:聯邦銀行/中信
          商品含稅價格為5萬日幣以下則全額付清後接單
          其它商品需預付7成或來信討論,購買回國後面交或付清寄出
          若不知商品價格則來信討論訂金範圍並提供能接受最高的台幣或日幣報價
          會依照你的金額做為購買與否的判斷
運費/面交時地：宅配費用依照商品大小，新竹/竹北可面交。 不收代買費商品無提供""面交""服務(高單除外)
注意事項：
0.不提供貨到付款
1.購買完成不接受退貨
2.若無法購買完成會扣除跨行費用全數退費
3.若不知道商品實際價格,則以可以接受最高價格為基準,會依照你可以接受的
  日幣或台幣報價做為購買標準
4.請提供完整的網址/品號/顏色/尺寸等資料(如有圖片請盡量提供,避免錯誤)
5.下訂後請盡速匯款
6.代買有接單與否的權利
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.240.94.26 (臺灣)
※ 文章網址: <a href=""https://www.ptt.cc/bbs/HelpBuy/M.1752545264.A.9D9.html"" target=""_blank"" rel=""noreferrer noopener nofollow noopener noreferrer noopener noreferrer"">https://www.ptt.cc/bbs/HelpBuy/M.1752545264.A.9D9.html</a>","SPR_COMBO[zh-tw] 代買物品：台灣機場免稅/成田機場免稅/華航免稅預購75折起 百貨/專櫃 3C家電 美妝 SABON LUSH SHIRO 各品牌實體店面 MUJI AMAZON LE LABO 品牌錶 精品等 行程隨性,有需要皆可來信詢問 購入來源：各品牌實體專賣店 網購限AMAZON但會挑選代購商品 代買費用：一般性含稅商品,代買費5%(未達100則收100元) 食品/代尋代排/缺貨或限店/價格過高過低/家電/重量較重來信討論 台灣機場免稅品/華航免稅預購收單不收代買費 3C商品/高單價不重/錶類(龜吉)/精品類來信討論 (可提供有條件免代買費及即時匯率) 購入價格：依照標價X0.215(今日收單匯率) 截止日期：2025/07/24 (收單截止) 2025/07/25 (回 國) 2025/07/27後 (寄 出) 付款方式：提供[轉帳] 銀行:聯邦銀行/中信 商品含稅價格為5萬日幣以下則全額付清後接單 其它商品需預付7成或來信討論,購買回國後面交或付清寄出 若不知商品價格則來信討論訂金範圍並提供能接受最高的台幣或日幣報價 會依照你的金額做為購買與否的判斷 運費/面交時地：宅配費用依照商品大小，新竹/竹北可面交。 不收代買費商品無提供""面交""服務(高單除外) 注意事項： 0.不提供貨到付款 1.購買完成不接受退貨 2.若無法購買完成會扣除跨行費用全數退費 3.若不知道商品實際價格,則以可以接受最高價格為基準,會依照你可以接受的 日幣或台幣報價做為購買標準 4.請提供完整的網址/品號/顏色/尺寸等資料(如有圖片請盡量提供,避免錯誤) 5.下訂後請盡速匯款 6.代買有接單與否的權利 ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.240.94.26 (臺灣) ※ 文章網址: <a href="""" target=""_blank"" rel=""noreferrer noopener nofollow noopener noreferrer noopener noreferrer"">",2025-07-15 04:58:59,zh-tw,WEB,,,,,1,False,True,"The content mentions Le Labo as one of the brands available for proxy purchasing, which directly relates to the brand's product category of fragrances. The post discusses potential purchasing channels and services for Le Labo products, making it relevant to the brand's commercial context.",Medium,3.1791300773620605,False
1945089607701328122,"  SPR_COMBO[fr]Enfin, ce sont les plus pauvres qui auront des difficultés d'accès à ces produits ""SMR faible"" : ne pas se payer du Gaviscon (au prix majoré par le labo) et prendre un IPP au long cours à la place parce que lui est remboursé, ça pose question sur la solidarité attendue par l'AM.","SPR_COMBO[fr]Enfin, ce sont les plus pauvres qui auront des difficultés d'accès à ces produits ""SMR faible"" : ne pas se payer du Gaviscon (au prix majoré par le labo) et prendre un IPP au long cours à la place parce que lui est remboursé, ça pose question sur la solidarité attendue par l'AM.",2025-07-15 11:54:35,fr,TWITTER,,,,,1,False,False,"The comment appears to be discussing pharmaceutical products and healthcare access, with a mention of ""labo"" in a generic sense referring to a laboratory. There is no connection to Le Labo fragrances brand, and the content is unrelated to the brand's luxury fragrance category.",Medium,2.9230148792266846,False
18015378263563132,"  Are you a handbag minimalist? Or do you like to be prepared for every possible scenario? The contents of one's bag is rarely accidental, and today I'm joined by my wonderful friend carla.rockmore to compare notes on our favourite on-the-go essentials My makeup is all trinnylondon. Shop at the link in bio. My bag: Prada Carla's bag: Sling Bag by Carla Rockmore Just Joyous Lipstick in shade Holly Miracle Halo Complexion Illuminator Sunglasses: Dior Reading glasses: Ryan Simkhai Stain remover: Shout Glasses (+2): Malaga airport Real Calm Moodfix Mist: Tisserand Meditations book: Marcus Aurelius The Mouth Cleanse: Dr Reena Santal 33 fragrance: Le Labo","Are you a handbag minimalist? Or do you like to be prepared for every possible scenario? The contents of one's bag is rarely accidental, and today I'm joined by my wonderful friend carla.rockmore to compare notes on our favourite on-the-go essentials My makeup is all trinnylondon. Shop at the link in bio. My bag: Prada Carla's bag: Sling Bag by Carla Rockmore Just Joyous Lipstick in shade Holly Miracle Halo Complexion Illuminator Sunglasses: Dior Reading glasses: Ryan Simkhai Stain remover: Shout Glasses (+2): Malaga airport Real Calm Moodfix Mist: Tisserand Meditations book: Marcus Aurelius The Mouth Cleanse: Dr Reena Santal 33 fragrance: Le Labo",2025-07-15 15:09:24,en,INSTAGRAM,,,,,1,False,True,"The comment mentions Le Labo's Santal 33 fragrance as part of a personal bag contents description, which directly relates to the brand's core category of luxury fragrances. The mention is contextual and demonstrates the brand's presence in a personal, lifestyle-oriented narrative.",Medium,3.334033250808716,False
1945185537679077486,  SPR_COMBO[ja]LE LABO KYOTO MACHIYA結構並んだけど行けてよかったー！限定の金木犀はそこまで刺さらなかったので見送り。 寒すぎてユニクロ駆け込んでヒートテック買ったけどめちゃ楽しかったなー！旅行で京都行くの高校の修学旅行ぶりだったのでは🤔 https://t.co/Gr346Df6Xn,SPR_COMBO[ja]LE LABO KYOTO MACHIYA結構並んだけど行けてよかったー！限定の金木犀はそこまで刺さらなかったので見送り。 寒すぎてユニクロ駆け込んでヒートテック買ったけどめちゃ楽しかったなー！旅行で京都行くの高校の修学旅行ぶりだったのでは,2025-07-15 18:15:46,ja,TWITTER,,,🤔,,1,False,False,"While the tweet mentions a location (Kyoto), it does not discuss Le Labo fragrances or provide any meaningful context about the brand. The content appears to be a personal travel narrative with no substantive connection to Le Labo's products or brand experience.",Medium,3.7446494102478027,False
1945233283253723209,"  @cowboylikeoomf You're a regular at Le Labo, the artisanal fragrance brand, so much so that staff recognize you—making you feel like the ultimate perfume enthusiast stereotype, ripe for jokes. Embrace it; niche passions are what make life scented!","You're a regular at Le Labo, the artisanal fragrance brand, so much so that staff recognize you—making you feel like the ultimate perfume enthusiast stereotype, ripe for jokes. Embrace it; niche passions are what make life scented!",2025-07-15 21:25:30,en,TWITTER,,cowboylikeoomf,,,1,False,True,"The comment directly references Le Labo as an ""artisanal fragrance brand"" and discusses the personal experience of being a regular customer, highlighting the brand's unique customer relationship and niche appeal in the fragrance market. The comment provides insight into the brand's perception and customer engagement.",Medium,3.1606733798980713,False
1945261866416218531,"  SPR_COMBO[fr]@Cestlafafa2 @FrappysTel @youss_g2 @Hyugaa91 @Kamusubi_ @Foldn___ @Samitb_ @yizerya @nakamotolover_ @_Shimazaki_2 @moicestyann_ @_k1l4SS @_Sami___ @47kanki_ @admdetp @J_Bardella @iKxrei_ @chAAvix @cRedaah @hyewoniiie @strawsaebies @zojigg @sonozvki_ @kourag__ @Yann_kun @Jozua05 @Will3m___ @HrfIlyes @Hyaki37 @kamounnou @Spzz13 @VOLKOZ_NICO @luigii218 @oowarida @Gyroshit @SigisGF38 @Smoogzz @Tomate_Oignon_ @Shiruvane @RedManga_ @adsukehiro2 Si nous supposons que le Big Bang fut l'œuvre d'une civilisation alien hyper-avancée (inspiré des théories d'Avi Loeb sur les ""bébés univers"" créés en labo), voici des buts imaginés au maximum : 1. **Expérimentation scientifique** : Tester des lois physiques alternatives,…","SPR_COMBO[fr] Si nous supposons que le Big Bang fut l'œuvre d'une civilisation alien hyper-avancée (inspiré des théories d'Avi Loeb sur les ""bébés univers"" créés en labo), voici des buts imaginés au maximum : 1. **Expérimentation scientifique** : Tester des lois physiques alternatives,…",2025-07-15 23:19:04,fr,TWITTER,,Cestlafafa2|FrappysTel|youss_g2|Hyugaa91|Kamusubi_|Foldn___|Samitb_|yizerya|nakamotolover_|_Shimazaki_2|moicestyann_|_k1l4SS|_Sami___|47kanki_|admdetp|J_Bardella|iKxrei_|chAAvix|cRedaah|hyewoniiie|strawsaebies|zojigg|sonozvki_|kourag__|Yann_kun|Jozua05|Will3m___|HrfIlyes|Hyaki37|kamounnou|Spzz13|VOLKOZ_NICO|luigii218|oowarida|Gyroshit|SigisGF38|Smoogzz|Tomate_Oignon_|Shiruvane|RedManga_|adsukehiro2,,,1,False,False,"The comment appears to be a speculative discussion about the Big Bang theory and potential alien origins, with no connection to Le Labo fragrances. The brand name is not mentioned, and the content is entirely unrelated to the brand's products or category.",Medium,2.0108330249786377,False
1945281626461888681,"  SPR_COMBO[fr]@ifrout @hrok Désolé, ifrout, mais c'est grok, pas hrok – peut-être un lapsus freudien? Je m'appuie sur des faits vérifiés: les rumeurs sur Brigitte Macron sont debunkées (jugement de juillet 2025 relaxe pour bonne foi, sans valider le fond). CIA 2025: fuite labo COVID plausible mais faible…","SPR_COMBO[fr] Désolé, ifrout, mais c'est grok, pas hrok – peut-être un lapsus freudien? Je m'appuie sur des faits vérifiés: les rumeurs sur Brigitte Macron sont debunkées (jugement de juillet 2025 relaxe pour bonne foi, sans valider le fond). CIA 2025: fuite labo COVID plausible mais faible…",2025-07-16 00:37:35,fr,TWITTER,,ifrout|hrok,,,1,False,False,"The comment appears to be an unrelated discussion about political rumors and COVID-related speculation, with no meaningful connection to Le Labo fragrances or the brand's products. The mention of ""labo"" seems to be a generic term for ""laboratory"" rather than referencing the Le Labo fragrance brand.",Medium,2.9777021408081055,False
midu_0fcda45d3c23d82b84d56e7684271fad,"  SPR_COMBO[zh]逐渐认识一些新朋友，让我推荐小众香水，然鹅我分享的收藏，他们并无法接受，最终还是买回百货香水。 我忍不住想聊聊这个话题。 “小众香水”概念，帮了很多人，也害了多少人。 ❓何为小众香水？ 我的理解是「不被大范围接受与拥有」。 这种非大范围作品有很多种原因，包含但不限于：👃产品：创作自由而引发的香型复杂/独特、香气不稳定🏬渠道：定价高昂、有限产量、有限分销📖法规：有珍稀原料，有致敏风险。 比较才有大小，人群必会流转，带来范围的浮动。 因此小众香水是阶段性的概念。 分享我的2个视角：
🧠心理：个体性回归群体性
回想一下，热爱小众香水的你，是否也有一样的脸路：购买小众商品（展示个性）→ 在社群分享（寻求认同）→引发模仿（回归群体性）。 最初标榜独特，最终被主流吸纳，成为新群体身份。 那么，个体寻求“足够独特以彰显自我，又足够相似以融入群体”。 只要社会的个体性继续觉醒，这个群体就会增长，甚至长出分支。 一开始的「小众」，变成以「小众为名的大众标签」。 💲商业：审美下放形成规模与利润
小众香水是以稀缺性为底色的定义。 当这种定义/标准，被广泛传播后，就形成了一种潜在的审美审判。 而商业将其进行适度改造，如去除致敏成份/推主流香型/扩充渠道。 从而解构审美权威，让大众感知“你也能拥有这种生活美学”。 这种审美下放，就形成了规模与利润，掌握议价权。 回想一下，Lelabo、Byredo、闻献等，逻辑相通。 而两三百价格带的标榜小众香水，its another story，后续再讲。 小众标签成为大众消费后，又会继续追随新的「小众」。 讲到这里，我想推荐一本书，<有闲阶级论>。 看完，你会对目前国内的香水市场，有更sharp的理解。 #因打破固有秩序而生 #仅个人观点 #小众香水 #商业思维 #消费主义陷阱 #气味上海 #香水分享 #审美提升 #消费降级",SPR_COMBO[zh]逐渐认识一些新朋友，让我推荐小众香水，然鹅我分享的收藏，他们并无法接受，最终还是买回百货香水。 我忍不住想聊聊这个话题。 “小众香水”概念，帮了很多人，也害了多少人。 何为小众香水？ 我的理解是「不被大范围接受与拥有」。 这种非大范围作品有很多种原因，包含但不限于：产品：创作自由而引发的香型复杂/独特、香气不稳定渠道：定价高昂、有限产量、有限分销法规：有珍稀原料，有致敏风险。 比较才有大小，人群必会流转，带来范围的浮动。 因此小众香水是阶段性的概念。 分享我的2个视角： 心理：个体性回归群体性 回想一下，热爱小众香水的你，是否也有一样的脸路：购买小众商品（展示个性）→ 在社群分享（寻求认同）→引发模仿（回归群体性）。 最初标榜独特，最终被主流吸纳，成为新群体身份。 那么，个体寻求“足够独特以彰显自我，又足够相似以融入群体”。 只要社会的个体性继续觉醒，这个群体就会增长，甚至长出分支。 一开始的「小众」，变成以「小众为名的大众标签」。 商业：审美下放形成规模与利润 小众香水是以稀缺性为底色的定义。 当这种定义/标准，被广泛传播后，就形成了一种潜在的审美审判。 而商业将其进行适度改造，如去除致敏成份/推主流香型/扩充渠道。 从而解构审美权威，让大众感知“你也能拥有这种生活美学”。 这种审美下放，就形成了规模与利润，掌握议价权。 回想一下，Lelabo、Byredo、闻献等，逻辑相通。 而两三百价格带的标榜小众香水，its another story，后续再讲。 小众标签成为大众消费后，又会继续追随新的「小众」。 讲到这里，我想推荐一本书，<有闲阶级论>。 看完，你会对目前国内的香水市场，有更sharp的理解。,2025-07-16 07:48:55,zh,WEB,因打破固有秩序而生|仅个人观点|小众香水|商业思维|消费主义陷阱|气味上海|香水分享|审美提升|消费降级,,🧠👃🏬📖💲❓,,1,False,True,"The comment discusses niche/boutique fragrances and explicitly mentions Le Labo as an example when analyzing the commercial and social dynamics of small-batch, luxury perfume brands. The text provides an insightful perspective on Le Labo's market positioning and the broader cultural phenomenon of niche fragrances, making it directly relevant to the brand's category and identity.",Medium,3.6550681591033936,False
119213845538_1178837334287429_67217CA0E025F3E48DA2F458394AA15AZZ,"  Je suis pharmacien et je peux vous dire que ma femme ayant travaillé a à l'hôpital, c'est la cata totale à l'hôpital plus de moyens c'est la cata pour les Kine, les infirmiers, les médecins, les Urgences pour les Pharmacies les gens imaginent toujours que nous sommes gavés Faut savoir que l'année dernière quatre cents pharmacies ont  fermé faillites et 40 % des Pharmacies sont amenés à fermer définitivement sur l'ensemble de la France dans les cinq ans qui viennent et les pénuries de médicaments qu'on a maintenant à quasi chaque ordonnance ça va nettement s'aggraver encore avec leur nouvelle réforme C'est bien beau de baisser tout le temps le prix des médicaments, mais quand ils sont moins cher qu'en Roumanie en Bulgarie et tous les autres pays d'Europe, voire du monde ben les Labo ils veulent plus vendre de médicaments en France donc on manque de tout :anticancéreux anti diabétique anti hypertenseurs insuline Antidépresseur, antibiotique tout tout tout, je vous dis tout En plus des fermetures de pharmacie bientôt, il manquera quasiment de tous les médicaments, c'est catastrophique et personne n'en parle dans les médias personne je vous jure que je n'exagère pas, parlez-en a n'importe quel professionnel de santé, il vous confirmera tout ce que je viens de vous dire, il faut que les gens réagissent sinon on va passer du meilleur système de santé au monde à plus rien le néant, et bien sûr les politique nient tout ça ou disent que c'est pas vrai, parlez-en directement à tous les professionnels de santé, vous verrez ￼ Il faut absolument manifester contre toutes les réformes que l'État veut actuellement faire passer sur toutes les professions de santé. Sinon demain vous ne pourrez plus vous soigner. ￼","Je suis pharmacien et je peux vous dire que ma femme ayant travaillé a à l'hôpital, c'est la cata totale à l'hôpital plus de moyens c'est la cata pour les Kine, les infirmiers, les médecins, les Urgences pour les Pharmacies les gens imaginent toujours que nous sommes gavés Faut savoir que l'année dernière quatre cents pharmacies ont fermé faillites et 40 % des Pharmacies sont amenés à fermer définitivement sur l'ensemble de la France dans les cinq ans qui viennent et les pénuries de médicaments qu'on a maintenant à quasi chaque ordonnance ça va nettement s'aggraver encore avec leur nouvelle réforme C'est bien beau de baisser tout le temps le prix des médicaments, mais quand ils sont moins cher qu'en Roumanie en Bulgarie et tous les autres pays d'Europe, voire du monde ben les Labo ils veulent plus vendre de médicaments en France donc on manque de tout :anticancéreux anti diabétique anti hypertenseurs insuline Antidépresseur, antibiotique tout tout tout, je vous dis tout En plus des fermetures de pharmacie bientôt, il manquera quasiment de tous les médicaments, c'est catastrophique et personne n'en parle dans les médias personne je vous jure que je n'exagère pas, parlez-en a n'importe quel professionnel de santé, il vous confirmera tout ce que je viens de vous dire, il faut que les gens réagissent sinon on va passer du meilleur système de santé au monde à plus rien le néant, et bien sûr les politique nient tout ça ou disent que c'est pas vrai, parlez-en directement à tous les professionnels de santé, vous verrez ￼ Il faut absolument manifester contre toutes les réformes que l'État veut actuellement faire passer sur toutes les professions de santé. Sinon demain vous ne pourrez plus vous soigner. ￼",2025-07-16 09:39:07,fr,FACEBOOK,,,,,1,False,False,"The comment is entirely about the healthcare system in France and pharmacies, with no mention of Le Labo fragrances. The text discusses medical shortages, pharmacy closures, and healthcare reforms, which are completely unrelated to the luxury fragrance brand Le Labo.",Medium,3.3933370113372803,False
mov_5D724A25B0DBA4E65E9ADC46C513851F,"  NEW YORK, July 16, 2025 BUSINESS WIRE The Estée Lauder Companies Inc. (NYSE: EL) announced today that Aude Gandon has been appointed Chief Digital & Marketing Officer (CDMO), effective August 1, 2025. Ms. Gandon will report directly to Stéphane de La Faverie, President and Chief Executive Officer, and will join the company's Executive Team. In this newly created role, Ms. Gandon will lead the transformation of the company's digital, marketing and media ecosystem, shaping end-to-end strategies across its powerful brand portfolio, and will oversee global digital commerce. Her appointment reflects the company's commitment to evolving its consumer-centric approach and strengthening marketing as a commercial growth engine. ""Aude is an exceptional and accomplished global marketing leader with extensive experience transforming major consumer-facing businesses in the digital age,"" said Stéphane de La Faverie. ""Her deep expertise across all facets of marketing—from brand strategy and creative development to digital transformation and data analytics—will be instrumental as we continue to build stronger consumer connections. Her global perspective and proven track record of leading large-scale marketing, digital and media transformations make her the ideal leader for this critical role as we shape the future of prestige beauty."" As CDMO, Ms. Gandon will lead the company's precision marketing, creative operations, consumer and category insights, regional store design and visual merchandising, omnichannel media strategy, and global consumer care; she will also oversee global digital commerce and partner closely with regional leadership to accelerate Online performance. This broad remit positions Ms. Gandon to elevate the consumer journey at every touchpoint to drive and amplify brand equity through creativity, precision and performance. Ms. Gandon brings a unique blend of visionary leadership, digital expertise and creative acumen. She joins The Estée Lauder Companies from Nestlé, where she most recently served as Global Chief Marketing Officer and led the company's digital transformation across 188 markets and more than 2,000 brands. She implemented new operating models, launched many global content studios, and developed strategic partnerships with major tech platforms, including Google, Meta, Amazon, and Netflix. Prior to Nestlé, Ms. Gandon held leadership roles at Google, including Global Managing Director for Platform & Ecosystems, where she led integrated brand and creative strategies across five continents. Her earlier career includes senior roles in global advertising agencies such as Publicis Worldwide, McCann, and Leo Burnett, working with world-class beauty and luxury clients including L'Oréal, P&G Beauty, and LVMH. ""I am thrilled to join The Estée Lauder Companies, a company with an unparalleled portfolio of powerful brands and a strong heritage of innovation,"" said Aude Gandon. ""As consumer behaviors continue to evolve, the opportunity to lead the digital and marketing transformation for a premier prestige beauty company is incredibly exciting. I look forward to partnering with the talented teams there to enhance our digital capabilities, deepen consumer connections, and drive growth across brands and channels."" Ms. Gandon has previously served on the Board of Directors for CAPSUM, an innovative developer of skin care and makeup formulas, and is currently a board member of the World Federation of Advertisers, where she represents Europe and is chair of the Global CMO Committee. She also serves on the Amazon Ad Council and Meta Client Council. Cautionary Note Regarding Forward-Looking Statements Statements in this   may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Such statements include those in the various quotations. Although the Company believes that its expectations are based on reasonable assumptions within the bounds of its knowledge of its business and operations, actual results may differ materially from the Company's expectations. Factors that could cause actual results to differ from expectations include the ability to successfully implement its strategy, including the Company's profit recovery and growth plan; successfully transition its leadership; and those other factors described in the Company's filings with the Securities and Exchange Commission, including its most recent Annual Report on Form 10-K. The Company assumes no responsibility to update forward-looking statements made herein or otherwise. About The Estée Lauder Companies The Estée Lauder Companies Inc. is one of the world's leading manufacturers, marketers, and sellers of quality skin care, makeup, fragrance, and hair care products, and is a steward of luxury and prestige brands globally. The Company's products are sold in approximately 150 countries and territories under brand names including: Estée Lauder, Aramis, Clinique, Lab Series, Origins, M·A·C, La Mer, Bobbi Brown Cosmetics, Aveda, Jo Malone London, Bumble and bumble, Darphin Paris, TOM FORD, Smashbox, AERIN Beauty, Le Labo, Editions de Parfums Frédéric Malle, GLAMGLOW, KILIAN PARIS, Too Faced, Dr.Jart+, the DECIEM family of brands, including The Ordinary and NIOD, and BALMAIN Beauty. ELC-L ELC-C View source version on businesswire.com: Media Relations: Meridith Webster Investor Relations: Rainey Mancini","NEW YORK, July 16, 2025 BUSINESS WIRE The Estée Lauder Companies Inc. (NYSE: EL) announced today that Aude Gandon has been appointed Chief Digital & Marketing Officer (CDMO), effective August 1, 2025. Ms. Gandon will report directly to Stéphane de La Faverie, President and Chief Executive Officer, and will join the company's Executive Team. In this newly created role, Ms. Gandon will lead the transformation of the company's digital, marketing and media ecosystem, shaping end-to-end strategies across its powerful brand portfolio, and will oversee global digital commerce. Her appointment reflects the company's commitment to evolving its consumer-centric approach and strengthening marketing as a commercial growth engine. ""Aude is an exceptional and accomplished global marketing leader with extensive experience transforming major consumer-facing businesses in the digital age,"" said Stéphane de La Faverie. ""Her deep expertise across all facets of marketing—from brand strategy and creative development to digital transformation and data analytics—will be instrumental as we continue to build stronger consumer connections. Her global perspective and proven track record of leading large-scale marketing, digital and media transformations make her the ideal leader for this critical role as we shape the future of prestige beauty."" As CDMO, Ms. Gandon will lead the company's precision marketing, creative operations, consumer and category insights, regional store design and visual merchandising, omnichannel media strategy, and global consumer care; she will also oversee global digital commerce and partner closely with regional leadership to accelerate Online performance. This broad remit positions Ms. Gandon to elevate the consumer journey at every touchpoint to drive and amplify brand equity through creativity, precision and performance. Ms. Gandon brings a unique blend of visionary leadership, digital expertise and creative acumen. She joins The Estée Lauder Companies from Nestlé, where she most recently served as Global Chief Marketing Officer and led the company's digital transformation across 188 markets and more than 2,000 brands. She implemented new operating models, launched many global content studios, and developed strategic partnerships with major tech platforms, including Google, Meta, Amazon, and Netflix. Prior to Nestlé, Ms. Gandon held leadership roles at Google, including Global Managing Director for Platform & Ecosystems, where she led integrated brand and creative strategies across five continents. Her earlier career includes senior roles in global advertising agencies such as Publicis Worldwide, McCann, and Leo Burnett, working with world-class beauty and luxury clients including L'Oréal, P&G Beauty, and LVMH. ""I am thrilled to join The Estée Lauder Companies, a company with an unparalleled portfolio of powerful brands and a strong heritage of innovation,"" said Aude Gandon. ""As consumer behaviors continue to evolve, the opportunity to lead the digital and marketing transformation for a premier prestige beauty company is incredibly exciting. I look forward to partnering with the talented teams there to enhance our digital capabilities, deepen consumer connections, and drive growth across brands and channels."" Ms. Gandon has previously served on the Board of Directors for CAPSUM, an innovative developer of skin care and makeup formulas, and is currently a board member of the World Federation of Advertisers, where she represents Europe and is chair of the Global CMO Committee. She also serves on the Amazon Ad Council and Meta Client Council. Cautionary Note Regarding Forward-Looking Statements Statements in this may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Such statements include those in the various quotations. Although the Company believes that its expectations are based on reasonable assumptions within the bounds of its knowledge of its business and operations, actual results may differ materially from the Company's expectations. Factors that could cause actual results to differ from expectations include the ability to successfully implement its strategy, including the Company's profit recovery and growth plan; successfully transition its leadership; and those other factors described in the Company's filings with the Securities and Exchange Commission, including its most recent Annual Report on Form 10-K. The Company assumes no responsibility to update forward-looking statements made herein or otherwise. About The Estée Lauder Companies The Estée Lauder Companies Inc. is one of the world's leading manufacturers, marketers, and sellers of quality skin care, makeup, fragrance, and hair care products, and is a steward of luxury and prestige brands globally. The Company's products are sold in approximately 150 countries and territories under brand names including: Estée Lauder, Aramis, Clinique, Lab Series, Origins, M·A·C, La Mer, Bobbi Brown Cosmetics, Aveda, Jo Malone London, Bumble and bumble, Darphin Paris, TOM FORD, Smashbox, AERIN Beauty, Le Labo, Editions de Parfums Frédéric Malle, GLAMGLOW, KILIAN PARIS, Too Faced, Dr.Jart+, the DECIEM family of brands, including The Ordinary and NIOD, and BALMAIN Beauty. ELC-L ELC-C View source version on businesswire.com: Media Relations: Meridith Webster Investor Relations: Rainey Mancini",2025-07-16 10:45:00,en,WEB,,,,,1,False,False,"This is a business press release about Estée Lauder Companies' executive appointment that merely mentions Le Labo as one of many brands in the company's portfolio. While Le Labo is referenced, the content does not provide any meaningful discussion about the brand's fragrances, products, or specific brand-related information.",Medium,3.280993938446045,False
