fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1944660678758797700,  PR やった❣売切必至！人気のコスメ コレクションBOX❣ 予約開始📣 Amazonビューティフェス 👇韓国コスメセット https://t.co/GOSH3YjjgZ anua アヌア ダルバ 👇至福の朝美容トータルコスメセット https://t.co/N82cfqEEhN tirtir アネッサ 7/11発売 アマゾンプライムデー ad07/14 16:29,PR やった売切必至！人気のコスメ コレクションBOX 予約開始 Amazonビューティフェス 韓国コスメセット anua アヌア ダルバ 至福の朝美容トータルコスメセット tirtir アネッサ 7/11発売 アマゾンプライムデー ad07/14 16:29,2025-07-14 07:30:10,ja,TWITTER,,,👇❣📣,61800da6efcd8ec8f31e111508d024d5,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Contains multiple shortened URLs (potential affiliate links)
- Mentions Amazon Beauty Festival and Prime Day
- Includes multiple brand names (Anua, Da",[],False,,,
18061399222998030,"  Say hello to your new glow-up secret — the Anua PDRN Glow Pad! ✨ This next-gen dual-textured sheet pad hydrates and plumps your skin in just 5 minutes — perfect for busy mornings or evenings when you need a quick skin pick-me-up. Powered by PDRN, Hyaluronic Acid & Collagen, it gently exfoliates on one side while delivering intense hydration on the other. Use after cleansing, before your serum, and watch your skin transform. ✨ Pro tip: Pair it with the Anua PDRN Serum for an extra boost of radiance! Available now at Amazon UK & Boots. Your skincare routine just got effortless and effective. #AnuaGlowPad #PDRNGlow #SkincareEssentials #GlowingSkin #BootsUK #AmazonUK #EffortlessGlow","Say hello to your new glow-up secret — the Anua PDRN Glow Pad! This next-gen dual-textured sheet pad hydrates and plumps your skin in just 5 minutes — perfect for busy mornings or evenings when you need a quick skin pick-me-up. Powered by PDRN, Hyaluronic Acid & Collagen, it gently exfoliates on one side while delivering intense hydration on the other. Use after cleansing, before your serum, and watch your skin transform. Pro tip: Pair it with the Anua PDRN Serum for an extra boost of radiance! Available now at Amazon UK & Boots. Your skincare routine just got effortless and effective.",2025-07-14 07:34:42,en,INSTAGRAM,AnuaGlowPad|PDRNGlow|SkincareEssentials|GlowingSkin|BootsUK|AmazonUK|EffortlessGlow,,✨,66433da4a5d173bfb0e9de7aa1bf6ba3,,False,1,True,Brand_Official,High,False,"Multiple strong promotional indicators are present:
- Direct product description with specific features
- Sales-oriented language (""glow-up secret"", ""watch your skin transform"")
- Explicit product rec",[],False,,,
1944679124968390834,  ANUA(アヌア)PDRNヒアルロン酸カプセル100セラム30ml 美容液 水分 保湿 肌キメ ツヤ肌 うるおい pdrn... https://t.co/W7xb7eVBKd #Amazon,ANUA(アヌア)PDRNヒアルロン酸カプセル100セラム30ml 美容液 水分 保湿 肌キメ ツヤ肌 うるおい pdrn...,2025-07-14 08:43:28,ja,TWITTER,Amazon,,,0b2b46b03cf901818b2739ae2c352435,cluster_3,True,15,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/W7xb7eVBKd), likely an affiliate/product link
- Includes Amazon hashtag (#Amazon), suggesting direct product promotion
- Detailed product description with spec","['https://t.co/W7xb7eVBKd),', '#Amazon']",False,,,
1944683652052550038,  うわ！ これは見逃せない♡ 『ANUA (アヌア)ドクダミすみわたる肌セット【公式・正規品】』 Amazon ➡https://t.co/Z9EY6Zc8I6 抽選ではっすんの肖像入りノベルティが当たるって！！なくなり次第終了だから早めにたのまなきゃ💨 #PR 大橋和也 なにわ男子07/14 18:00,うわ！ これは見逃せない♡ 『ANUA (アヌア)ドクダミすみわたる肌セット【公式・正規品】』 Amazon 抽選ではっすんの肖像入りノベルティが当たるって！！なくなり次第終了だから早めにたのまなきゃ 大橋和也 なにわ男子07/14 18:00,2025-07-14 09:01:27,ja,TWITTER,PR,,💨➡,ec89a75f94351f931355e763dcf57d04,,False,1,True,Influencer,High,True,"Multiple strong promotional indicators present:
- Contains #PR disclosure tag
- Includes direct Amazon affiliate link
- Mentions a specific product set (Anua Dokudami skincare set)
- Highlights a time",['#PR'],False,,,
1944685920047038858,  ANUA (アヌア) レチノール 0.3ナイアシンセラム30ml レチノール ナイアシンアミド 美容液 毛穴 角栓 角質 水分保湿 スキンケア 韓国美容液 韓国コスメ セール おすすめ 人気 【公式・正規品】 Amazon プライムデー ⬇ https://t.co/sQhQTk6RoO #Amazonプライムデー #プライムデー,ANUA (アヌア) レチノール 0.3ナイアシンセラム30ml レチノール ナイアシンアミド 美容液 毛穴 角栓 角質 水分保湿 スキンケア 韓国美容液 韓国コスメ セール おすすめ 人気 【公式・正規品】 Amazon プライムデー,2025-07-14 09:10:28,ja,TWITTER,Amazonプライムデー|プライムデー,,⬇,860daa369e5bace10e02e02f086e4cb6,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Direct Amazon Prime Day link (t.co shortened URL)
- Product-specific sales language
- Multiple promotional hashtags (#Amazonプライムデー #プライムデー)
- Explicit","['#Amazonプライムデー', '#プライムデー']",False,,,
1944690778280001985,  SPR_COMBO[ja]ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica ... https://t.co/UInm6w1mTr #Amazon,SPR_COMBO[ja]ANUA (アヌア)アゼライン酸15インテンスカーミングセラム30ml 美容液 油水分バランス 皮脂 毛穴ケア cica ...,2025-07-14 09:29:46,ja,TWITTER,Amazon,,,63ec1cb1b53bd723037b9a5a27b6e828,cluster_2,True,16,True,Affiliate,Medium,True,"- Contains an Amazon product link (t.co shortened URL)
- Includes product-specific details (Azelaic Acid 15% Intense Calming Serum)
- Uses a hashtag (#Amazon) which suggests promotional intent
- Appea",['#Amazon'],False,,,
1944704049569554596,  SPR_COMBO[ja]⭐むちゃとく⭐　　PR 🍒Amazonプライムデー🍒 むちゃとくコスメスキンケア スキンケア最大70％off https://t.co/BRGSLUcWar VT COSMETICS最大60％off https://t.co/7Pmp3KNM2g ma:nyo　　最大40％off https://t.co/oGYH52IoPG ANUA　最大40％off https://t.co/EAaTuOLbnL ファンケル(FANCL)…,SPR_COMBO[ja]むちゃとく PR Amazonプライムデー むちゃとくコスメスキンケア スキンケア最大70％off VT COSMETICS最大60％off ma:nyo 最大40％off ANUA 最大40％off ファンケル(FANCL)…,2025-07-14 10:22:30,ja,TWITTER,,,🍒⭐,25f9b2dd8f43a6409be743e2c6dbd9b9,,False,1,True,Affiliate,High,True,"The tweet contains multiple clear promotional indicators:
- Multiple brand sale links (Amazon Prime Day)
- Explicit discount percentages for multiple brands
- Shortened URLs for promotional links
- ""P",[],False,,,
1944717259269915099,  SPR_COMBO[ja]まじ？ アヌアのPDRNヒアルロン酸セラムが特価は尊い💕 乾燥肌に贅沢チャージ✨ 🔗 https://t.co/BFFgAuCzwF ANUA PDRNヒアルロン酸カプセルセラム 30ml #pr Amazonプライムデー アマゾン特選タイムセール,SPR_COMBO[ja]まじ？ アヌアのPDRNヒアルロン酸セラムが特価は尊い 乾燥肌に贅沢チャージ ANUA PDRNヒアルロン酸カプセルセラム 30ml Amazonプライムデー アマゾン特選タイムセール,2025-07-14 11:15:00,ja,TWITTER,pr,,💕🔗✨,8529f0adf35bfd09139a568fa201880f,,False,1,True,Influencer,High,True,"Multiple strong promotional indicators present:
- Contains #pr hashtag (explicit promotional disclosure)
- Includes shortened URL (potential affiliate/tracking link)
- Mentions specific product (Anua ",['#pr'],False,,,
1944719804793024599,  SPR_COMBO[ja]◉Amazon売れ筋◉ANUA(アヌア)レチノール0.3ナイアシンセラム30ml レチノール美容液 毛穴 水分保湿 スキンケア 韓国美容液 韓国コスメ 【公式・正規品】 https://t.co/z8O8FCGkQK,SPR_COMBO[ja]◉Amazon売れ筋◉ANUA(アヌア)レチノール0.3ナイアシンセラム30ml レチノール美容液 毛穴 水分保湿 スキンケア 韓国美容液 韓国コスメ 【公式・正規品】,2025-07-14 11:25:07,ja,TWITTER,,,,a6d2717b712543950cf70c073c96fb39,,False,1,True,Affiliate,High,True,"The tweet contains multiple promotional characteristics:
- Direct product link (https://t.co/z8O8FCGkQK)
- Keyword-rich product description
- Mentions Amazon sales ranking
- Uses official product deta",['https://t.co/z8O8FCGkQK)'],False,,,
1944721036106252522,  SPR_COMBO[ja]奇跡！アヌアのPDRNヒアルロン酸セラムがこの価格💕 うるおいツヤ肌チャージ✨ 🔗 https://t.co/dIGj6msNHb ANUA PDRNヒアルロン酸カプセルセラム 30ml #pr Amazonプライムデー アマゾンプライムセール,SPR_COMBO[ja]奇跡！アヌアのPDRNヒアルロン酸セラムがこの価格 うるおいツヤ肌チャージ ANUA PDRNヒアルロン酸カプセルセラム 30ml Amazonプライムデー アマゾンプライムセール,2025-07-14 11:30:00,ja,TWITTER,pr,,💕🔗✨,a732176b3b2abcfa01b4fb08982aa4f0,,False,1,True,Influencer,High,False,"Multiple strong promotional indicators are present:
- Contains #pr hashtag (explicit promotional disclosure)
- Mentions Amazon Prime Day sale
- Includes shortened URL (potential tracking link)
- Enthu",['#pr'],False,,,
