fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1944684465005187515,  前から気になってた、DRIESVANNOTENのワンピースとBURBERRYレギンスのセット！ 値段も良くて、これ着て週末出掛けたら、絶対ウケる！ 超美品DRIESVANNOTENワンピースとBURBERRYレギンス２点セット https://t.co/BrzybHLmnN,前から気になってた、DRIESVANNOTENのワンピースとBURBERRYレギンスのセット！ 値段も良くて、これ着て週末出掛けたら、絶対ウケる！ 超美品DRIESVANNOTENワンピースとBURBERRYレギンス２点セット,2025-07-14 09:04:41,ja,TWITTER,,,,f21a9f13e78b4bd018f54a1b590b578b,,False,1,True,Affiliate,High,True,"The comment contains strong promotional characteristics:
- Includes a shortened URL (https://t.co/BrzybHLmnN), typical of affiliate/sales links
- Enthusiastic product recommendation language
- Specifi","['https://t.co/BrzybHLmnN),']",False,,,
1944739110033453174,  SPR_COMBO[ja]あ、これはもしかして…ヴィヴィちゃんみたいに、このワンピース着て冒険できそう？ 着てたら、私って最強の冒険家になっちゃう？ 【美品】BURBERRY BLUE LABEL ボーダーワンピース https://t.co/8LiIlRckgq,SPR_COMBO[ja]あ、これはもしかして…ヴィヴィちゃんみたいに、このワンピース着て冒険できそう？ 着てたら、私って最強の冒険家になっちゃう？ 【美品】BURBERRY BLUE LABEL ボーダーワンピース,2025-07-14 12:41:49,ja,TWITTER,,,,a12b2ee2990899bb820805868de8e4d8,,False,1,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/8LiIlRckgq), which appears to be an affiliate/sales link
- Mentions a specific Burberry Blue Label product for sale (""【美品】BURBERRY BLUE LABEL ボーダーワンピース"")
- Use","['https://t.co/8LiIlRckgq),']",False,,,
1944838922955112928,  SPR_COMBO[ja]久しぶりにチェック柄ワンピースほしいな。 着てみたら、想像以上に可愛かったらいいな…。 BURBERRY ブルーレーベル チェック柄ワンピース38 https://t.co/1RSh5dWBSZ,SPR_COMBO[ja]久しぶりにチェック柄ワンピースほしいな。 着てみたら、想像以上に可愛かったらいいな…。 BURBERRY ブルーレーベル チェック柄ワンピース38,2025-07-14 19:18:27,ja,TWITTER,,,,20f92059435918f73e81aba7b6e559bd,,False,1,True,Affiliate,Medium,True,"- Contains a direct product link (https://t.co/1RSh5dWBSZ)
- Specific product mention: ""BURBERRY ブルーレーベル チェック柄ワンピース38""
- Link appears to be a shortened/tracking URL, typical of affiliate marketing
- W",['https://t.co/1RSh5dWBSZ)'],False,,,
1944848774087762014,  SPR_COMBO[ja]新しいBURBERRYのワンピース、着てみたら意外に可愛かった！ 値段もお手頃なのに、総柄がめっちゃお洒落！ 普段使いにも良さそうだし、着回し力も高そう！ 近年タグ【BURBERRY LONDON】総柄ワンピース フロントギャザー 4 https://t.co/g1KwQYKDDU,SPR_COMBO[ja]新しいBURBERRYのワンピース、着てみたら意外に可愛かった！ 値段もお手頃なのに、総柄がめっちゃお洒落！ 普段使いにも良さそうだし、着回し力も高そう！ 近年タグ【BURBERRY LONDON】総柄ワンピース フロントギャザー 4,2025-07-14 19:57:35,ja,TWITTER,,,,e64b4a351d6cccfcecbf6a13e0411438,,False,1,True,Influencer,Medium,True,"- Contains a shortened URL (https://t.co/g1KwQYKDDU), which suggests potential affiliate/tracking link
- Reads like a personal product review, but with very positive language
- Specific product detail","['https://t.co/g1KwQYKDDU),']",False,,,
1944950807339601936,  SPR_COMBO[ja]購入代行日淘市集が #レディース_ノースリーブひざ丈ワンピースカテゴリで購入 Burberryバーバリー コットン製チェック柄ノースリーブワンピースM黒 ▼詳細はこちら https://t.co/vwJ2PNra8c,SPR_COMBO[ja]購入代行日淘市集が Burberryバーバリー コットン製チェック柄ノースリーブワンピースM黒 ▼詳細はこちら,2025-07-15 02:43:02,ja,TWITTER,レディース_ノースリーブひざ丈ワンピースカテゴリで購入,,,797c53d854ba31f164b4e570d05d8ae6,,False,1,True,Affiliate,High,True,"The comment contains multiple promotional indicators:
- Includes a shortened URL (potential affiliate/tracking link)
- Detailed product description (Burberry cotton check sleeveless dress, size M, bla",[],False,,,
1944982945095098697,  SPR_COMBO[ja]ライブの余韻に浸りながら、意外にも黒×チェックのワンピースが目に浮かんだんだけど…　着てみたら、想像以上に可愛かった！ BURBERRY バーバリー ブラックレーベル ワンピース 38 黒×チェック https://t.co/7FyaFLqltK,SPR_COMBO[ja]ライブの余韻に浸りながら、意外にも黒×チェックのワンピースが目に浮かんだんだけど… 着てみたら、想像以上に可愛かった！ BURBERRY バーバリー ブラックレーベル ワンピース 38 黒×チェック,2025-07-15 04:50:44,ja,TWITTER,,,,212b4ceae04049b9f16b04d3683ef50c,,False,1,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/7FyaFLqltK) which suggests an affiliate or sales link
- Specific product details (Burberry Black Label dress, size 38, black with check pattern)
- Appears to b",['https://t.co/7FyaFLqltK)'],False,,,
1944991557184324005,  SPR_COMBO[ja]ワクワク！楽しみが詰まっている！ Burberry(バーバリー)2025年福袋中身ネタバレ！2024年以前の過去開封レビューとおすすめ通販サイト https://t.co/RpS12H1sLx,SPR_COMBO[ja]ワクワク！楽しみが詰まっている！ Burberry(バーバリー)2025年福袋中身ネタバレ！2024年以前の過去開封レビューとおすすめ通販サイト,2025-07-15 05:24:58,ja,TWITTER,,,,979f574891d3be7d3cbfaa1e4be2d82a,,False,1,True,Affiliate,Medium,True,"- Contains a shortened URL (t.co link) which suggests potential affiliate/referral tracking
- Discusses Burberry 2025 福袋 (lucky bag/mystery box) with review and recommendation context
- In Japanese, a",[],False,,,
1945072091146944938,  SPR_COMBO[ja]購入代行Rakutaoが #レディース_ノースリーブミニワンピースカテゴリで購入 Burberry チェック柄 ノースリーブワンピース 36 ▼詳細はこちら https://t.co/UEWQvtVynW,SPR_COMBO[ja]購入代行Rakutaoが Burberry チェック柄 ノースリーブワンピース 36 ▼詳細はこちら,2025-07-15 10:44:58,ja,TWITTER,レディース_ノースリーブミニワンピースカテゴリで購入,,,a281f1d6f647e87cf83c3dfe76e1b607,,False,1,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/UEWQvtVynW), which suggests an affiliate or referral link
- Appears to be a purchase referral/proxy buying service for a Burberry item
- Uses Japanese language","['https://t.co/UEWQvtVynW),']",False,,,
1945074860549660868,  SPR_COMBO[ja]Burberry(バーバリー)2025年福袋中身ネタバレ！2024年以前の過去開封レビューとおすすめ通販サイト https://t.co/s7jmGJ6noV,SPR_COMBO[ja]Burberry(バーバリー)2025年福袋中身ネタバレ！2024年以前の過去開封レビューとおすすめ通販サイト,2025-07-15 10:55:59,ja,TWITTER,,,,7b3d5c8dc1d40339a211d8e9d69d8b5f,,False,1,True,Affiliate,Medium,True,"- Contains a shortened URL (t.co link), which suggests potential affiliate/referral tracking
- Discusses Burberry product (2025 福袋/lucky bag) with a link to more details
- Written in Japanese, appears",[],False,,,
1945133692860428490,  SPR_COMBO[ja]最近、チェック柄のワンピース欲しくて探してたんだよね。 バーバリーブルーレーベルのニットワンピース、可愛すぎませんか？ ！ 【BURBERRY バーバリーブルーレーベル】ニットワンピース チェック柄編 黒 https://t.co/xa2T0aWVJZ,SPR_COMBO[ja]最近、チェック柄のワンピース欲しくて探してたんだよね。 バーバリーブルーレーベルのニットワンピース、可愛すぎませんか？ ！ 【BURBERRY バーバリーブルーレーベル】ニットワンピース チェック柄編 黒,2025-07-15 14:49:45,ja,TWITTER,,,,48efad8e5d549d5af72a1008119cc99b,,False,1,True,Influencer,Medium,True,"- Contains a direct product recommendation for a specific Burberry Blue Label knit dress
- Includes a shortened URL (potential affiliate/tracking link)
- Written in a personal, conversational tone sug",[],False,,,
