fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1944717248519684564,"  SPR_COMBO[pt]🌟 AMAZON--07🔥Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - #MercadoLivre-3.1 Por R$ 13,85 COMPRE AQUI 👉🏽 https://t.co/dB2HW3FAaV https://t.co/XmzK34QMhd","SPR_COMBO[pt] AMAZON--07Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - -3.1 Por R$ 13,85 COMPRE AQUI",2025-07-14 11:14:57,pt,TWITTER,MercadoLivre,,🔥🌟👉🏽,4ee6274406a4f3d26f908e7906373236,cluster_3,True,6,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct sales link (https://t.co/dB2HW3FAaV)
- Price promotion (""R",['https://t.co/dB2HW3FAaV)'],False,,,
1944717503063564537,"  SPR_COMBO[pt]🌟 AMAZON--07🔥Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - #MercadoLivre-3.1 Por R$ 13,85 COMPRE AQUI 👉🏽 https://t.co/kzVpe7rqUM https://t.co/5b4ZO6YzRg","SPR_COMBO[pt] AMAZON--07Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - -3.1 Por R$ 13,85 COMPRE AQUI",2025-07-14 11:15:58,pt,TWITTER,MercadoLivre,,🔥🌟👉🏽,4ee6274406a4f3d26f908e7906373236,cluster_3,False,6,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct sales link (https://t.co/dB2HW3FAaV)
- Price promotion (""R",['https://t.co/dB2HW3FAaV)'],True,True,Medium,4.075875282287598
1944718085383987393,"  SPR_COMBO[pt]🌟 AMAZON--07🔥Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - #MercadoLivre-3.1 Por R$ 13,85 COMPRE AQUI 👉🏽 https://t.co/dB2HW3FAaV https://t.co/ipJ8WFt7IH","SPR_COMBO[pt] AMAZON--07Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - -3.1 Por R$ 13,85 COMPRE AQUI",2025-07-14 11:18:17,pt,TWITTER,MercadoLivre,,🔥🌟👉🏽,4ee6274406a4f3d26f908e7906373236,cluster_3,False,6,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct sales link (https://t.co/dB2HW3FAaV)
- Price promotion (""R",['https://t.co/dB2HW3FAaV)'],True,True,Medium,4.075875282287598
1944718262228463750,"  SPR_COMBO[pt]🌟 AMAZON--07🔥Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - #MercadoLivre-3.1 Por R$ 13,85 COMPRE AQUI 👉🏽 https://t.co/kzVpe7rqUM https://t.co/mfb32p5z6e","SPR_COMBO[pt] AMAZON--07Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - -3.1 Por R$ 13,85 COMPRE AQUI",2025-07-14 11:18:59,pt,TWITTER,MercadoLivre,,🔥🌟👉🏽,4ee6274406a4f3d26f908e7906373236,cluster_3,False,6,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct sales link (https://t.co/dB2HW3FAaV)
- Price promotion (""R",['https://t.co/dB2HW3FAaV)'],True,True,Medium,4.075875282287598
1944718501026869267,"  SPR_COMBO[pt]PODE TE SALVAR DE UM BAFÃO, LITERALMENTE Colgate Spray Bucal Total 12 C/ Agentes Antibacterianos 60Ml Por R$ 13,85 à vista Ou R$ 12,46 na Compra com recorrência (Pode cancelar quando quiser) Loja Oficial Amazon https://t.co/dbaoThuSB0 https://t.co/hDuuw6b6JQ","SPR_COMBO[pt]PODE TE SALVAR DE UM BAFÃO, LITERALMENTE Colgate Spray Bucal Total 12 C/ Agentes Antibacterianos 60Ml Por R$ 13,85 à vista Ou R$ 12,46 na Compra com recorrência (Pode cancelar quando quiser) Loja Oficial Amazon",2025-07-14 11:19:56,pt,TWITTER,,,,6ec03da7ba802e1e9a23d708554e66ce,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct product mention with specific product details (Colgate Spray Bucal Total 12)
- Explicit pricing information (R",[],False,,,
1944720268229824653,"  BAFO DE ONÇA NUNCA MAIS! ➡ Colgate Spray Bucal Total 12 Spray Bucal 60Ml R$ 12,46 https://t.co/FKM2j2KPHy via @amazon #ColgateTotal #HálitoFresco","BAFO DE ONÇA NUNCA MAIS! Colgate Spray Bucal Total 12 Spray Bucal 60Ml R$ 12,46 via",2025-07-14 11:26:57,pt,TWITTER,ColgateTotal|HálitoFresco,amazon,➡,42050ee05477ced050ffc68b8d4f4a9f,,False,1,True,Affiliate,Medium,True,"The comment contains multiple promotional indicators including:
- Direct product mention (Colgate Spray Bucal Total)
- Amazon product link
- Specific product price
- Brand hashtags (#ColgateTotal #Hál","['- ""Colgate Spray Bucal""', '- ""R']",False,,,
1944721870504288744,"  SPR_COMBO[pt]🌟 AMAZON--07🔥Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - #MercadoLivre-3.1 Por R$ 13,85 COMPRE AQUI 👉🏽 https://t.co/dB2HW3FAaV https://t.co/Prt9EgbDTD","SPR_COMBO[pt] AMAZON--07Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - -3.1 Por R$ 13,85 COMPRE AQUI",2025-07-14 11:33:19,pt,TWITTER,MercadoLivre,,🔥🌟👉🏽,4ee6274406a4f3d26f908e7906373236,cluster_3,False,6,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct sales link (https://t.co/dB2HW3FAaV)
- Price promotion (""R",['https://t.co/dB2HW3FAaV)'],True,True,Medium,4.075875282287598
1944722083658752313,"  SPR_COMBO[pt]🌟 AMAZON--07🔥Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - #MercadoLivre-3.1 Por R$ 13,85 COMPRE AQUI 👉🏽 https://t.co/kzVpe7rqUM https://t.co/5dINh6gxHb","SPR_COMBO[pt] AMAZON--07Colgate Spray Bucal Total 12 Spray Bucal Com Agentes Antibacterianos 60Ml - -3.1 Por R$ 13,85 COMPRE AQUI",2025-07-14 11:34:10,pt,TWITTER,MercadoLivre,,🔥🌟👉🏽,4ee6274406a4f3d26f908e7906373236,cluster_3,False,6,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct sales link (https://t.co/dB2HW3FAaV)
- Price promotion (""R",['https://t.co/dB2HW3FAaV)'],True,True,Medium,4.075875282287598
1944729988650958966,"  COLGATE BARATO? PEGUEI! 😁 Colgate Sensitive Pro-Alívio Imediato Original Creme Dental Para Dentes Sensíveis 90g Leve 3 Pague 2 R$ 14,59 Leve 4, cada um por R$14,59 Com Recorrência CUPOM: 20PRIMEAPP https://t.co/7Cf1oI8Vll via @amazon #Colgate #SorrisoNovo","COLGATE BARATO? PEGUEI! Colgate Sensitive Pro-Alívio Imediato Original Creme Dental Para Dentes Sensíveis 90g Leve 3 Pague 2 R$ 14,59 Leve 4, cada um por R$14,59 Com Recorrência CUPOM: 20PRIMEAPP via",2025-07-14 12:05:35,pt,TWITTER,Colgate|SorrisoNovo,amazon,😁,16b3f7b6b0916b6f901bb4503c1e774e,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Specific product details (Colgate Sensitive Pro-Alívio)
- Explicit pricing information
- Discount offer (Leve 3 Pague 2)
- Promo CUPOM (discount) code",[],False,,,
1944743595832902000,"  Dente branco? Colgate Carvão Ativado! 😁✨ Colgate Creme Dental Clareador Luminous White Carvão Ativado 70G 3 Unidades R$15,19 com recorrência https://t.co/ZvhRADqiFM via @amazon #creme","Dente branco? Colgate Carvão Ativado! Colgate Creme Dental Clareador Luminous White Carvão Ativado 70G 3 Unidades R$15,19 com recorrência via",2025-07-14 12:59:39,pt,TWITTER,creme,amazon,😁✨,097edb4b15a208725f741eae2108f7d2,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct product mention (Colgate Carvão Ativado)
- Specific product details (Luminous White, 70G, 3 Units)
- Price listing (R",[],False,,,
