fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1944677458441302107,  [ギフトセット/ショップバッグ付] Dior ディオール アイシャドウ パレット ディオール エクラン クチュール マルチ... https://t.co/SmsXhbx3kV #Amazon,[ギフトセット/ショップバッグ付] Dior ディオール アイシャドウ パレット ディオール エクラン クチュール マルチ...,2025-07-14 08:36:51,ja,TWITTER,Amazon,,,4c98581a954e52946504c025ff7d7dc7,cluster_4,True,10,True,Affiliate,Medium,True,"- Contains an Amazon shortened URL (https://t.co/SmsXhbx3kV), which suggests an affiliate marketing link
- Includes specific Dior product details (eyeshadow palette)
- Uses Japanese language, indicati","['https://t.co/SmsXhbx3kV),']",False,,,
1944678073028514248,  ディオール Dior モンテーニュ コフレ ホリデー 2022 クリスマス コフレ 香水 クリスマスコフレ https://t.co/dXGVkEdto6 #Amazon,ディオール Dior モンテーニュ コフレ ホリデー 2022 クリスマス コフレ 香水 クリスマスコフレ,2025-07-14 08:39:17,ja,TWITTER,Amazon,,,92be3b98602636bd0458100c43234b1c,cluster_14,True,6,True,Affiliate,Medium,True,"- Contains direct product reference to Dior holiday/Christmas fragrance collection
- Includes Amazon affiliate link
- Uses product-specific hashtag (#Amazon)
- Written in Japanese, targeting potential",['#Amazon'],False,,,
1944694672045261000,"  【Baby Dior】ヴィンテージ　ベビーディオール　ワンピース　ドレス　90 価格: 9,999円 詳しくはこちら↓↓ https://t.co/3CcCJ7rGzH","【Baby Dior】ヴィンテージ ベビーディオール ワンピース ドレス 90 価格: 9,999円 詳しくはこちら↓↓",2025-07-14 09:45:15,ja,TWITTER,,,,7286d2fb9661385b1c4b2feea650792a,,False,1,True,Affiliate,Medium,True,"The tweet contains a direct sales link (https://t.co/3CcCJ7rGzH), specific product details (Baby Dior vintage dress), and a price point, indicating a clear intent to sell or direct traffic to a sales ","['https://t.co/3CcCJ7rGzH),']",False,,,
1944702379745517844,  SPR_COMBO[ja]Diorのシルクワンピース、想像以上に可愛かった！ オンラインじゃ伝わりきらない、リアルな輝きが！ 【定価50万☆極美品】dior シルク 花柄 ワンピース ドレス 現行タグ https://t.co/zJnztgkKHx,SPR_COMBO[ja]Diorのシルクワンピース、想像以上に可愛かった！ オンラインじゃ伝わりきらない、リアルな輝きが！ 【定価50万☆極美品】dior シルク 花柄 ワンピース ドレス 現行タグ,2025-07-14 10:15:52,ja,TWITTER,,,,86afbad985b911671a348a0cb2065da1,,False,1,True,Affiliate,High,True,"The tweet contains several strong promotional indicators:
- Includes a shortened URL (https://t.co/zJnztgkKHx), typical of affiliate marketing
- Mentions specific product details (Dior silk dress, pri","['https://t.co/zJnztgkKHx),']",False,,,
1944731532540989456,  SPR_COMBO[ja]' Christian Dior クリスチャンディオール CHRISTIAN DIOR ディオールスキン フォーエヴァー フルイド グロウ #1N 30ミリリットル (x 1) [並行輸入品] #ad https://t.co/xIKO3KEr6a,SPR_COMBO[ja]' Christian Dior クリスチャンディオール CHRISTIAN DIOR ディオールスキン フォーエヴァー フルイド グロウ 30ミリリットル (x 1) [並行輸入品],2025-07-14 12:11:43,ja,TWITTER,1N|ad,,,f8a9265c5da6a8e67773d49fc120342b,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Contains #ad disclosure tag
- Specific product details (Dior Skin Forever Fluid Glow, shade #1N, 30ml)
- Shortened URL suggesting affiliate/tracking l","['#ad', '#1N']",False,,,
17886240630315691,  Curated chaos: What I actually carry with me 👜💫 popsewing.diy.handmade What's in my bag ? • aldiuk Lacura sun refreshing dry mist • nestlepolo • benefitcosmeticsuk Benetint dark cherry-tinted lip & cheek stain • amazonuk fragrance free makeup remover wipes with aloe vera • mango purse • spoolie • dossierperfumes his and hers perfume/aftershave • bm_stores frizz free fabulous anti-frizz serum • keysieco Keyring helper • superdrug red lipstick • vaselineuk • dior - VIP Blooming Bouquet 10ml EDT Refillable Travel Atomiser • sony Cybershot DSC RX100M3 Premium Digital Compact Camera with 180 Degree Selfie Screen #popsewing #handmadebag #diyfashion #baglover #whatsinmybag #Ad #fashionaccessories #handcrafted #madebyme #fashioninspo #sewingcommunity #creativecommunity #bagaddict #ecofashion #slowfashion #fashionblogger #styleinspo #mybagstory #everydaycarry #craftingjoy #makersgonnamake,Curated chaos: What I actually carry with me popsewing.diy.handmade What's in my bag ? • aldiuk Lacura sun refreshing dry mist • nestlepolo • benefitcosmeticsuk Benetint dark cherry-tinted lip & cheek stain • amazonuk fragrance free makeup remover wipes with aloe vera • mango purse • spoolie • dossierperfumes his and hers perfume/aftershave • bm_stores frizz free fabulous anti-frizz serum • keysieco Keyring helper • superdrug red lipstick • vaselineuk • dior - VIP Blooming Bouquet 10ml EDT Refillable Travel Atomiser • sony Cybershot DSC RX100M3 Premium Digital Compact Camera with 180 Degree Selfie Screen,2025-07-14 12:22:38,en,INSTAGRAM,popsewing|handmadebag|diyfashion|baglover|whatsinmybag|Ad|fashionaccessories|handcrafted|madebyme|fashioninspo|sewingcommunity|creativecommunity|bagaddict|ecofashion|slowfashion|fashionblogger|styleinspo|mybagstory|everydaycarry|craftingjoy|makersgonnamake,,💫👜,cb7f87abb0679bf92641e90bbc4fdc20,,False,1,True,Influencer,Medium,True,"- Contains #Ad hashtag, which is a direct promotional disclosure
- Includes specific Dior product (VIP Blooming Bouquet 10ml EDT)
- Detailed ""what's in my bag"" content with multiple brand mentions
- M",['#Ad'],False,,,
18166517380359984,"  ✨🎀It's giving golden glow, floral soul, and soft power. Because I adore J'adore, and I found her twin. Clean girl fragrance alternate.scents amazondotin Alternate scents , Dior jadore perfume , perfumes on a budget, smells like luxury , jadore inspired , white aesthetics fragrances , white dress fragrance , alt fragrance finds , luxury perfumes under 300 #scentoftheday #alternatescents #dior #luxuryperfumes #floralfragrance #diorjadore #diorjadoredupe #dupes #fragrancefinds #luxurydupescents #vanillaperfumes #aesthetic #aestheticperfumes #koreanperfumes #cleangirlperfumes #smellslikeluxury #jadoreinspired #indianperfumes #perfumesunder300 #scentofelegance #fypreelsシ゚ #wearingjadore","It's giving golden glow, floral soul, and soft power. Because I adore J'adore, and I found her twin. Clean girl fragrance alternate.scents amazondotin Alternate scents , Dior jadore perfume , perfumes on a budget, smells like luxury , jadore inspired , white aesthetics fragrances , white dress fragrance , alt fragrance finds , luxury perfumes under 300 ゚",2025-07-14 14:04:18,en,INSTAGRAM,scentoftheday|alternatescents|dior|luxuryperfumes|floralfragrance|diorjadore|diorjadoredupe|dupes|fragrancefinds|luxurydupescents|vanillaperfumes|aesthetic|aestheticperfumes|koreanperfumes|cleangirlperfumes|smellslikeluxury|jadoreinspired|indianperfumes|perfumesunder300|scentofelegance|fypreelsシ|wearingjadore,,🎀✨,f69292e8a01355b92d5eeacfd90992ec,,False,1,True,Affiliate,Medium,False,"The comment exhibits strong promotional characteristics despite not having direct affiliate links:
- Multiple branded hashtags targeting product discovery (#dior, #diorjadore, #luxuryperfumes)
- Exten","['#dior', '#diorjadore', '#luxuryperfumes']",False,,,
mov_C4536C14B5475DD18D8F5A711AB4F290,"  SPR_COMBO[zh-tw]2025頰彩趨勢
比起明顯的偏光，近年頰彩開始流行更輕透自然，帶點濕潤質地的水光氛圍，像是自然聚光的透亮妝感，從伸展台到idol皆然！ 想要打造水光感，頰彩質地要夠細膩、不能厚重，粉狀產品也能達到這樣的效果，但是霜狀、液狀會更好上手。 這也是為什麼不少品牌選擇在2025推出霜狀或液態的腮紅產品。 Dior迪奧超完美微醺腮紅露
迪奧2025年推出品牌首款腮紅露-超完美微醺腮紅露，主打以乳霜轉粉體的創新科技，結合空氣感慕斯質地，輕盈貼膚不黏膩，締造極致舒適的上妝體驗。 絲絨般的柔霧妝效，能輕鬆暈染，綻放自然的微醺紅潤感。 刷頭設計便於控制用量，無論以手指或刷具上妝皆可快速推開、均勻服貼。 當中還富含「玻尿酸保濕精華」，實現霧面妝效同時長效鎖水保濕，一抹融膚，立顯自然紅潤光采。 超完美微醺腮紅露一共推出7色，包括冷暖色調，滿足不同膚色需求。 #01玫瑰甜茶：優雅百搭的玫瑰粉。 #02晨露牡丹：人人可駕馭的柔美奶杏色。 #03夕陽珊瑚：減齡俏皮的珊瑚橘。 #04蜜杏雛菊：襯膚色的甜美蜜桃粉
#05粉紅香檳
#07奶杏蒼蘭(迪奧官網獨賣)
#10嫣紅莓果
其中主打色為#01玫瑰甜茶，也是智秀Jisoo的示範色。 Armani Beauty輕透亮絲光亮采腮紅露
亞曼尼輕透亮絲光亮采腮紅露靈感源自芭蕾舞衣輕紗般的飄逸質感，以亞曼尼漂染技法將舞者訂製舞衣的柔美粉彩融入絲滑液態質地。 精細研磨的色料懸浮於水包油乳液中，展現高顯色卻輕盈服貼的薄膜妝效，實現腮紅與肌膚的無痕融合。 延續品牌經典液態腮紅的輕盈觸感，注入細緻閃耀高訂珠光，為雙頰帶來透亮光采。 輕輕一抹，即可自然綻放紅潤與立體感。 亞曼尼輕透亮絲光亮采腮紅露一共推出四色。 #50S微光蜜桃：蜜桃裸光與柔霧光澤交織，綻放溫柔又俐落的甜美氣場。 #53S珍珠柔粉：輕閃冷粉點綴珍珠光感，如晨光輕拂頰間，純淨通透。 #42S日曬苺果：陽光吻過莓果的熟成色澤，帶出自然紅潤的好氣色。 #62S星辰玫粉：深邃玫粉中藏著細閃星光，低調卻勾人，展現優雅氣勢。 Muzigae Mansion「千金腮紅」
Muzigae Mansion全新腮紅-透明顏料罐光澤液體腮紅露，因絕美妝效與精緻包裝而被暱稱為「千金腮紅」，在韓國才上市7天就突破一億韓元銷售額！ 透明顏料罐光澤液體腮紅露質地如水彩般服貼，一抹即現澎潤光澤與輪廓提亮感，不遮蓋膚質，反而讓臉部線條更加俐落乾淨。 光澤還會隨著肌膚移動而流轉，一拍即有立體雕塑感，宛如做了微整般自然澎潤。 當中以高達55%高濃度養膚精華作為配方基底，搭配透亮的水彩質地與微米級光澤粒子，在完成精緻妝感的同時，也讓膚質同步升級。 上妝時光澤液體腮紅露不僅滑順好推、不黏不膩，即便層層疊擦，依然能保有自然通透的光感。 Muzigae Mansion透明顏料罐光澤液體腮紅露一共推出10色。 M·A·C 輕透光感腮紅蜜/打亮蜜
M·A·C全新推出8款腮紅色、2款打亮色的輕透光感腮紅蜜、輕透光感打亮蜜，就是以細緻的光澤為重點設計。 水潤的質地來自於無重力水基底配方，不僅輕盈貼膚，也擁有高延展、好暈染的特性，僅需要一點點就可打造自然好氣色，同時少量多次上色也不會有結塊狀況。 光澤則來自貝殼光感色彩粒子，運用細緻無顆粒的細細珠光，讓光線能從不同角度折射出如珍珠母貝般的細緻夢幻色澤。 輕透光感腮紅蜜主打2色
落日人魚：彷彿落日般的紅霞，更像是自然透出的血色紅暈，不挑膚好氣色首選。 仲夏人魚：充滿靈動活力的深橙色調，彷彿置身仲夏海灘的絕美濾鏡。 輕透光感腮紅蜜 8色
#珊粉人魚 Ice Gleam (草莓牛奶粉)
#落日人魚 Lavalite (肉桂奶茶)
#仲夏人魚 Apricot Jelly (熟成橙)
#血月人魚 Unsweetened (葡萄酒紅)
#幻夜人魚 Nitelite (煙紫玫瑰)
#赤夢人魚 Good Vibes (深紅梅色)
#紫浪人魚 Magic Aura (薰衣草深紫)
#深海人魚 Plummy Bare (櫻桃酒紅)
輕透光感打亮蜜 2色
#曙光人魚 Lightning (香檳金)
#星紗人魚 Starlite (淺玫瑰金)
ADDICTION 癮色粉顏頰彩蜜(柔霧/亮采）
說到腮紅蜜不少人第一個想到的品項就是ADDICTION，今年春天瓶裝的頰彩蜜全面改版，變成管狀包裝之外，更分成柔霧和亮采兩個質地共13色全新上市。 這次改版的包裝有點像是常見遮瑕膏的樣子，也從刷頭改成海綿頭，沾取更容易控制用量。 成分中包含了90% 的美容液，質地輕盈且保濕。 癮色粉顏頰彩蜜柔霧色選
001 枕邊夢迴 Pillow Dream：鬆軟白雲般的粉紅色。 002 自在舒適 So Cushy：輕柔中性的粉嫩玫瑰。 003 落日煦暖 Tender Sunset：健康活力的珊瑚色蜜桃。 004 棕木露臺 At Balcony：裸米梧桐色帶金色珠光。 005 度假 On Vacay：屋牆上赤米色瓦磚。 006 重獲新生 Brand New You：高調的潤紅色。 007 迷途者 Stray Girl：沉穩內蘊的黑醋栗。 008 花海隧道 Blossom Canal：藕紫色漿果，帶藍和粉色珠光。 癮色粉顏頰彩蜜亮采色選
001 白晝小眠 Morning Doze：珊瑚嫩粉橘。 002 緩緩 Slow Mood：鵝黃暖橘色。 003 馨甜誘惑 Sweetener：戀愛般的紫紅色。 004 治癒你 The Healing：純古典玫瑰粉。 005 內心激盪 Inner Passion：波爾多酒紅色。 BRAYE 滑蓋光透/迷霧特潤唇頰盤
韓國美妝品牌 BRAYE 以Rough Beauty為概念，主打帥氣個性的潮流路線，2 月由Amiid Beeauty代理登台。 首波上市明星商品滑蓋光透/迷霧特潤唇頰盤，兩款各有10色，滑蓋包裝設計也話題十足。...",SPR_COMBO[zh-tw]2025頰彩趨勢 比起明顯的偏光，近年頰彩開始流行更輕透自然，帶點濕潤質地的水光氛圍，像是自然聚光的透亮妝感，從伸展台到idol皆然！ 想要打造水光感，頰彩質地要夠細膩、不能厚重，粉狀產品也能達到這樣的效果，但是霜狀、液狀會更好上手。 這也是為什麼不少品牌選擇在2025推出霜狀或液態的腮紅產品。 Dior迪奧超完美微醺腮紅露 迪奧2025年推出品牌首款腮紅露-超完美微醺腮紅露，主打以乳霜轉粉體的創新科技，結合空氣感慕斯質地，輕盈貼膚不黏膩，締造極致舒適的上妝體驗。 絲絨般的柔霧妝效，能輕鬆暈染，綻放自然的微醺紅潤感。 刷頭設計便於控制用量，無論以手指或刷具上妝皆可快速推開、均勻服貼。 當中還富含「玻尿酸保濕精華」，實現霧面妝效同時長效鎖水保濕，一抹融膚，立顯自然紅潤光采。 超完美微醺腮紅露一共推出7色，包括冷暖色調，滿足不同膚色需求。 ：優雅百搭的玫瑰粉。 ：人人可駕馭的柔美奶杏色。 ：減齡俏皮的珊瑚橘。 ：襯膚色的甜美蜜桃粉 (迪奧官網獨賣) 其中主打色為，也是智秀Jisoo的示範色。 Armani Beauty輕透亮絲光亮采腮紅露 亞曼尼輕透亮絲光亮采腮紅露靈感源自芭蕾舞衣輕紗般的飄逸質感，以亞曼尼漂染技法將舞者訂製舞衣的柔美粉彩融入絲滑液態質地。 精細研磨的色料懸浮於水包油乳液中，展現高顯色卻輕盈服貼的薄膜妝效，實現腮紅與肌膚的無痕融合。 延續品牌經典液態腮紅的輕盈觸感，注入細緻閃耀高訂珠光，為雙頰帶來透亮光采。 輕輕一抹，即可自然綻放紅潤與立體感。 亞曼尼輕透亮絲光亮采腮紅露一共推出四色。 ：蜜桃裸光與柔霧光澤交織，綻放溫柔又俐落的甜美氣場。 ：輕閃冷粉點綴珍珠光感，如晨光輕拂頰間，純淨通透。 ：陽光吻過莓果的熟成色澤，帶出自然紅潤的好氣色。 ：深邃玫粉中藏著細閃星光，低調卻勾人，展現優雅氣勢。 Muzigae Mansion「千金腮紅」 Muzigae Mansion全新腮紅-透明顏料罐光澤液體腮紅露，因絕美妝效與精緻包裝而被暱稱為「千金腮紅」，在韓國才上市7天就突破一億韓元銷售額！ 透明顏料罐光澤液體腮紅露質地如水彩般服貼，一抹即現澎潤光澤與輪廓提亮感，不遮蓋膚質，反而讓臉部線條更加俐落乾淨。 光澤還會隨著肌膚移動而流轉，一拍即有立體雕塑感，宛如做了微整般自然澎潤。 當中以高達55%高濃度養膚精華作為配方基底，搭配透亮的水彩質地與微米級光澤粒子，在完成精緻妝感的同時，也讓膚質同步升級。 上妝時光澤液體腮紅露不僅滑順好推、不黏不膩，即便層層疊擦，依然能保有自然通透的光感。 Muzigae Mansion透明顏料罐光澤液體腮紅露一共推出10色。 M·A·C 輕透光感腮紅蜜/打亮蜜 M·A·C全新推出8款腮紅色、2款打亮色的輕透光感腮紅蜜、輕透光感打亮蜜，就是以細緻的光澤為重點設計。 水潤的質地來自於無重力水基底配方，不僅輕盈貼膚，也擁有高延展、好暈染的特性，僅需要一點點就可打造自然好氣色，同時少量多次上色也不會有結塊狀況。 光澤則來自貝殼光感色彩粒子，運用細緻無顆粒的細細珠光，讓光線能從不同角度折射出如珍珠母貝般的細緻夢幻色澤。 輕透光感腮紅蜜主打2色 落日人魚：彷彿落日般的紅霞，更像是自然透出的血色紅暈，不挑膚好氣色首選。 仲夏人魚：充滿靈動活力的深橙色調，彷彿置身仲夏海灘的絕美濾鏡。 輕透光感腮紅蜜 8色 Ice Gleam (草莓牛奶粉) Lavalite (肉桂奶茶) Apricot Jelly (熟成橙) Unsweetened (葡萄酒紅) Nitelite (煙紫玫瑰) Good Vibes (深紅梅色) Magic Aura (薰衣草深紫) Plummy Bare (櫻桃酒紅) 輕透光感打亮蜜 2色 Lightning (香檳金) Starlite (淺玫瑰金) ADDICTION 癮色粉顏頰彩蜜(柔霧/亮采） 說到腮紅蜜不少人第一個想到的品項就是ADDICTION，今年春天瓶裝的頰彩蜜全面改版，變成管狀包裝之外，更分成柔霧和亮采兩個質地共13色全新上市。 這次改版的包裝有點像是常見遮瑕膏的樣子，也從刷頭改成海綿頭，沾取更容易控制用量。 成分中包含了90% 的美容液，質地輕盈且保濕。 癮色粉顏頰彩蜜柔霧色選 001 枕邊夢迴 Pillow Dream：鬆軟白雲般的粉紅色。 002 自在舒適 So Cushy：輕柔中性的粉嫩玫瑰。 003 落日煦暖 Tender Sunset：健康活力的珊瑚色蜜桃。 004 棕木露臺 At Balcony：裸米梧桐色帶金色珠光。 005 度假 On Vacay：屋牆上赤米色瓦磚。 006 重獲新生 Brand New You：高調的潤紅色。 007 迷途者 Stray Girl：沉穩內蘊的黑醋栗。 008 花海隧道 Blossom Canal：藕紫色漿果，帶藍和粉色珠光。 癮色粉顏頰彩蜜亮采色選 001 白晝小眠 Morning Doze：珊瑚嫩粉橘。 002 緩緩 Slow Mood：鵝黃暖橘色。 003 馨甜誘惑 Sweetener：戀愛般的紫紅色。 004 治癒你 The Healing：純古典玫瑰粉。 005 內心激盪 Inner Passion：波爾多酒紅色。 BRAYE 滑蓋光透/迷霧特潤唇頰盤 韓國美妝品牌 BRAYE 以Rough Beauty為概念，主打帥氣個性的潮流路線，2 月由Amiid Beeauty代理登台。 首波上市明星商品滑蓋光透/迷霧特潤唇頰盤，兩款各有10色，滑蓋包裝設計也話題十足。...,2025-07-14 16:00:00,zh-tw,WEB,01玫瑰甜茶|02晨露牡丹|03夕陽珊瑚|04蜜杏雛菊|05粉紅香檳|07奶杏蒼蘭|10嫣紅莓果|01玫瑰甜茶|50S微光蜜桃|53S珍珠柔粉|42S日曬苺果|62S星辰玫粉|珊粉人魚|落日人魚|仲夏人魚|血月人魚|幻夜人魚|赤夢人魚|紫浪人魚|深海人魚|曙光人魚|星紗人魚,,,1179c5387d770f796dacbb41225b6a2b,,False,1,True,Brand_Official,High,False,This is a detailed product description/review that appears to be an official or sponsored content piece about Dior and other beauty brands' blush/cheek products for 2025. The text provides extensive d,[],False,,,
1944820884772151564,  SPR_COMBO[ja]' Dior ソヴァージュ EDT SP 1ml(ミニ) #ad https://t.co/CaavDlgCwC,SPR_COMBO[ja]' Dior ソヴァージュ EDT SP 1ml(ミニ),2025-07-14 18:06:46,ja,TWITTER,ad,,,3bf5dd15bf2180698309568364bd56db,,False,1,True,Affiliate,Medium,True,"- Contains explicit #ad disclosure tag, which is a clear promotional indicator
- Specific product mention (Dior Sauvage EDT 1ml)
- Appears to be a product listing/sales-oriented post
- Uses Japanese l",['#ad'],False,,,
1944874788713083088,"  SPR_COMBO[ja]￥13,338 Amazon｜Christian Diorクリスチャンディオール ソヴァージュ EDT 60ml [並行輸入品] : ビューティー... #広告 https://t.co/U4EHtAjYtJ","SPR_COMBO[ja]￥13,338 Amazon｜Christian Diorクリスチャンディオール ソヴァージュ EDT 60ml [並行輸入品] : ビューティー...",2025-07-14 21:40:58,ja,TWITTER,広告,,,22b6c27bf4a6a6142a759e327e8b972c,,False,1,True,Affiliate,Medium,True,"- Contains Amazon product link for Dior Sauvage EDT
- Includes price (¥13,338)
- Has #広告 hashtag, which means ""#Advertisement"" in Japanese
- Appears to be an affiliate marketing tweet linking to produ","['#広告', '#Advertisement']",False,,,
