fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
18144996112397251,"  SPR_COMBO[de]https://amzn.to/4lQuq53 ✨ NEW IN: NYX Lip IV Hydrating Gloss Stain 💄💧 Say hello zu deinem neuen Must-have für gepflegte, glossy Lips! 😍 💋 2-in-1 Power: Pflegender, feucht glänzender Lipgloss + langanhaltender Lip Stain – für bis zu 12 Stunden hydratisierte und dezent getönte Lippen! 💥 🌿 Vegan & Clean: Angereichert mit Magnesium, Vitamin B12 & Kokoswasser – ganz ohne tierische Inhaltsstoffe 🐰🌱 🎯 Easy Anwendung: Der tropfenförmige Applikator macht's superpräzise – auftragen, verteilen, strahlen! ✨ 🖤 Farbe: Hydra-Honey – der perfekte Ton für jedes Mood! 📦 Jetzt erhältlich: NYX Professional Makeup Lip IV Hydrating Gloss Stain – dein Glow-Game startet jetzt! 💫 #NYXCosmetics #LipIV #GlossGoals #HydraHoney #VeganBeauty #MakeupLover #NYXGermany #LipStainMagic #12hHydration #BeautyRoutine #beautytips #beautylifestyle #cuteai #beautylifehacks","SPR_COMBO[de] NEW IN: NYX Lip IV Hydrating Gloss Stain Say hello zu deinem neuen Must-have für gepflegte, glossy Lips! 2-in-1 Power: Pflegender, feucht glänzender Lipgloss + langanhaltender Lip Stain – für bis zu 12 Stunden hydratisierte und dezent getönte Lippen! Vegan & Clean: Angereichert mit Magnesium, Vitamin B12 & Kokoswasser – ganz ohne tierische Inhaltsstoffe Easy Anwendung: Der tropfenförmige Applikator macht's superpräzise – auftragen, verteilen, strahlen! Farbe: Hydra-Honey – der perfekte Ton für jedes Mood! Jetzt erhältlich: NYX Professional Makeup Lip IV Hydrating Gloss Stain – dein Glow-Game startet jetzt!",2025-07-14 12:27:23,de,INSTAGRAM,NYXCosmetics|LipIV|GlossGoals|HydraHoney|VeganBeauty|MakeupLover|NYXGermany|LipStainMagic|12hHydration|BeautyRoutine|beautytips|beautylifestyle|cuteai|beautylifehacks,,🐰🌱💥💋✨🎯🌿💧🖤💫📦💄😍,34f736c654dae56549a4c723ff258b5a,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Amazon affiliate link (amzn.to/4lQuq53)
- Detailed product description with sales-oriented language
- Multiple marketing hashtags (#NYXCosmetics, #Lip","['#NYXCosmetics', '#Lip']",False,,,
1944790904075612268,  Karime Pindter con NYX en Amazon 🫶🏻 https://t.co/7WQusmkaOc,Karime Pindter con NYX en Amazon,2025-07-14 16:07:38,en,TWITTER,,,🫶🏻,5767005f9e87de0b7c8b1966ef8cf2ce,cluster_1,True,27,True,Influencer,Medium,True,"- Contains an Amazon link (potential affiliate tracking)
- Mentions a specific person (Karime Pindter) with NYX product
- Link suggests direct product recommendation/shopping
- Uses emoji suggesting c",[],False,,,
1944791408855929237,  Karime Pindter con NYX en Amazon 🫶🏻 https://t.co/7WQusmkaOc,Karime Pindter con NYX en Amazon,2025-07-14 16:09:39,en,TWITTER,,,🫶🏻,5767005f9e87de0b7c8b1966ef8cf2ce,cluster_1,False,27,True,Influencer,Medium,True,"- Contains an Amazon link (potential affiliate tracking)
- Mentions a specific person (Karime Pindter) with NYX product
- Link suggests direct product recommendation/shopping
- Uses emoji suggesting c",[],True,True,Medium,3.0358948707580566
1944791475381825707,  Karime Pindter con NYX en Amazon 🫶🏻 https://t.co/7WQusmkaOc,Karime Pindter con NYX en Amazon,2025-07-14 16:09:54,en,TWITTER,,,🫶🏻,5767005f9e87de0b7c8b1966ef8cf2ce,cluster_1,False,27,True,Influencer,Medium,True,"- Contains an Amazon link (potential affiliate tracking)
- Mentions a specific person (Karime Pindter) with NYX product
- Link suggests direct product recommendation/shopping
- Uses emoji suggesting c",[],True,True,Medium,3.0358948707580566
1944792769223864375,  Karime Pindter con NYX en Amazon 🫶🏻 https://t.co/7WQusmkaOc,Karime Pindter con NYX en Amazon,2025-07-14 16:15:03,en,TWITTER,,,🫶🏻,5767005f9e87de0b7c8b1966ef8cf2ce,cluster_1,False,27,True,Influencer,Medium,True,"- Contains an Amazon link (potential affiliate tracking)
- Mentions a specific person (Karime Pindter) with NYX product
- Link suggests direct product recommendation/shopping
- Uses emoji suggesting c",[],True,True,Medium,3.0358948707580566
1944793039634944196,  Karime Pindter con NYX en Amazon 🫶🏻 https://t.co/7WQusmkaOc,Karime Pindter con NYX en Amazon,2025-07-14 16:16:07,en,TWITTER,,,🫶🏻,5767005f9e87de0b7c8b1966ef8cf2ce,cluster_1,False,27,True,Influencer,Medium,True,"- Contains an Amazon link (potential affiliate tracking)
- Mentions a specific person (Karime Pindter) with NYX product
- Link suggests direct product recommendation/shopping
- Uses emoji suggesting c",[],True,True,Medium,3.0358948707580566
1944793133738242258,  Karime Pindter con NYX en Amazon 🫶🏻 https://t.co/7WQusmkaOc,Karime Pindter con NYX en Amazon,2025-07-14 16:16:30,en,TWITTER,,,🫶🏻,5767005f9e87de0b7c8b1966ef8cf2ce,cluster_1,False,27,True,Influencer,Medium,True,"- Contains an Amazon link (potential affiliate tracking)
- Mentions a specific person (Karime Pindter) with NYX product
- Link suggests direct product recommendation/shopping
- Uses emoji suggesting c",[],True,True,Medium,3.0358948707580566
1944794326699012103,  Karime Pindter con NYX en Amazon 🫶🏻 https://t.co/7WQusmkaOc,Karime Pindter con NYX en Amazon,2025-07-14 16:21:14,en,TWITTER,,,🫶🏻,5767005f9e87de0b7c8b1966ef8cf2ce,cluster_1,False,27,True,Influencer,Medium,True,"- Contains an Amazon link (potential affiliate tracking)
- Mentions a specific person (Karime Pindter) with NYX product
- Link suggests direct product recommendation/shopping
- Uses emoji suggesting c",[],True,True,Medium,3.0358948707580566
1944796117029236921,  Karime Pindter con NYX en Amazon 🫶🏻 https://t.co/7WQusmkaOc,Karime Pindter con NYX en Amazon,2025-07-14 16:28:21,en,TWITTER,,,🫶🏻,5767005f9e87de0b7c8b1966ef8cf2ce,cluster_1,False,27,True,Influencer,Medium,True,"- Contains an Amazon link (potential affiliate tracking)
- Mentions a specific person (Karime Pindter) with NYX product
- Link suggests direct product recommendation/shopping
- Uses emoji suggesting c",[],True,True,Medium,3.0358948707580566
1944796524489093560,  Karime Pindter con NYX en Amazon 🫶🏻 https://t.co/7WQusmkaOc,Karime Pindter con NYX en Amazon,2025-07-14 16:29:58,en,TWITTER,,,🫶🏻,5767005f9e87de0b7c8b1966ef8cf2ce,cluster_1,False,27,True,Influencer,Medium,True,"- Contains an Amazon link (potential affiliate tracking)
- Mentions a specific person (Karime Pindter) with NYX product
- Link suggests direct product recommendation/shopping
- Uses emoji suggesting c",[],True,True,Medium,3.0358948707580566
