fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1944728612797915645,  SPR_COMBO[ja]Amazon プライムデー Prime Day ｷﾀｰ!! ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック Oral ... https://t.co/mNpPj6zHlW https://t.co/aF9yMzH0Up,SPR_COMBO[ja]Amazon プライムデー Prime Day ｷﾀｰ!! ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック Oral ...,2025-07-14 12:00:07,ja,TWITTER,,,,4890f1d251439d2ae194a8b36d92fce1,,False,1,True,Affiliate,High,True,"- Contains direct product mention of Oral-B iO2S electric toothbrush
- Includes Amazon Prime Day context (promotional event)
- Has shortened URL (potential affiliate tracking link)
- Written in Japane",[],False,,,
1944809207653622004,"  SPR_COMBO[ja]🔥ドラッグストア12位🔥 ほしい物ランキング ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック 【Amazon 限定】 Oral B No1 世界の歯科医師推奨 ** 歯垢除去力997%UP*電 ⚡11,800円⚡（2:20日本標準時時点詳細はプロフィール）https://t.co/Rh15Ks7778","SPR_COMBO[ja]ドラッグストア12位 ほしい物ランキング ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック 【Amazon 限定】 Oral B No1 世界の歯科医師推奨 ** 歯垢除去力997%UP*電 11,800円（2:20日本標準時時点詳細はプロフィール）",2025-07-14 17:20:22,ja,TWITTER,,,⚡🔥,e27c6e136f45fdeb132e31e339baa2d6,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product details (Oral-B iO2S, model iOS21D90BK)
- Price information (¥11,800)
- Amazon-specific reference
- Ranking claim (""ドラッグ",[],False,,,
1944843170971574681,"  SPR_COMBO[pt]🔌 Amazon — Oral B iO Series 4 Escova de Dentes Elétrica Sensor de Pressão Cabo Ergonômico e Estojo Branca 10... 💸 DE R$ 549,99  🔋 POR R$ 467,49 🎯 15% de desconto! 🔗 https://t.co/cFyPhlK2Ii https://t.co/3m6oiJu9vN","SPR_COMBO[pt] Amazon — Oral B iO Series 4 Escova de Dentes Elétrica Sensor de Pressão Cabo Ergonômico e Estojo Branca 10... DE R$ 549,99 POR R$ 467,49 15% de desconto!",2025-07-14 19:35:20,pt,TWITTER,,,🎯🔌🔗💸🔋,efcbfe5396c8743e637090ef2251b52f,cluster_2,True,2,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product details (Oral-B iO Series 4 Electric Toothbrush)
- Explicit price comparison and discount (15% off)
- Shortened URL link","['- ""Amazon""', '- ""Desconto"" (Discount)', '- ""R']",False,,,
1944843287908769846,"  SPR_COMBO[pt]🔌 Amazon — Oral B iO Series 4 Escova de Dentes Elétrica Sensor de Pressão Cabo Ergonômico e Estojo Branca 10... ❌ DE R$ 549,99  📈 POR R$ 467,49 🏆 15% de desconto! 🔗 https://t.co/G4STLOhxOE https://t.co/HrdO7wSWj0","SPR_COMBO[pt] Amazon — Oral B iO Series 4 Escova de Dentes Elétrica Sensor de Pressão Cabo Ergonômico e Estojo Branca 10... DE R$ 549,99 POR R$ 467,49 15% de desconto!",2025-07-14 19:35:47,pt,TWITTER,,,🔌🔗📈🏆❌,efcbfe5396c8743e637090ef2251b52f,cluster_2,False,2,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product details (Oral-B iO Series 4 Electric Toothbrush)
- Explicit price comparison and discount (15% off)
- Shortened URL link","['- ""Amazon""', '- ""Desconto"" (Discount)', '- ""R']",True,True,Medium,2.579099416732788
1944927231392035096,"  SPR_COMBO[ja]🔥ドラッグストア8位🔥 人気度ランキング ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック 【Amazon 限定】 Oral B No1 世界の歯科医師推奨 ** 歯垢除去力997%UP*電動 ⚡11,800円⚡（10:09日本標準時時点詳細はプロフィール）https://t.co/YLY6C4Kw7I","SPR_COMBO[ja]ドラッグストア8位 人気度ランキング ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック 【Amazon 限定】 Oral B No1 世界の歯科医師推奨 ** 歯垢除去力997%UP*電動 11,800円（10:09日本標準時時点詳細はプロフィール）",2025-07-15 01:09:21,ja,TWITTER,,,⚡🔥,cb140710d256141548ea9498881102f8,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Specific product details (Oral-B iO2S, model number)
- Price point highlighted
- Amazon-specific reference
- Performance claims (""歯垢除去力997%UP"" - plaqu",[],False,,,
1945053726336802929,"  UNDER $20! 16pcs Kids Replacement Heads Compatible with Braun Oral B Kids Electric Toothbrush, Ultra Soft Bristles Price: $4.99 Was: $9.99 ✂️ Use Code: P5SPKD4J Use Code @Amazon ➜ https://t.co/ioXTx4Wjoj #braun #replacement https://t.co/bgXxAuutGr","UNDER $20! 16pcs Kids Replacement Heads Compatible with Braun Oral B Kids Electric Toothbrush, Ultra Soft Bristles Price: $4.99 Was: $9.99 Use Code: P5SPKD4J Use Code ➜",2025-07-15 09:32:00,en,TWITTER,braun|replacement,Amazon,✂️,76fe8f8ac89ae9d3de0457399243d229,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Specific product details (16pcs Kids Replacement Heads)
- Explicit price promotion (UNDER",[],False,,,
1945054574857032164,"  SPR_COMBO[ja]🔥ドラッグストア41位🔥 売れ筋ランキング ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック 【Amazon 限定】 Oral B No1 世界の歯科医師推奨 ** 歯垢除去力997%UP*電動 ⚡11,800円⚡（18:35日本標準時時点詳細はプロフィール）https://t.co/Rh15Ks7778","SPR_COMBO[ja]ドラッグストア41位 売れ筋ランキング ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック 【Amazon 限定】 Oral B No1 世界の歯科医師推奨 ** 歯垢除去力997%UP*電動 11,800円（18:35日本標準時時点詳細はプロフィール）",2025-07-15 09:35:22,ja,TWITTER,,,⚡🔥,5f5eefcf09aecf34606d1456ff272af9,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product details (Oral-B iO2S, model iOS21D90BK)
- Price information (¥11,800)
- Sales ranking mention (41st in drugstores)
- Ama",[],False,,,
1945104168814813291,"  Deal: Oral-B iO2 Electric Toothbrush, 1 Gentle Care Toothbrush Head, 1 Travel Case, 1 Travel Refill Holder, Oral B Toothbrush for Adults (Forest Green), Designed by Braun https://t.co/6MGYaoQ7VZ #Amazon via @Amazon https://t.co/zyl7B5naYx","Deal: Oral-B iO2 Electric Toothbrush, 1 Gentle Care Toothbrush Head, 1 Travel Case, 1 Travel Refill Holder, Oral B Toothbrush for Adults (Forest Green), Designed by Braun via",2025-07-15 12:52:26,en,TWITTER,Amazon,Amazon,,6db1d823eb50f017b7b76fc3b64dfe46,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Specific product details (Oral-B iO2 Electric Toothbrush)
- Direct product link (t.co shortened URL)
- Amazon affiliate reference
- Explici",[],False,,,
1945149709720735838,"  SPR_COMBO[ja]🔥ドラッグストア11位🔥 ほしい物ランキング ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック 【Amazon 限定】 Oral B No1 世界の歯科医師推奨 ** 歯垢除去力997%UP*電動 ⚡11,800円⚡（:53日本標準時時点詳細はプロフィール）https://t.co/Rh15Ks7778","SPR_COMBO[ja]ドラッグストア11位 ほしい物ランキング ブラウン 電動歯ブラシ オーラルB iO2S (電動初心者の決定版) iOS21D90BK ブラック 【Amazon 限定】 Oral B No1 世界の歯科医師推奨 ** 歯垢除去力997%UP*電動 11,800円（:53日本標準時時点詳細はプロフィール）",2025-07-15 15:53:24,ja,TWITTER,,,⚡🔥,cfae4214037d3b588f7477a5a7391703,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product details (Oral-B iO2S, model iOS21D90BK)
- Price information (¥11,800)
- Amazon-specific reference
- Ranking claim (""ドラッグ",[],False,,,
1945154247177416753,"  Braun Oral B Toothbrush Heads (White/Black) for $4. xx, Reg-$8. xx Use promo code H2TW3TQD https://t.co/PJejDbPUPy https://t.co/KIBM1tGX3U","Braun Oral B Toothbrush Heads (White/Black) for $4. xx, Reg-$8. xx Use promo code H2TW3TQD",2025-07-15 16:11:26,en,TWITTER,,,,dc3b6219e8dd249e04c190f8c45cf6fa,,False,1,True,Affiliate,High,True,"Contains multiple strong promotional indicators including:
- Specific product pricing details
- Explicit promo code (H2TW3TQD)
- Short URL link (potential affiliate tracking link)
- Direct product rec","['- ""Promo code""', '- ""Reg-']",False,,,
