fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1944745684017860930,  SPR_COMBO[fr]Ouai Hair Oil by Ouai https://t.co/gc9yFHNq0i #Amazon,SPR_COMBO[fr]Ouai Hair Oil by Ouai,2025-07-14 13:07:57,fr,TWITTER,Amazon,,,e453e900540f984cdd46d0f8946f4d1f,cluster_7,True,3,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Contains Amazon link (potential affiliate tracking)
- Specific product mention (Ouai Hair Oil)
- Uses hashtag and shortened URL typical of promotional",[],False,,,
1944746021864735072,  SPR_COMBO[ht]OUAI Anti Frizz Cream Travel Size - Moisturizing Hair Cream w.. . https://t.co/XdIJIr1FRQ #Amazon,SPR_COMBO[ht]OUAI Anti Frizz Cream Travel Size - Moisturizing Hair Cream w.. .,2025-07-14 13:09:17,ht,TWITTER,Amazon,,,1e5134f50deb97eef6135650f23a9148,cluster_9,True,2,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product mention (OUAI Anti Frizz Cream Travel Size)
- Shortened URL (potential affiliate tracking link)
- Amazon hashtag suggest",[],False,,,
1944746135572365500,  Ouai Leave in Conditioner 4.7 Oz. / 140 ML https://t.co/u0uvTuj0ZG #Amazon,Ouai Leave in Conditioner 4.7 Oz. / 140 ML,2025-07-14 13:09:45,en,TWITTER,Amazon,,,e8e5b5903242bc80e332d68e3bf70fcf,cluster_1,True,6,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/u0uvTuj0ZG), which appears to be an Amazon product link
- Directly links to a specific Ouai product with precise product details
- Uses a hashtag (#Amazon) whi","['https://t.co/u0uvTuj0ZG),', '#Amazon']",False,,,
1944746284822512038,"  OUAI St. Bart's Scalp and Body Scrub, Deep-Cleansing Sugar Sc... https://t.co/NwXwCiMkhj #Amazon","OUAI St. Bart's Scalp and Body Scrub, Deep-Cleansing Sugar Sc...",2025-07-14 13:10:20,en,TWITTER,Amazon,,,b35ce29a184e5c713ac0bede48f57b1d,cluster_2,True,6,True,Affiliate,Medium,True,"- Contains an Amazon shortened URL (https://t.co/NwXwCiMkhj), which is likely an affiliate tracking link
- Specific product mention (OUAI St. Bart's Scalp and Body Scrub)
- Uses a hashtag (#Amazon) wh","['https://t.co/NwXwCiMkhj),', '#Amazon']",False,,,
1944746451369881841,  Ouai Scalp and Body Scrub 250g https://t.co/bxhAbXkOZj #Amazon,Ouai Scalp and Body Scrub 250g,2025-07-14 13:11:00,en,TWITTER,Amazon,,,8bbd1bacda54b83be046f2c6e614be66,cluster_3,True,6,True,Affiliate,Medium,True,"- Contains an Amazon product link (https://t.co/bxhAbXkOZj)
- Includes a specific product name (Ouai Scalp and Body Scrub)
- Uses a hashtag (#Amazon) which suggests marketing intent
- Appears to be di","['https://t.co/bxhAbXkOZj)', '#Amazon']",False,,,
1945008627259203893,  SPR_COMBO[fr]Ouai Hair Oil by Ouai https://t.co/gc9yFHNq0i #Amazonギフト券,SPR_COMBO[fr]Ouai Hair Oil by Ouai,2025-07-15 06:32:47,fr,TWITTER,Amazonギフト券,,,e453e900540f984cdd46d0f8946f4d1f,cluster_7,False,3,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Contains Amazon link (potential affiliate tracking)
- Specific product mention (Ouai Hair Oil)
- Uses hashtag and shortened URL typical of promotional",[],True,True,Medium,2.9572536945343018
1945008738240180721,"  OUAI Medium Conditioner. Strengthening Keratin, Nourishing Ba... https://t.co/bX9Dv2yiCN #Amazon","OUAI Medium Conditioner. Strengthening Keratin, Nourishing Ba...",2025-07-15 06:33:14,en,TWITTER,Amazon,,,425a04152711b42fdd529a567e49728c,cluster_4,True,5,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/bX9Dv2yiCN), which suggests an affiliate/tracking link
- Specific product mention (OUAI Medium Conditioner)
- Uses a hashtag (#Amazon), indicating potential af","['https://t.co/bX9Dv2yiCN),', '#Amazon']",False,,,
1945009097918632135,  Ouai Leave in Conditioner 4.7 Oz. / 140 ML https://t.co/u0uvTuita8 #Amazon,Ouai Leave in Conditioner 4.7 Oz. / 140 ML,2025-07-15 06:34:40,en,TWITTER,Amazon,,,e8e5b5903242bc80e332d68e3bf70fcf,cluster_1,False,6,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/u0uvTuj0ZG), which appears to be an Amazon product link
- Directly links to a specific Ouai product with precise product details
- Uses a hashtag (#Amazon) whi","['https://t.co/u0uvTuj0ZG),', '#Amazon']",True,True,Medium,3.262592077255249
1945009257708978231,"  OUAI St. Bart's Scalp and Body Scrub, Deep-Cleansing Sugar Sc... https://t.co/NwXwCiLMrL #Amazon","OUAI St. Bart's Scalp and Body Scrub, Deep-Cleansing Sugar Sc...",2025-07-15 06:35:18,en,TWITTER,Amazon,,,b35ce29a184e5c713ac0bede48f57b1d,cluster_2,False,6,True,Affiliate,Medium,True,"- Contains an Amazon shortened URL (https://t.co/NwXwCiMkhj), which is likely an affiliate tracking link
- Specific product mention (OUAI St. Bart's Scalp and Body Scrub)
- Uses a hashtag (#Amazon) wh","['https://t.co/NwXwCiMkhj),', '#Amazon']",True,True,Medium,2.4682810306549072
1945009376579747854,  Ouai Scalp and Body Scrub 250g https://t.co/bxhAbXkh9L #Amazonギフト券,Ouai Scalp and Body Scrub 250g,2025-07-15 06:35:46,en,TWITTER,Amazonギフト券,,,8bbd1bacda54b83be046f2c6e614be66,cluster_3,False,6,True,Affiliate,Medium,True,"- Contains an Amazon product link (https://t.co/bxhAbXkOZj)
- Includes a specific product name (Ouai Scalp and Body Scrub)
- Uses a hashtag (#Amazon) which suggests marketing intent
- Appears to be di","['https://t.co/bxhAbXkOZj)', '#Amazon']",True,True,Medium,3.295595169067383
