fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
17927472483088268,  SPR_COMBO[de]Was ist dein größtes Problem bei der Haarpflege? Ich beantworte eure Fragen gerne im nächsten Video! #afrohaar #naturalhair #haarpflegetipps #healthyhairjourney #hairgrowthtips #afrohaircare #haarpflege #naturalhairtips #4chaircare #langeshaare #blackhaircare #kinkyhair #lockenliebe #curlyhairroutine #protectivestyles #naturalhaircommunity #naturalhairgrowth #teamnatural #haarpflegeroutine #haircaretips #frocare #afrohairgrowth #hairtalk #blackgirlmagic #wachstummitmir unrefinedriches dm-drogerie markt syoss Color Wow Hair Pantene Pro-V pantene_de,SPR_COMBO[de]Was ist dein größtes Problem bei der Haarpflege? Ich beantworte eure Fragen gerne im nächsten Video! unrefinedriches dm-drogerie markt syoss Color Wow Hair Pantene Pro-V pantene_de,2025-07-14 06:29:38,de,INSTAGRAM,afrohaar|naturalhair|haarpflegetipps|healthyhairjourney|hairgrowthtips|afrohaircare|haarpflege|naturalhairtips|4chaircare|langeshaare|blackhaircare|kinkyhair|lockenliebe|curlyhairroutine|protectivestyles|naturalhaircommunity|naturalhairgrowth|teamnatural|haarpflegeroutine|haircaretips|frocare|afrohairgrowth|hairtalk|blackgirlmagic|wachstummitmir,,,fa86908a0170f998589d894fee444470,,False,1,True,Influencer,Medium,False,"- Contains multiple branded hashtags related to Pantene and hair care
- Specifically mentions Pantene Pro-V in the comment
- Uses engagement-style prompt (""What is your biggest hair care problem?"")
- ",[],False,,,
18089379121656959,"  ✨ From dull to dazzling — in just 3 minutes! ✨ Tried the Pantene Collagen Conditioner at home and then took the glow to the Amazon Beautyverse '25 amazonfashionin Their hair test confirmed what I already felt — my hair's smoother, shinier, and full of life 💁‍♀ Infused with Pro-V + Collagen, it helps repair 3 months of damage in just 3 minutes* 💆‍♀ Trust me, this one's a game changer. pantene_india ➡️ Grab now on Amazon and let your hair shine all day long! #Pantene80years #AmazonBeautyverse2025 #BeautyMeetsUniverse #AmazonBeautyIndia #ad #MakeupMeetsMetaverse #BeautyEventOfTheYear #AmazonFashionInfluencer","From dull to dazzling — in just 3 minutes! Tried the Pantene Collagen Conditioner at home and then took the glow to the Amazon Beautyverse '25 amazonfashionin Their hair test confirmed what I already felt — my hair's smoother, shinier, and full of life Infused with Pro-V + Collagen, it helps repair 3 months of damage in just 3 minutes* Trust me, this one's a game changer. pantene_india Grab now on Amazon and let your hair shine all day long!",2025-07-14 07:50:43,en,INSTAGRAM,Pantene80years|AmazonBeautyverse2025|BeautyMeetsUniverse|AmazonBeautyIndia|ad|MakeupMeetsMetaverse|BeautyEventOfTheYear|AmazonFashionInfluencer,,💁‍♀➡️✨💆‍♀,0f6c3e151c07cd51d7282819708d14fc,,False,1,True,Influencer,High,True,"Multiple strong promotional indicators are present:
- Explicit #ad hashtag disclosure
- Direct product recommendation
- Specific brand product mention (Pantene Collagen Conditioner)
- Multiple campaig",['#ad'],False,,,
1944716842162967012,"  SPR_COMBO[pt]Oferta Amazon✨ Pantene PRO-V Miracles Tônico Capilar Antiqueda Biotinamina B3 para cabelos com queda 52ml 🛍️ 💰R$ 29,91 ➡️➡️➡️ https://t.co/HXgFaYCOg7 https://t.co/5vMGg2lg9C","SPR_COMBO[pt]Oferta Amazon Pantene PRO-V Miracles Tônico Capilar Antiqueda Biotinamina B3 para cabelos com queda 52ml R$ 29,91",2025-07-14 11:13:20,pt,TWITTER,,,🛍️➡️✨💰,5c5f7cec079fceb5958ddd693848674f,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Direct product link to Amazon purchase
- Specific product details (Pantene PRO-V Miracles Tônico Capilar)
- Price information (R",[],False,,,
17953360361994314,"  Had the best time at Amazon Beautyverse 2025 — where beauty met innovation Discovered Pantene's 3-Minute Miracle at the event and brought home smoother, softer hair in just one use amazonfashionIN pantene_india #BeautyMeetsUniverse #AmazonBeautyIndia #MakeupMeetsMetaverse #BeautyEventOfTheYear #AmazonFashionInfluencer #PanteneIndia #AD","Had the best time at Amazon Beautyverse 2025 — where beauty met innovation Discovered Pantene's 3-Minute Miracle at the event and brought home smoother, softer hair in just one use amazonfashionIN pantene_india",2025-07-14 12:50:40,en,INSTAGRAM,BeautyMeetsUniverse|AmazonBeautyIndia|MakeupMeetsMetaverse|BeautyEventOfTheYear|AmazonFashionInfluencer|PanteneIndia|AD,,,f5117ef4cc6de5cc179d74149b535c6d,,False,1,True,Influencer,High,True,"Multiple strong promotional indicators are present:
- Explicit #AD hashtag indicating sponsored content
- Multiple brand-specific hashtags (#PanteneIndia)
- Detailed product mention (Pantene's 3-Minut","['#AD', '#PanteneIndia']",False,,,
1944751439655391524,  SPR_COMBO[es]💈Los acondicionadores Pro-V Hidratación de Pantene están a 2 lucas en Liqui. Perfecto para tener un pelatzo 💁🏻‍♀️ 🔗 https://t.co/67iPJu1eeB https://t.co/za2kRxL9aE,SPR_COMBO[es]Los acondicionadores Pro-V Hidratación de Pantene están a 2 lucas en Liqui. Perfecto para tener un pelatzo,2025-07-14 13:30:49,es,TWITTER,,,🔗💁🏻‍♀️💈,7f77b08411082cbc24fc2e4e66ecce52,,False,1,True,Affiliate,Medium,True,"- Contains direct product mention (Pantene Pro-V Hydration conditioners)
- Includes specific pricing (""2 lucas"" = 2000 pesos)
- Has a shortened URL link, which suggests potential affiliate tracking
- ",[],False,,,
mov_B620309D45000DFC9A46B5D42EDA32DD,"  SPR_COMBO[pt]Os produtos desempenham um papel importante na hidratação, nutrição, fortalecimento e proteção contra agressões externas, como calor e poluição Publicado em 14 de julho de 2025 às 16:23 Para manter os cabelos saudáveis e bonitos, é importante seguir alguns cuidados básicos, como lavar corretamente, proteger do calor, usar produtos adequados e manter uma alimentação saudável. E os produtos desempenham um papel importante na hidratação, nutrição, fortalecimento e proteção contra agressões externas, como calor e poluição. Para te ajudar, selecionamos oito produtos em promoção no , evento anual de compras com ofertas exclusivas para assinantes do programa Amazon Prime. No Brasil, ele ocorre nos dias 15 e 16 de julho. Confira a nossa seleção.  10 em 1 Bond Intense Repair, de Dove Máscara para cabelos danificados. Reúne 10 benefícios em um único produto para reparar danos intensamente. Formulada com a exclusiva tecnologia patenteada Bio-Protein Care com 12% Peptídeo Complex, ela restaura as ligações internas dos fios a nível molecular, reparando danos térmicos e químicos. Adequada para todos os tipos de cabelo, essa máscara cremosa de alta potência nutre profundamente, recupera a maleabilidade, reduz pontas duplas e promove até 10 vezes mais força aos fios.  Preço: de R$ 34,90 por R$ 27,77 Gelatina To de Cacho Não Sai da Minha Cabeça, da  Gelatina modeladora para cabelos ondulados, cacheados, crespos ou em transição. Controla e fixa os cachos com aquele efeito durinho que mantém a forma por muito tempo. Pode ser usada sozinha ou fazendo uma mistura com seus finalizadores prediletos. Preço: de R$ 35,20 por R$ 29,91 Liso Intenso Selante Finalizador, de Eudora Siàge Leave-in para cabelos com frizz. Ação eficiente, proporciona proteção térmica e fios mais alinhados. Traz fórmula inteligente com Creatina e o complexo Liss Effect, que bloqueia os agentes causadores do frizz e de fios indisciplinados, deixando os cabelos hidratados, macios e com muito brilho. Além de proteger do calor do secador e da chapinha por até 230ºc. Preço: de R$ 42,99 por R$ 38,24 Óleo Extraordinário, de Elseve L'Oréal Paris Óleo de tratamento para todos os tipos de cabelos. Oferece mais nutrição, maciez e brilho intenso aos fios. Ele traz a combinação especial de seis micro-óleos de flores preciosas da natureza, que deixam os fios profundamente nutridos, protegidos de fontes de calor e suaves ao pentear. Sua fórmula inovadora e condicionante ainda traz o ativo Óleo Extraordinário, que promove tratamento profissional e multiuso para o seu cabelo, podendo ser usado com os fios molhados ou secos. Preço: R$ 35,28 por R$ 29,80 Xapadinha Máscara Disciplinante, de Lola Cosmetics Máscara capilar disciplinante. Garante fios 55% mais alinhados e com redução de até 40% do frizz, tudo isso com efeito imediato. Possui um complexo ativo inovador, que protege o cabelo, alinha as fibras, repara e oferece o cuidado que suas madeixas precisam. Preço: de R$ 19,90 por R$ 13,20 Máscara Manutenção Fios Danificados 3 em 1, de Pantene Uma máscara de absorção rápida que promove uma revitalização capilar para trazer força ao seu cabelo. Pode ser usada como tratamento revitalizante multibenefícios para o dia ou noite, creme para pentear sem enxágue e finalizador que sela pontas duplas e secas. Preço: de R$ 24,75 por R$ 19,46 Shampoo a Seco Fortificante, da Ricca Ele controla a oleosidade do couro cabeludo, garantindo força e resistência. Enriquecido com D-Pantenol e Queratina, promove a reestruturação capilar, fortalece os fios e ajuda a evitar a quebra, estimulando um crescimento saudável. Ideal para quem precisa de um cuidado rápido e ainda quer manter os cabelos mais fortes e bonito. Preço: de R$ 25,17 por R$ 18,50 Boom Definição com Óleo de Coco, de Seda Creme para pentear que proporciona cachos definidos por até 24 horas, super hidratados e com volume. Possui fórmula exclusiva, enriquecida com Óleo de coco e Fitagem Complex, ativos que hidratam e restauram a saúde dos cachos, garantindo até 24 horas de definição e 72 horas de cabelos perfumados. Preço: de R$ 21,97 por R$ 19,75 *Os preços foram consultados em 14 de julho de 2025 e estão sujeitos a alterações. Caro leitor...","SPR_COMBO[pt]Os produtos desempenham um papel importante na hidratação, nutrição, fortalecimento e proteção contra agressões externas, como calor e poluição Publicado em 14 de julho de 2025 às 16:23 Para manter os cabelos saudáveis e bonitos, é importante seguir alguns cuidados básicos, como lavar corretamente, proteger do calor, usar produtos adequados e manter uma alimentação saudável. E os produtos desempenham um papel importante na hidratação, nutrição, fortalecimento e proteção contra agressões externas, como calor e poluição. Para te ajudar, selecionamos oito produtos em promoção no , evento anual de compras com ofertas exclusivas para assinantes do programa Amazon Prime. No Brasil, ele ocorre nos dias 15 e 16 de julho. Confira a nossa seleção. 10 em 1 Bond Intense Repair, de Dove Máscara para cabelos danificados. Reúne 10 benefícios em um único produto para reparar danos intensamente. Formulada com a exclusiva tecnologia patenteada Bio-Protein Care com 12% Peptídeo Complex, ela restaura as ligações internas dos fios a nível molecular, reparando danos térmicos e químicos. Adequada para todos os tipos de cabelo, essa máscara cremosa de alta potência nutre profundamente, recupera a maleabilidade, reduz pontas duplas e promove até 10 vezes mais força aos fios. Preço: de R$ 34,90 por R$ 27,77 Gelatina To de Cacho Não Sai da Minha Cabeça, da Gelatina modeladora para cabelos ondulados, cacheados, crespos ou em transição. Controla e fixa os cachos com aquele efeito durinho que mantém a forma por muito tempo. Pode ser usada sozinha ou fazendo uma mistura com seus finalizadores prediletos. Preço: de R$ 35,20 por R$ 29,91 Liso Intenso Selante Finalizador, de Eudora Siàge Leave-in para cabelos com frizz. Ação eficiente, proporciona proteção térmica e fios mais alinhados. Traz fórmula inteligente com Creatina e o complexo Liss Effect, que bloqueia os agentes causadores do frizz e de fios indisciplinados, deixando os cabelos hidratados, macios e com muito brilho. Além de proteger do calor do secador e da chapinha por até 230ºc. Preço: de R$ 42,99 por R$ 38,24 Óleo Extraordinário, de Elseve L'Oréal Paris Óleo de tratamento para todos os tipos de cabelos. Oferece mais nutrição, maciez e brilho intenso aos fios. Ele traz a combinação especial de seis micro-óleos de flores preciosas da natureza, que deixam os fios profundamente nutridos, protegidos de fontes de calor e suaves ao pentear. Sua fórmula inovadora e condicionante ainda traz o ativo Óleo Extraordinário, que promove tratamento profissional e multiuso para o seu cabelo, podendo ser usado com os fios molhados ou secos. Preço: R$ 35,28 por R$ 29,80 Xapadinha Máscara Disciplinante, de Lola Cosmetics Máscara capilar disciplinante. Garante fios 55% mais alinhados e com redução de até 40% do frizz, tudo isso com efeito imediato. Possui um complexo ativo inovador, que protege o cabelo, alinha as fibras, repara e oferece o cuidado que suas madeixas precisam. Preço: de R$ 19,90 por R$ 13,20 Máscara Manutenção Fios Danificados 3 em 1, de Pantene Uma máscara de absorção rápida que promove uma revitalização capilar para trazer força ao seu cabelo. Pode ser usada como tratamento revitalizante multibenefícios para o dia ou noite, creme para pentear sem enxágue e finalizador que sela pontas duplas e secas. Preço: de R$ 24,75 por R$ 19,46 Shampoo a Seco Fortificante, da Ricca Ele controla a oleosidade do couro cabeludo, garantindo força e resistência. Enriquecido com D-Pantenol e Queratina, promove a reestruturação capilar, fortalece os fios e ajuda a evitar a quebra, estimulando um crescimento saudável. Ideal para quem precisa de um cuidado rápido e ainda quer manter os cabelos mais fortes e bonito. Preço: de R$ 25,17 por R$ 18,50 Boom Definição com Óleo de Coco, de Seda Creme para pentear que proporciona cachos definidos por até 24 horas, super hidratados e com volume. Possui fórmula exclusiva, enriquecida com Óleo de coco e Fitagem Complex, ativos que hidratam e restauram a saúde dos cachos, garantindo até 24 horas de definição e 72 horas de cabelos perfumados. Preço: de R$ 21,97 por R$ 19,75 *Os preços foram consultados em 14 de julho de 2025 e estão sujeitos a alterações. Caro leitor...",2025-07-14 19:23:00,pt,WEB,,,,0eebe97f6809e0d692b1340bf63e1c50,,False,1,True,Affiliate,High,False,"The comment appears to be a carefully crafted promotional piece disguised as a product roundup, with several key indicators:
- Includes a Pantene product in a list of ""recommended"" hair products
- Pro",[],False,,,
1944869214072041715,  Pantene Miracle Rescue Regenerative Hair Oil - 2.0 FL Oz - Deep Repair Treatment for Dry & Damaged Hair Link to buy: https://t.co/o9O1PXk3xb #ad #Amazon #pantene,Pantene Miracle Rescue Regenerative Hair Oil - 2.0 FL Oz - Deep Repair Treatment for Dry & Damaged Hair Link to buy:,2025-07-14 21:18:49,en,TWITTER,ad|Amazon|pantene,,,c7470ca70d4187040483fe690a1e2527,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Direct product name and description
- Amazon affiliate link
- Explicit #ad disclosure hashtag
- Product purchase link
- Specific product de",['#ad'],False,,,
1944914583853944947,  SPR_COMBO[pt]OFERTA AMAZON 🚨 #PrimeDay Pantene PRO-V Miracles Tônico Capilar Antiqueda Biotinamina B3 para cabelos com queda 52ml 25% OFF ⬇️⬇️⬇️⬇️ https://t.co/pk8Y9MGdiS CUPOM MERCADO LIVRE,SPR_COMBO[pt]OFERTA AMAZON Pantene PRO-V Miracles Tônico Capilar Antiqueda Biotinamina B3 para cabelos com queda 52ml 25% OFF CUPOM MERCADO LIVRE,2025-07-15 00:19:06,pt,TWITTER,PrimeDay,,⬇️🚨,3ddccefebaca0cabc054f4f0b133ef96,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Explicit product mention (Pantene PRO-V Miracles)
- Discount offer (25% OFF)
- Amazon Prime Day reference
- Shortened URL (potential affili",[],False,,,
1944949651649528007,"  SPR_COMBO[pt]💄 Amazon — Tônico Capilar Pantene PRO-V Miracles Antiqueda Biotinamina B3 52ml 💸 DE R$ 45,89  💎 POR R$ 29,91 💖 35% de desconto! 🔗 https://t.co/MVyvDrJ9G3 https://t.co/qLfgc4djGp","SPR_COMBO[pt] Amazon — Tônico Capilar Pantene PRO-V Miracles Antiqueda Biotinamina B3 52ml DE R$ 45,89 POR R$ 29,91 35% de desconto!",2025-07-15 02:38:27,pt,TWITTER,,,💎💖🔗💸💄,03d60f7723c1c5d319e7f26b24d072e3,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product details (Pantene PRO-V Miracles Antiqueda Biotinamina B3)
- Explicit price comparison and discount percentage (35% off)
",[],False,,,
18120587677463268,  our favorite summer curly hair routine on this rainy monday ❤️ all products in our storefront (link in bio) and of course thankyou to our friends at pantene lush amazon amazoninfluencerprogram miss_jessies,our favorite summer curly hair routine on this rainy monday all products in our storefront (link in bio) and of course thankyou to our friends at pantene lush amazon amazoninfluencerprogram miss_jessies,2025-07-15 03:56:28,en,INSTAGRAM,,,❤️,c8446a21fcc3cf7f5e20e120198413b8,cluster_10,True,2,True,Influencer,High,True,"Multiple strong promotional indicators are present:
- Explicit mention of ""friends at Pantene""
- Reference to ""amazoninfluencerprogram""
- ""link in bio"" suggests affiliate/promotional content
- Multipl",[],False,,,
