fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
mov_753E9C2463636D7FF72650D8A5EC83AB,"  SPR_COMBO[es]Si has estado en TikTok o Instagram en los últimos meses, es probable que hayas visto a Hailey Bieber luciendo unos labios jugosos, naturales y con un brillo irresistible. ¿El secreto? Un labial que se ha vuelto viral y que, cada vez que se repone, se agota en minutos en Amazon España. Hablamos del Rhode Peptide Lip Treatment, el bálsamo hidratante que no solo embellece, sino que también cuida. Su fórmula, rica en péptidos y manteca de karité, promete reparar, proteger y aportar volumen a los labios sin necesidad de rellenos. Además, su textura ligera y su acabado glossy lo han convertido en un favorito tanto para maquillajes naturales como para looks más sofisticados. ¿Uñas intactas por tres semanas? OPI tiene la respuesta y está en Prime Day de Amazon     Las rebajas de Amazon traen el acondicionador bifásico que te salva antes de gritar “¡tijeras!” El limpiador facial bifásico de Amazon que limpia profundamente y tu piel agradece     El contorno de ojos perfecto con centella asiática que calla ojeras, rojeces y estrés Lo que ha impulsado su éxito ha sido, sin duda, la influencia de Hailey y su marca Rhode, que ha sabido posicionarse como un referente de belleza “clean” y minimalista. Las búsquedas de este labial han crecido exponencialmente en Google y plataformas de venta online como Amazon. Así que si estás buscando un labial viral recomendado por celebridades, fácil de usar y que realmente funcione, este puede ser tu próximo imprescindible. Eso sí, si lo encuentras disponible… ¡no lo pienses mucho! @mundiario","SPR_COMBO[es]Si has estado en TikTok o Instagram en los últimos meses, es probable que hayas visto a Hailey Bieber luciendo unos labios jugosos, naturales y con un brillo irresistible. ¿El secreto? Un labial que se ha vuelto viral y que, cada vez que se repone, se agota en minutos en Amazon España. Hablamos del Rhode Peptide Lip Treatment, el bálsamo hidratante que no solo embellece, sino que también cuida. Su fórmula, rica en péptidos y manteca de karité, promete reparar, proteger y aportar volumen a los labios sin necesidad de rellenos. Además, su textura ligera y su acabado glossy lo han convertido en un favorito tanto para maquillajes naturales como para looks más sofisticados. ¿Uñas intactas por tres semanas? OPI tiene la respuesta y está en Prime Day de Amazon Las rebajas de Amazon traen el acondicionador bifásico que te salva antes de gritar “¡tijeras!” El limpiador facial bifásico de Amazon que limpia profundamente y tu piel agradece El contorno de ojos perfecto con centella asiática que calla ojeras, rojeces y estrés Lo que ha impulsado su éxito ha sido, sin duda, la influencia de Hailey y su marca Rhode, que ha sabido posicionarse como un referente de belleza “clean” y minimalista. Las búsquedas de este labial han crecido exponencialmente en Google y plataformas de venta online como Amazon. Así que si estás buscando un labial viral recomendado por celebridades, fácil de usar y que realmente funcione, este puede ser tu próximo imprescindible. Eso sí, si lo encuentras disponible… ¡no lo pienses mucho!",2025-07-14 09:00:11,es,WEB,,mundiario,,5e08a34afaaf6dfd24d689351974eb3d,,False,1,True,Influencer,High,False,"The comment appears to be a sponsored or influencer-driven promotional piece about Rhode's Peptide Lip Treatment. Key indicators include:

1. Detailed product description highlighting specific feature",[],False,,,
1944826128406839635,"  rhode's summer collection is out now! Also, shipping to Austria, Denmark, Finland, Greece, the Netherlands, Poland and Sweden is officially available. Only at https://t.co/s1Zh7em2PG https://t.co/Ty0L9YEsOO","rhode's summer collection is out now! Also, shipping to Austria, Denmark, Finland, Greece, the Netherlands, Poland and Sweden is officially available. Only at",2025-07-14 18:27:36,en,TWITTER,,,,0ba78e54eaf4be82ece5501b8e4dff48,,False,1,True,Brand_Official,High,False,"- Direct announcement of brand's summer collection
- Includes specific product availability details
- Contains direct product link (https://t.co/s1Zh7em2PG)
- Provides shipping information for multipl",['https://t.co/s1Zh7em2PG)'],False,,,
mov_1A0FEFAA65564CD4D027EAB1806F0DF3,"  Hailey Bieber has posted a close-up of her usually hidden tattoo. In the picture, Hailey posed wearing yellow bikini bottoms with a Rhode lipgloss tied around her waist. She posed wearing a white and yellow patterned shirt as the clear blue sea glistened behind her, but take a closer look and you'll notice something. Squint your eyes and you might be able to make out a tiny etching on the side of Hailey's hip, which appears to be a dainty fine line tattoo. It is believed to say the word ""gente,"" which means ""people"" in both Spanish and Italian. In another picture for the Rhode campaign, Hailey posed with a cocktail glass on her head as she closed her eyes and smiled, soaking up the sun as she relaxed on the luxurious boat out at sea. She wore a matching yellow and white patterned bikini top and styled her long brunette locks in loose, beachy waves that tumbled over her shoulders. Another picture from her boat day shows the model wearing black sunglasses and a black polka dot bandana as she leaned back and gazed at the ocean in front of her. Hailey took to Instagram to share the pictures with her fans and added the caption: ""Our Rhode summer collection has landed."" She listed off her new products before writing: ""We're so excited to bring our new essentials and the full Rhode lineup to even more of you."" Hailey's brand is now stocked in Austria, Denmark, Finland, Greece, The Netherlands, Poland and Sweden. To celebrate her new launch, the influencer is including ""a sheet of Rhode temporary tattoos"". Fans gushed over her holiday snaps and down in the comment section, one person wrote: ""So proud, you slay."" The Daily Star is now on WhatsApp and we want you to join us! Through the app, we'll send you the sassiest showbiz stories, some naught headline and a seismic smattering of aliens...along with the latest breaking news of course. To join our community, all you have to do to join isclick on this link, select 'Join Chat' and you're in! No one will be able to see who has sign up and no one can send messages except for the Daily Star team. We also treat our community members to competitions, special offers, promotions, and adverts from us and our partners. If you don't like our community, you can check out any time you like. To leave our community click on the name at the top of your screen and choose Exit group. If you're curious, you can read our Privacy Notice. CLICK HERE TO JOIN Have you joined Threads? Follow Daily Star to keep up to date on all things showbiz here Want all the biggest Showbiz and TV news straight to your inbox? Sign up for our free Daily Star Showbiz newsletter At Reach and across our entities we and our partners use information collected through cookies and other identifiers from your device to improve experience on our site, analyse how it is used and to show personalised advertising. You can opt out of the sale or sharing of your data, at any time clicking the ""Do Not Sell or Share my Data"" button at the bottom of the webpage. Please note that your preferences are browser specific. Use of our website and any of our services represents your acceptance of the use of cookies and consent to the practices described in our Privacy Notice and Cookie Notice.","Hailey Bieber has posted a close-up of her usually hidden tattoo. In the picture, Hailey posed wearing yellow bikini bottoms with a Rhode lipgloss tied around her waist. She posed wearing a white and yellow patterned shirt as the clear blue sea glistened behind her, but take a closer look and you'll notice something. Squint your eyes and you might be able to make out a tiny etching on the side of Hailey's hip, which appears to be a dainty fine line tattoo. It is believed to say the word ""gente,"" which means ""people"" in both Spanish and Italian. In another picture for the Rhode campaign, Hailey posed with a cocktail glass on her head as she closed her eyes and smiled, soaking up the sun as she relaxed on the luxurious boat out at sea. She wore a matching yellow and white patterned bikini top and styled her long brunette locks in loose, beachy waves that tumbled over her shoulders. Another picture from her boat day shows the model wearing black sunglasses and a black polka dot bandana as she leaned back and gazed at the ocean in front of her. Hailey took to Instagram to share the pictures with her fans and added the caption: ""Our Rhode summer collection has landed."" She listed off her new products before writing: ""We're so excited to bring our new essentials and the full Rhode lineup to even more of you."" Hailey's brand is now stocked in Austria, Denmark, Finland, Greece, The Netherlands, Poland and Sweden. To celebrate her new launch, the influencer is including ""a sheet of Rhode temporary tattoos"". Fans gushed over her holiday snaps and down in the comment section, one person wrote: ""So proud, you slay."" The Daily Star is now on WhatsApp and we want you to join us! Through the app, we'll send you the sassiest showbiz stories, some naught headline and a seismic smattering of aliens...along with the latest breaking news of course. To join our community, all you have to do to join isclick on this link, select 'Join Chat' and you're in! No one will be able to see who has sign up and no one can send messages except for the Daily Star team. We also treat our community members to competitions, special offers, promotions, and adverts from us and our partners. If you don't like our community, you can check out any time you like. To leave our community click on the name at the top of your screen and choose Exit group. If you're curious, you can read our Privacy Notice. CLICK HERE TO JOIN Have you joined Threads? Follow Daily Star to keep up to date on all things showbiz here Want all the biggest Showbiz and TV news straight to your inbox? Sign up for our free Daily Star Showbiz newsletter At Reach and across our entities we and our partners use information collected through cookies and other identifiers from your device to improve experience on our site, analyse how it is used and to show personalised advertising. You can opt out of the sale or sharing of your data, at any time clicking the ""Do Not Sell or Share my Data"" button at the bottom of the webpage. Please note that your preferences are browser specific. Use of our website and any of our services represents your acceptance of the use of cookies and consent to the practices described in our Privacy Notice and Cookie Notice.",2025-07-15 12:30:43,en,WEB,,,,5b34153973e508deb4915617491371e8,,False,1,True,Influencer,High,False,"The text is a direct promotional piece about Hailey Bieber's Rhode brand, written in a marketing-style narrative that extensively describes Rhode's summer collection launch, product details, and inter",[],False,,,
1945538336199684126,  Hailey Bieber for Rhode! https://t.co/YTPeNfNEFJ,Hailey Bieber for Rhode!,2025-07-16 17:37:40,en,TWITTER,,,,31a13b2f0cd89760db7422a8ee2e5a44,,False,1,True,Influencer,Medium,False,"- Direct mention of Hailey Bieber (brand founder) for Rhode
- Includes a shortened URL link (potential content/media link)
- Appears to be highlighting the brand/founder connection
- While not explici",[],False,,,
1354667136111805_1276905637290592,"  Smart customers, buy rhode to experience it. Freshness, softness and shine are definitely what your lips have always wanted","Smart customers, buy rhode to experience it. Freshness, softness and shine are definitely what your lips have always wanted",2025-07-18 01:42:41,en,FACEBOOK,,,,16a8d9fc4901eac69bf2d31389d68b3d,,False,1,True,Spam,High,False,"The comment contains several strong promotional indicators:
- Direct sales call to action (""buy rhode"")
- Overly enthusiastic product praise
- Generic, non-specific language about product benefits
- U",[],False,,,
mov_F5D0EB995D0BB245DA42CE09E49CF886,"  SPR_COMBO[fr]Lorsque Hailey Bieber mise sur une teinte, le monde de la mode suit. Cette saison encore, l'influenceuse impose son rythme avec une couleur inattendue qu'elle affiche subtilement, par petites touches, dans ses dernières apparitions. Ongles, accessoires, détails de maquillage… Tout semble indiquer que cette nuance bien précise s'apprête à teinter l'été 2025. Une couleur qui intrigue et s'impose déjà auprès des initiées. Rien d'étonnant quand on sait que la moindre tendance validée par Hailey Bieber finit souvent par coloniser les feeds Instagram avant de s'imposer dans les rayons des grandes enseignes. Jaune butter out, lemontini in : Hailey Bieber retourne la tendance Le butter yellow avait pourtant tout pour durer : pastel, flatteur et largement adopté sur les podiums de Chanel à Miu Miu, il s'était imposé comme la couleur du moment, embrassant vestes en toile, robes minimalistes et soies délicates. La mode semblait avoir trouvé dans cette nuance beurre une nouvelle base neutre pour l'été. Mais c'était sans compter sur l'intervention d'Hailey Bieber, qui, en une simple story Instagram, a signé la fin de règne du jaune doux. ""Le butter yellow est dépassé... respectueusement"", a-t-elle tranché, balayant la tendance d'un revers de main parfaitement manucurée. Depuis, un nouveau jaune s'impose en douce : plus franc, plus vif, presque citronné, il s'écarte du pastel pour injecter une touche acidulée dans le vestiaire estival. Baptisée lemontini, cette nuance plus affirmée s'annonce comme la couleur à suivre. Une prise de position qui bouscule les moodboards des stylistes et replace Hailey Bieber en arbitre redoutée des tendances. Jaune lemontini : la couleur qui électrise l'été 2025 Il fallait s'y attendre. Le jaune citron, longtemps resté en marge des podiums, signe son grand retour sous un nom un peu plus branché : lemontini. Une nuance fraîche et lumineuse, directement inspirée des étés méditerranéens, qui n'a rien d'une nouveauté mais que la mode redécouvre grâce à un coup de pouce inattendu. Jacquemus, Genny et quelques autres avaient amorcé le mouvement, glissant ici et là des touches de jaune acide dans leurs collections. Mais c'est Hailey Bieber qui, une fois encore, a transformé la tendance discrète en phénomène global. La fondatrice de Rhode a en effet joué la carte du jaune flashy pour rhabiller son célèbre baume à lèvres, lancé en édition spéciale sous le nom ""Lemontini"". Résultat : un simple tube citronné est devenu le nouvel accessoire fétiche des it-girls, qui s'affichent désormais toutes baume à la main, de Romee Strijd à Alexandra Saint Mleux. Derrière le succès de cette nuance ? Une stratégie marketing aussi millimétrée qu'efficace, qui a propulsé le jaune lemontini au rang de couleur de l'été, reléguant sans ménagement le butter yellow au rayon des tendances déjà vues. Le jaune lemontini passe du dressing à la trousse beauté Mais la mode ne s'arrête pas là. Le lemontini s'invite désormais dans les routines beauté. Hailey Bieber elle-même l'a adopté jusqu'au bout des ongles, optant pour une ""dot manicure"" minimaliste où le jaune vif sert de toile de fond. Sur les paupières, les make-up artists s'amusent à revisiter les aplats 80's façon citron pressé, tandis que les lèvres prennent une teinte légèrement dorée ou acidulée selon les marques. Le jaune lemontini ne se porte plus seulement sur les vêtements, il devient un véritable statement beauty. Pas étonnant, donc, que la sphère mode s'empresse de suivre. Avec son allure solaire mais plus tranchée que le pastel, le jaune lemontini promet d'apporter une dose d'énergie aux looks estivaux, tout en s'imposant comme un choix moins attendu que les habituels pastels de saison. Plus vif, plus moderne, ce jaune citron s'impose sur les robes en lin, les accessoires, et jusqu'aux détails de maquillage, devenant la touche acidulée indispensable de l'été 2025. Et, une fois de plus, c'est Hailey Bieber qui, en associant instinct mode et marketing redoutable, signe le coup d'envoi.","SPR_COMBO[fr]Lorsque Hailey Bieber mise sur une teinte, le monde de la mode suit. Cette saison encore, l'influenceuse impose son rythme avec une couleur inattendue qu'elle affiche subtilement, par petites touches, dans ses dernières apparitions. Ongles, accessoires, détails de maquillage… Tout semble indiquer que cette nuance bien précise s'apprête à teinter l'été 2025. Une couleur qui intrigue et s'impose déjà auprès des initiées. Rien d'étonnant quand on sait que la moindre tendance validée par Hailey Bieber finit souvent par coloniser les feeds Instagram avant de s'imposer dans les rayons des grandes enseignes. Jaune butter out, lemontini in : Hailey Bieber retourne la tendance Le butter yellow avait pourtant tout pour durer : pastel, flatteur et largement adopté sur les podiums de Chanel à Miu Miu, il s'était imposé comme la couleur du moment, embrassant vestes en toile, robes minimalistes et soies délicates. La mode semblait avoir trouvé dans cette nuance beurre une nouvelle base neutre pour l'été. Mais c'était sans compter sur l'intervention d'Hailey Bieber, qui, en une simple story Instagram, a signé la fin de règne du jaune doux. ""Le butter yellow est dépassé... respectueusement"", a-t-elle tranché, balayant la tendance d'un revers de main parfaitement manucurée. Depuis, un nouveau jaune s'impose en douce : plus franc, plus vif, presque citronné, il s'écarte du pastel pour injecter une touche acidulée dans le vestiaire estival. Baptisée lemontini, cette nuance plus affirmée s'annonce comme la couleur à suivre. Une prise de position qui bouscule les moodboards des stylistes et replace Hailey Bieber en arbitre redoutée des tendances. Jaune lemontini : la couleur qui électrise l'été 2025 Il fallait s'y attendre. Le jaune citron, longtemps resté en marge des podiums, signe son grand retour sous un nom un peu plus branché : lemontini. Une nuance fraîche et lumineuse, directement inspirée des étés méditerranéens, qui n'a rien d'une nouveauté mais que la mode redécouvre grâce à un coup de pouce inattendu. Jacquemus, Genny et quelques autres avaient amorcé le mouvement, glissant ici et là des touches de jaune acide dans leurs collections. Mais c'est Hailey Bieber qui, une fois encore, a transformé la tendance discrète en phénomène global. La fondatrice de Rhode a en effet joué la carte du jaune flashy pour rhabiller son célèbre baume à lèvres, lancé en édition spéciale sous le nom ""Lemontini"". Résultat : un simple tube citronné est devenu le nouvel accessoire fétiche des it-girls, qui s'affichent désormais toutes baume à la main, de Romee Strijd à Alexandra Saint Mleux. Derrière le succès de cette nuance ? Une stratégie marketing aussi millimétrée qu'efficace, qui a propulsé le jaune lemontini au rang de couleur de l'été, reléguant sans ménagement le butter yellow au rayon des tendances déjà vues. Le jaune lemontini passe du dressing à la trousse beauté Mais la mode ne s'arrête pas là. Le lemontini s'invite désormais dans les routines beauté. Hailey Bieber elle-même l'a adopté jusqu'au bout des ongles, optant pour une ""dot manicure"" minimaliste où le jaune vif sert de toile de fond. Sur les paupières, les make-up artists s'amusent à revisiter les aplats 80's façon citron pressé, tandis que les lèvres prennent une teinte légèrement dorée ou acidulée selon les marques. Le jaune lemontini ne se porte plus seulement sur les vêtements, il devient un véritable statement beauty. Pas étonnant, donc, que la sphère mode s'empresse de suivre. Avec son allure solaire mais plus tranchée que le pastel, le jaune lemontini promet d'apporter une dose d'énergie aux looks estivaux, tout en s'imposant comme un choix moins attendu que les habituels pastels de saison. Plus vif, plus moderne, ce jaune citron s'impose sur les robes en lin, les accessoires, et jusqu'aux détails de maquillage, devenant la touche acidulée indispensable de l'été 2025. Et, une fois de plus, c'est Hailey Bieber qui, en associant instinct mode et marketing redoutable, signe le coup d'envoi.",2025-07-18 17:00:54,fr,WEB,,,,9b717fda0747060e03d664f4b51e57ee,,False,1,True,Influencer,High,False,"This is a detailed promotional piece about Hailey Bieber's Rhode brand, specifically highlighting their ""Lemontini"" lip balm. While written in a journalistic style, it's clearly a marketing-driven nar",[],False,,,
1946530447824921034,  rhode teases possible future lip tint shades 👀 Vote for your favorite on their stories ✨ https://t.co/O6ewqFs7rr,rhode teases possible future lip tint shades Vote for your favorite on their stories,2025-07-19 11:19:58,en,TWITTER,,,👀✨,a057d34714b97f7482dd4aafc0e5af22,,False,1,True,UGC_Campaign,Low,False,"The comment appears to be part of an active brand engagement campaign by Rhode, encouraging user interaction through a voting/story feature. While not overtly sales-driven, it's a soft promotional tac",[],False,,,
17878057626363158,  Nothing beats you… but this VT PDRN essence might be Rhode's twin 😮‍💨✨ vtcosmetics_global Now available on amazon #dupe #dupeskincare #vtcosmetics #productreview #glowup #reels #igreels,Nothing beats you… but this VT PDRN essence might be Rhode's twin vtcosmetics_global Now available on amazon,2025-07-20 11:36:30,en,INSTAGRAM,dupe|dupeskincare|vtcosmetics|productreview|glowup|reels|igreels,,😮‍💨✨,b8f47373e12b4e38422b34bc7cb06a02,,False,1,True,Affiliate,Medium,False,"While not a direct Rhode promotion, this comment appears to be a strategic product comparison/dupe recommendation with marketing intent. The comment suggests a competitive product (VT PDRN essence) th",[],False,,,
18070598687090842,"  Can you guess my favorite lip balm brands? Let's organize my vanity 🤍 The ASMR is 🙌🏼 Write vanity for a 🔗 #homeorganization #vanityorganization #organizewithme #asmrsounds #walmarthome #amazonfinds2025 #targethome #targetstyle #rhodeskin #organized #ltkhome #summerfridays organize my makeup collection with me, Rhode lip balm collection, makeup collection","Can you guess my favorite lip balm brands? Let's organize my vanity The ASMR is Write vanity for a organize my makeup collection with me, Rhode lip balm collection, makeup collection",2025-07-20 14:30:10,en,INSTAGRAM,homeorganization|vanityorganization|organizewithme|asmrsounds|walmarthome|amazonfinds2025|targethome|targetstyle|rhodeskin|organized|ltkhome|summerfridays,,🔗🤍🙌🏼,656289e96da8877d43ed4d64d9ab591a,,False,1,True,Affiliate,Medium,True,"The comment contains multiple promotional indicators:
- Includes brand-specific hashtag #rhodeskin
- Uses affiliate/content creator hashtags like #ltkhome
- Mentions specific product (Rhode lip balm)
","['#rhodeskin', '#ltkhome']",False,,,
xApuB2BanzA,  Hello again! Where else to find me: Instagram: http://www.instagram.com/katespiers Tiktok: www.tiktok.com/@kate.spiers Shop my feed: https://www.shopltk.com/explore/kate.lavie LINKS {ad affiliate} Tulip cardigan: Kitri Jeans: https://bit.ly/4kMhXQ0 Water bottle: https://bit.ly/3GzMUrt* Green kindle: https://liketk.it/5iqXx Books I Recommend: https://liketk.it/5iqXx Sunglasses: https://bit.ly/3RxDhvm Rhode blush in Piggy: https://bit.ly/3A6cK3r,Hello again! Where else to find me: Instagram: Tiktok: www.tiktok.com/.spiers Shop my feed: LINKS {ad affiliate} Tulip cardigan: Kitri Jeans: Water bottle: Green kindle: Books I Recommend: Sunglasses: Rhode blush in Piggy:,2025-07-20 16:01:35,en,YOUTUBE,,kate,,711406e3aef8ac410bbeba49a934781e,,False,1,True,Affiliate,High,True,"The comment contains multiple clear affiliate marketing indicators, including:
- Multiple shortened affiliate links (bit.ly, liketk.it)
- Explicit {ad affiliate} tag
- Comprehensive product links acro",[],False,,,
