fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
18085951762701409,"  SPR_COMBO[es]🌸 sol de janeiro - dupe 🌸 Perfecta para llevar contigo y refrescarte en cualquier momento. Características: * Marca: Scenabella Aromatic * Volumen: 250ml / 8.4 fl.oz. * Tipo: Fragrance Mist (Bruma Aromática) * Número de Fragancia: 068 * Cantidades limitadas. ✨ ¡Precio increíble: ₡8,000! ✨ 📍 Puntos de entrega/Recojo: Pérez Zeledón 📞 Contáctanos: 7018-8618 ¡Síguenos en nuestras redes sociales para no perderte ninguna oferta! ¡No esperes más para adquirir la tuya! #monimarketcr #soldejaneiro #trend #pz #cr #perezzeledon #perfume #bodyspray","SPR_COMBO[es] sol de janeiro - dupe Perfecta para llevar contigo y refrescarte en cualquier momento. Características: * Marca: Scenabella Aromatic * Volumen: 250ml / 8.4 fl.oz. * Tipo: Fragrance Mist (Bruma Aromática) * Número de Fragancia: 068 * Cantidades limitadas. ¡Precio increíble: ₡8,000! Puntos de entrega/Recojo: Pérez Zeledón Contáctanos: 7018-8618 ¡Síguenos en nuestras redes sociales para no perderte ninguna oferta! ¡No esperes más para adquirir la tuya!",2025-07-15 19:08:35,es,INSTAGRAM,monimarketcr|soldejaneiro|trend|pz|cr|perezzeledon|perfume|bodyspray,,📞🌸📍✨,3c15fa1cdf8d95298c23d55f81768cb6,,False,1,True,Affiliate,High,False,"This is a clear promotional post with multiple strong indicators:
- Specific product details with pricing (₡8,000)
- Contact information for purchase
- Multiple sales-oriented phrases like ""¡No espere",[],False,,,
1945260264338960733,  Sol de Janeiro from $12.XX  https://t.co/aqxzio1hfU https://t.co/pwzwTXOg6i,Sol de Janeiro from $12.XX,2025-07-15 23:12:42,en,TWITTER,,,,85545a6b179700f260740468539d43c3,cluster_2,True,3,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Shortened URL links (potentially affiliate tracking links)
- Price point mention suggesting direct sales intent
- Minimal context beyond ","['- ""Sol de Janeiro""', '- ""from']",False,,,
18036559508392954,"  GRWM beach edition ☀ We're lucky enough to live by the sea so this is a go to look during the summer. Hair slicked back as it's a sensory overload, simple long lasting makeup, this time I'm trying out inikaorganic new tinted spf and I love it 🥥 creamy bronzing tint with a high spf Products tagged inikaorganic natural tinted sunscreen charlottetilbury legendary brow in taupe charlottetilbury Tilbury Unreal Blush Stick - Peachy Glow got2b fixing gel pocobeautyofficial Brow duo shade Dirty blonde pocobeautyofficial Unfiltered Soft Focus Finishing Powder amazon waterproof lip liner in red https://amzn.eu/d/5J2Et24 in shade muted red (currently sold out) Sol de Janeiro Brazilian Kiss Cupuaçu Lip Butter Nouveau Lashes Lash & Brow Conditioning Serum Lash lift illumineyelashes","GRWM beach edition We're lucky enough to live by the sea so this is a go to look during the summer. Hair slicked back as it's a sensory overload, simple long lasting makeup, this time I'm trying out inikaorganic new tinted spf and I love it creamy bronzing tint with a high spf Products tagged inikaorganic natural tinted sunscreen charlottetilbury legendary brow in taupe charlottetilbury Tilbury Unreal Blush Stick - Peachy Glow got2b fixing gel pocobeautyofficial Brow duo shade Dirty blonde pocobeautyofficial Unfiltered Soft Focus Finishing Powder amazon waterproof lip liner in red in shade muted red (currently sold out) Sol de Janeiro Brazilian Kiss Cupuaçu Lip Butter Nouveau Lashes Lash & Brow Conditioning Serum Lash lift illumineyelashes",2025-07-16 15:02:25,en,INSTAGRAM,,,☀🥥,551f77ba8e7b774a40016fdaecfd8854,,False,1,True,Influencer,Medium,True,"- Contains multiple product tags/mentions across brands
- Includes an Amazon affiliate link (https://amzn.eu/d/5J2Et24)
- Specifically mentions Sol de Janeiro Brazilian Kiss Cupuaçu Lip Butter
- Struc",['https://amzn.eu/d/5J2Et24)'],False,,,
18300316681217804,  Sol De Janeiro Delicia Drench Body Butter Follow for more dewy.diary_05 #fypシ #ugccreator #ugccontent #productphotography #contentcreator #amazon #meesho #ugcmarketing #selfcareessenti #contentstrategy #ugccreator #fyp #productreview #soldejaneiro,Sol De Janeiro Delicia Drench Body Butter Follow for more dewy.diary_05,2025-07-16 17:21:01,en,INSTAGRAM,fypシ|ugccreator|ugccontent|productphotography|contentcreator|amazon|meesho|ugcmarketing|selfcareessenti|contentstrategy|ugccreator|fyp|productreview|soldejaneiro,,,89eec8e03bf8082cc9e0c36107917d74,,False,1,True,UGC_Campaign,Medium,False,"The comment exhibits strong characteristics of a User-Generated Content (UGC) marketing campaign:
- Multiple marketing-related hashtags (#ugccreator, #contentcreator, #ugcmarketing)
- Specific product","['#ugccreator', '#contentcreator', '#ugcmarketing']",False,,,
17917817325103702,"  ☀️ New Look, Same Iconic Scent! ☀ Sol de Janeiro's Brazilian Crush 62 got a glow-up — but don't worry, it still smells like sunshine in a bottle! ✨ Pistachio. Salted Caramel. Summer Vibes. Tap the link to grab yours now 👉 https://linktr.ee/linkandlove #SolDeJaneiro #BrazilianCrush62 #SummerScents #AmazonFinds #LinkAndLove","New Look, Same Iconic Scent! Sol de Janeiro's Brazilian Crush 62 got a glow-up — but don't worry, it still smells like sunshine in a bottle! Pistachio. Salted Caramel. Summer Vibes. Tap the link to grab yours now",2025-07-17 21:43:52,en,INSTAGRAM,SolDeJaneiro|BrazilianCrush62|SummerScents|AmazonFinds|LinkAndLove,,☀✨☀️👉,c16b7588e122f5b44d70c42421a73f79,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present, including:
- Affiliate link (linktr.ee)
- Direct call-to-action (""Tap the link to grab yours now"")
- Brand-specific hashtags (#SolDeJaneiro, #BrazilianC","['#SolDeJaneiro', '#BrazilianC']",False,,,
1946013845392413183,  Sol de Janeiro from $12.XX  https://t.co/aqxzio1hfU https://t.co/1RXLYE81TT,Sol de Janeiro from $12.XX,2025-07-18 01:07:10,en,TWITTER,,,,85545a6b179700f260740468539d43c3,cluster_2,False,3,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Shortened URL links (potentially affiliate tracking links)
- Price point mention suggesting direct sales intent
- Minimal context beyond ","['- ""Sol de Janeiro""', '- ""from']",True,True,Medium,4.134770154953003
1946180782722343394,"  @f7rvl @nyctvrn For safe tanning, go with Sol de Janeiro Rio Radiance SPF 50 Body Oil—hydrates with patauá oil, offers broad-spectrum protection, and adds shimmer. Reapply every 2 hours. Without SPF, Hawaiian Tropic Dark Tanning Oil is popular for deep color, but pair it with sunscreen to avoid…","For safe tanning, go with Sol de Janeiro Rio Radiance SPF 50 Body Oil—hydrates with patauá oil, offers broad-spectrum protection, and adds shimmer. Reapply every 2 hours. Without SPF, Hawaiian Tropic Dark Tanning Oil is popular for deep color, but pair it with sunscreen to avoid…",2025-07-18 12:10:31,en,TWITTER,,f7rvl|nyctvrn,,d54ffa221a4f7cf34d6d0916bdafbc32,,False,1,True,Influencer,Medium,False,"The comment appears to be a promotional/marketing-style recommendation that:
- Specifically names Sol de Janeiro product (Rio Radiance SPF 50 Body Oil)
- Provides detailed product benefits (hydration,",[],False,,,
1946196218872541378,  SOL DE JANEIRO Cheirosa Hair & Body Fragrance Mist Full Size and Travel Size Set - Home and Away Bundle - 8.1 & 3 fl oz Duo - Amazon Exclusive https://t.co/4vQtRKLFfV,SOL DE JANEIRO Cheirosa Hair & Body Fragrance Mist Full Size and Travel Size Set - Home and Away Bundle - 8.1 & 3 fl oz Duo - Amazon Exclusive,2025-07-18 13:11:51,en,TWITTER,,,,2f4331ad1140b06e4ec99a8e55e96d5d,,False,1,True,Affiliate,High,True,"The comment contains multiple strong promotional indicators:
- Specific product details (Full Size and Travel Size Set)
- Direct product link (https://t.co.x URL)
- Mentions ""Amazon Exclusive""
- Reads",['https://t.co.x'],False,,,
18377003533122037,  I love Sol de Janeiro Bum Bum Cream! And the leave-in conditioner and body mist are perfect compliments- check out this bundle that has a 15% coupon for a limited time https://amzn.to/4nWY7Di #SolDeJaneiro #BumBum #Conditioner #BodyMist #amazon #commissionspaid,I love Sol de Janeiro Bum Bum Cream! And the leave-in conditioner and body mist are perfect compliments- check out this bundle that has a 15% coupon for a limited time,2025-07-19 02:19:04,en,INSTAGRAM,SolDeJaneiro|BumBum|Conditioner|BodyMist|amazon|commissionspaid,,,0e55a70a5c326688ad90f2eb44219260,,False,1,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Contains an Amazon affiliate link (amzn.to)
- Uses multiple branded hashtags (#SolDeJaneiro, #BumBum)
- Mentions a specific discount (15% coupon)
- Re","['#SolDeJaneiro', '#BumBum']",False,,,
17886955599320687,"  Homes are my life • Here's a glimpse into life inside my home! My Amazon Associate Must Haves: Sol de Janeiro Bum Bum Cream! ➡️ https://amzn.to/46e6SCL I finally caved & ordered the soldejaneiro Bum Bum Cream. And now I finally know what all the hype is about… it smells AMAZING!!! My legs and arms even feel firmer and toned immediately after applying. The smell alone had me hooked from first sniff though: pistachio, salted caramel & vanilla whipped into a luxurious, irresistible fragrance. It's seriously intoxicating in the most delicious way! ✨ #soldejaneiro #soldejaneirobumbumcream #cheirosa62 #charleston #vacation #fyp #summer #viral #amazon #amazonassociate #amazonfind #prime #primeday","Homes are my life • Here's a glimpse into life inside my home! My Amazon Associate Must Haves: Sol de Janeiro Bum Bum Cream! I finally caved & ordered the soldejaneiro Bum Bum Cream. And now I finally know what all the hype is about… it smells AMAZING!!! My legs and arms even feel firmer and toned immediately after applying. The smell alone had me hooked from first sniff though: pistachio, salted caramel & vanilla whipped into a luxurious, irresistible fragrance. It's seriously intoxicating in the most delicious way!",2025-07-19 04:58:25,en,INSTAGRAM,soldejaneiro|soldejaneirobumbumcream|cheirosa62|charleston|vacation|fyp|summer|viral|amazon|amazonassociate|amazonfind|prime|primeday,,➡️✨,6ad1234ac4fd90ed7f1d9b28dbaf60f8,cluster_3,True,2,True,Affiliate,High,True,"Multiple strong promotional indicators present:
- Amazon affiliate link (amzn.to/46e6SCL)
- Multiple promotional hashtags (#amazonassociate, #amazon)
- Detailed product recommendation with explicit li","['#amazonassociate', '#amazon']",False,,,
