fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
17855198589426806,"  🏖🌞 Die Blissim Sommer-Doppelbox ist da! . Werbung/Unbezahlt. Mit tollen Produkten für den Sommer ⛱️. blissim.de 👉 Swipe ▶️ bitte für viele weitere Bilder, Video Blissim ist die Beauty-Box Nr.1 aus Frankreich. Jeden Monat gibt es 5 Beauty-Produkte in einer liebevoll gestalteten Box. Die Doppelbox enthält ganze 10 Beauty-Produkte in Verkaufsgröße und eine farbenfohe Tasche, Design zur Wahl. Die Sommer-Doppelbox hat einen Wert von bis zu 190€ 👏👏. Im Monatsabo bekommt ihr die Doppelbox für 35,90€ und im Jahresabo für nur 17,95€. Inhalt: ● Blissim x Petite Mendigote - Tasche ● Wildscience Bond Reconstruct Conditioner ● 23 Beauty Paris - Nagellack ● LASplash - Moonlight Glow Face Palette ● Erth Skin London - Hyaluronsäure Toner ● Merci Handy - Parfümierter Body Mist/Haarparfum. ● Huygens - Glow-Tropfen fürs Gesicht ● Shiny Date - Body Glitter Mist ● Paw Paw - Tintet Peach-Pink Balm ● Bachca - Kamm aus Plastik 👉 Als Wilkommensgeschenk für Neuabonnenten gibt es gratis:  Eine Sonnenschutz-Lotion von Supergoop, Wert 36€. Wie gefällt euch die Box ? Welches Produkt ist euer Favorit ? 👂 🔸️ 🔸️ 🔸️ #blissimde #blissimbox #blissimjuli #doppelbox #blissim #blissimdeutschland #beautybox #sommerbox #beautyaddict #summermusthaves #summervibes #metime #beautyboxunboxing #beautylover #unboxingbeauty #boxenliebe #skincareblogger_de  #summerglow","Die Blissim Sommer-Doppelbox ist da! . Werbung/Unbezahlt. Mit tollen Produkten für den Sommer . blissim.de Swipe bitte für viele weitere Bilder, Video Blissim ist die Beauty-Box Nr.1 aus Frankreich. Jeden Monat gibt es 5 Beauty-Produkte in einer liebevoll gestalteten Box. Die Doppelbox enthält ganze 10 Beauty-Produkte in Verkaufsgröße und eine farbenfohe Tasche, Design zur Wahl. Die Sommer-Doppelbox hat einen Wert von bis zu 190€ . Im Monatsabo bekommt ihr die Doppelbox für 35,90€ und im Jahresabo für nur 17,95€. Inhalt: ● Blissim x Petite Mendigote - Tasche ● Wildscience Bond Reconstruct Conditioner ● 23 Beauty Paris - Nagellack ● LASplash - Moonlight Glow Face Palette ● Erth Skin London - Hyaluronsäure Toner ● Merci Handy - Parfümierter Body Mist/Haarparfum. ● Huygens - Glow-Tropfen fürs Gesicht ● Shiny Date - Body Glitter Mist ● Paw Paw - Tintet Peach-Pink Balm ● Bachca - Kamm aus Plastik Als Wilkommensgeschenk für Neuabonnenten gibt es gratis: Eine Sonnenschutz-Lotion von Supergoop, Wert 36€. Wie gefällt euch die Box ? Welches Produkt ist euer Favorit ?",2025-07-14 07:46:22,de,INSTAGRAM,blissimde|blissimbox|blissimjuli|doppelbox|blissim|blissimdeutschland|beautybox|sommerbox|beautyaddict|summermusthaves|summervibes|metime|beautyboxunboxing|beautylover|unboxingbeauty|boxenliebe|skincareblogger_de|summerglow,,🏖👂⛱️👉▶️👏🔸🌞,8749ebc548e44907783e5f52ccf15f52,,False,1,True,Affiliate,Medium,False,"- Detailed product promotion for Blissim beauty box
- Includes specific product list and pricing details
- Mentions free Supergoop sunscreen as welcome gift
- Uses multiple promotional hashtags
- Cont",[],False,,,
1944788000891932722,"  Supergoop! Unseen Sunscreen - SPF 40 - .5 fl oz - Invisible, ... https://t.co/9TIG1c8tBU #Amazon","Supergoop! Unseen Sunscreen - SPF 40 - .5 fl oz - Invisible, ...",2025-07-14 15:56:06,en,TWITTER,Amazon,,,da5250e8992e95142d72442f1b8d59f6,cluster_1,True,6,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/9TIG1c8tBU), which is likely an Amazon affiliate link
- Includes specific product details (Supergoop! Unseen Sunscreen, SPF 40, .5 fl oz)
- Uses an Amazon hash","['https://t.co/9TIG1c8tBU),']",False,,,
1944788188884508849,  Supergoop! Glow Stick SPF 50-1.23oz (35g) https://t.co/NCU9LKyGqn #Amazon,Supergoop! Glow Stick SPF 50-1.23oz (35g),2025-07-14 15:56:51,en,TWITTER,Amazon,,,caa1c7670dc925f5f8a524428e9c0a92,cluster_3,True,3,True,Affiliate,Medium,True,"Contains a shortened URL (t.co link), direct product name and specific product details, and uses an Amazon hashtag, suggesting affiliate marketing intent",[],False,,,
1944788333374378002,  Supergoop! PLAY Antioxidant Body Mist SPF 50 with Vitamin C -... https://t.co/QwDeq7CVTq #Amazon,Supergoop! PLAY Antioxidant Body Mist SPF 50 with Vitamin C -...,2025-07-14 15:57:25,en,TWITTER,Amazon,,,c4915cf226c2b166775a846ac22edde4,cluster_2,True,6,True,Affiliate,Medium,True,"- Contains a direct product link to Amazon
- Includes specific Supergoop! product name (PLAY Antioxidant Body Mist SPF 50)
- Uses a shortened URL (https://t.co/QwDeq7CVTq) which suggests potential tra",['https://t.co/QwDeq7CVTq)'],False,,,
1944891603556172111,  Supergoop! Glow Stick SPF 50-1.23oz (35g) https://t.co/NCU9LKzefV #Amazon,Supergoop! Glow Stick SPF 50-1.23oz (35g),2025-07-14 22:47:47,en,TWITTER,Amazon,,,caa1c7670dc925f5f8a524428e9c0a92,cluster_3,False,3,True,Affiliate,Medium,True,"Contains a shortened URL (t.co link), direct product name and specific product details, and uses an Amazon hashtag, suggesting affiliate marketing intent",[],True,True,Medium,3.652134895324707
1944891912558927958,  Supergoop! Superscreen Daily Moisturizer SPF 40-1.7oz (50ml) https://t.co/ErjNfD9Zbm #Amazon,Supergoop! Superscreen Daily Moisturizer SPF 40-1.7oz (50ml),2025-07-14 22:49:00,en,TWITTER,Amazon,,,b033c54bb426d3cd2a518efe576dce3a,cluster_5,True,2,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/ErjNfD9Zbm), which suggests an affiliate or tracking link
- Directly mentions a specific Supergoop! product with precise details (Superscreen Daily Moisturizer","['https://t.co/ErjNfD9Zbm),']",False,,,
mov_21C35D58D991664B178A34B79834649D,"  Scouted selects products independently. If you purchase something from our posts, we may earn a small commission. Amazon Prime Day is over, but the new Black Friday in July tradition is still going strong. Nordstrom's 2025 Anniversary sale is basically the grand finale of the deal-packed month and will be live through Aug. 3. The Nordstrom Anniversary sale has been shoppable for select cardholders who get early access to the deals for a week now, but now it's open to the public. This is Nordstrom's biggest (and most anticipated) sale of the year—it's on par with their post-Thanksgiving deals. As per usual, Nordstrom's Anniversary sale catalog includes thousands of steep discounts across all categories, including designer clothing, luxury beauty exclusives, and elevated home decor staples from customer-favorite brands like La Mer, Barefoot Dreams, Allsaints, and Levi's, marked down up to 60 percent off. Plus, this year, Nordstrom has added over 100 new brands to the sale catalog that were off-limits in previous years, including Supergoop, Benefit, Osea, Moccamaster, Farm Rio, Naked Wardrobe, Proenza Schouler White Label, Cult Gaia, and L'Agence. Of course, there are also plenty of under $100 buys to score as well, including from brands like Augustinus Bader, Ugg, Spanx, T3, and New Balance. Items return to full price after Aug. 3, but in the past, popular items have sold out before the sale ends, so be sure to shop the sale ASAP. Scroll through below to check out a few of our favorite Nordstrom Anniversary Sale scores we're adding to our carts. SPANXshape EveryWear Pull-On High Waist Wide Leg JeansDown From $148Shapewear meets denim? Yes, please. See At Nordstrom$99 Free Shipping Augustinus Bader The Rich Cream Mini Skin Care RoutineDown From $232Find out why beauty editors are obsessed with Bader's stem cell-powered skincare line with this sample set. See At Nordstrom$98 Free Shipping Ugg Whitecap Fleece ThrowDown From $98Invest in your cozy season lineup but fall weather hits. See At Nordstrom$70 Free Shipping Bonobos Stretch Weekday Warrior Slim Fit Dress PantsThe ultimate office-friendly bottoms that are actually comfortable. See At Nordstrom$80 Free Shipping Diptyque Iconic Candle Gift Set (Anniversary Exclusive)Down From $138This trio of bestselling scented candles is a steal. See At Nordstrom$92 Free Shipping Glow24k Skin Rejuvenation Beauty Device for Face & Neck +Conductive Hydra GelDown From $99This triple-threat anti-aging device helps boost circulation and lymphatic drainage for an instant glow. See At Nordstrom$66 Free Shipping Wayf Maddox Belted BlazerA sexier take on the classic boyfriend blazer. See At Nordstrom$90 Free Shipping JW Pei Orla Woven Faux Suede ClutchDown From $139This luxe under $100 handbag looks like it costs triple the price. See At Nordstrom$90 Free Shipping The post appeared first on The Daily Beast.","Scouted selects products independently. If you purchase something from our posts, we may earn a small commission. Amazon Prime Day is over, but the new Black Friday in July tradition is still going strong. Nordstrom's 2025 Anniversary sale is basically the grand finale of the deal-packed month and will be live through Aug. 3. The Nordstrom Anniversary sale has been shoppable for select cardholders who get early access to the deals for a week now, but now it's open to the public. This is Nordstrom's biggest (and most anticipated) sale of the year—it's on par with their post-Thanksgiving deals. As per usual, Nordstrom's Anniversary sale catalog includes thousands of steep discounts across all categories, including designer clothing, luxury beauty exclusives, and elevated home decor staples from customer-favorite brands like La Mer, Barefoot Dreams, Allsaints, and Levi's, marked down up to 60 percent off. Plus, this year, Nordstrom has added over 100 new brands to the sale catalog that were off-limits in previous years, including Supergoop, Benefit, Osea, Moccamaster, Farm Rio, Naked Wardrobe, Proenza Schouler White Label, Cult Gaia, and L'Agence. Of course, there are also plenty of under $100 buys to score as well, including from brands like Augustinus Bader, Ugg, Spanx, T3, and New Balance. Items return to full price after Aug. 3, but in the past, popular items have sold out before the sale ends, so be sure to shop the sale ASAP. Scroll through below to check out a few of our favorite Nordstrom Anniversary Sale scores we're adding to our carts. SPANXshape EveryWear Pull-On High Waist Wide Leg JeansDown From $148Shapewear meets denim? Yes, please. See At Nordstrom$99 Free Shipping Augustinus Bader The Rich Cream Mini Skin Care RoutineDown From $232Find out why beauty editors are obsessed with Bader's stem cell-powered skincare line with this sample set. See At Nordstrom$98 Free Shipping Ugg Whitecap Fleece ThrowDown From $98Invest in your cozy season lineup but fall weather hits. See At Nordstrom$70 Free Shipping Bonobos Stretch Weekday Warrior Slim Fit Dress PantsThe ultimate office-friendly bottoms that are actually comfortable. See At Nordstrom$80 Free Shipping Diptyque Iconic Candle Gift Set (Anniversary Exclusive)Down From $138This trio of bestselling scented candles is a steal. See At Nordstrom$92 Free Shipping Glow24k Skin Rejuvenation Beauty Device for Face & Neck +Conductive Hydra GelDown From $99This triple-threat anti-aging device helps boost circulation and lymphatic drainage for an instant glow. See At Nordstrom$66 Free Shipping Wayf Maddox Belted BlazerA sexier take on the classic boyfriend blazer. See At Nordstrom$90 Free Shipping JW Pei Orla Woven Faux Suede ClutchDown From $139This luxe under $100 handbag looks like it costs triple the price. See At Nordstrom$90 Free Shipping The post appeared first on The Daily Beast.",2025-07-15 06:57:17,en,WEB,,,,c4e86e6d825a61189582a7b73b646843,,False,1,True,Affiliate,Medium,False,"- Part of a broader sales roundup article about Nordstrom Anniversary Sale
- Explicitly mentions Supergoop! as one of the new brands added to the sale catalog
- Contains product recommendations and sh",[],False,,,
1945175639629214109,  SPF sale: This Supergoop! set is editor-approved and discounted at Nordstrom https://t.co/V4Rc93bz6d https://t.co/anGnsZ8pGl,SPF sale: This Supergoop! set is editor-approved and discounted at Nordstrom,2025-07-15 17:36:26,en,TWITTER,,,,5f446d9c074d1b45796d3f12de65c29f,,False,1,True,Affiliate,High,True,"- Contains direct product mention of Supergoop! 
- Includes sales language (""SPF sale"")
- References specific retailer (Nordstrom)
- Uses shortened URL which is typical of affiliate/tracking links
- I",[],False,,,
1945320001235509606,  Supergoop! PLAY Antioxidant Body Mist SPF 50 with Vitamin C -... https://t.co/QwDeq7CVTq #Amazon,Supergoop! PLAY Antioxidant Body Mist SPF 50 with Vitamin C -...,2025-07-16 03:10:05,en,TWITTER,Amazon,,,c4915cf226c2b166775a846ac22edde4,cluster_2,False,6,True,Affiliate,Medium,True,"- Contains a direct product link to Amazon
- Includes specific Supergoop! product name (PLAY Antioxidant Body Mist SPF 50)
- Uses a shortened URL (https://t.co/QwDeq7CVTq) which suggests potential tra",['https://t.co/QwDeq7CVTq)'],True,True,Medium,4.703636169433594
1945320147235037214,"  Supergoop! Unseen Sunscreen - SPF 40 - .5 fl oz - Invisible, ... https://t.co/9TIG1c8tBU #Amazon","Supergoop! Unseen Sunscreen - SPF 40 - .5 fl oz - Invisible, ...",2025-07-16 03:10:40,en,TWITTER,Amazon,,,da5250e8992e95142d72442f1b8d59f6,cluster_1,False,6,True,Affiliate,Medium,True,"- Contains a shortened URL (https://t.co/9TIG1c8tBU), which is likely an Amazon affiliate link
- Includes specific product details (Supergoop! Unseen Sunscreen, SPF 40, .5 fl oz)
- Uses an Amazon hash","['https://t.co/9TIG1c8tBU),']",True,True,Medium,3.273030996322632
