fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,content_hash,cluster_id,is_representative,repetition_count,is_promotional,promo_type,promotional_intensity,has_affiliate_links,reasoning,keywords,result_propagated,relevant,confidence,processing_time
1944788704469434418,  Ryan Destiny stuns for YSL : AB + DM https://t.co/w4TG0cV0yb,Ryan Destiny stuns for YSL : AB + DM,2025-07-14 15:58:54,en,TWITTER,,,,7360c26e2df9b68b5cd857a0d2d8016b,,False,1,True,Influencer,Medium,False,"- Mentions a celebrity (Ryan Destiny) in connection with YSL
- Includes a shortened URL (potential media link)
- Appears to be referencing a photoshoot or campaign featuring the celebrity
- Looks like",[],False,,,
mov_90038FFE07E8074FD470EDFC9F91B5DA,"  Why yes, you should add a purple Xbox controller to your cart. 1. A set of two lightweight tinted lip balms with a touch of gloss that'll be perfect for anyone who wants to add some color to their pout but keep it looking au natural. It's super similar to the viral Clinique Almost Lipstick Tinted Lip Balm but costs shockingly less. My coworker Emma Lord has and loves this: ""I bought this because I crave that Black Honey and will buy it until the day I die, but I am always paranoid of losing it, so I almost never let it leave my bag. I have tried probably five or six ""almost"" versions of Black Honey that came close, but this one genuinely spooked me. It has the same easy glide, same buildability, and the same refreshingly hydrating effect. It was a two-pack so I gave one to my BFF, another Black Honey fan, who also could not detect the difference!"" Promising review: ""Love this! Adds just a touch of color, which is what I wanted, and is nicely moisturizing, too."" —Joan Modisette Get a set of two from Amazon for $5.94+ (available in five shades). 2. Dossier's ""Ambery Vanilla"" perfume for anyone who tried the sample size of YSL's Black Opium and fell in love with it but simply doesn't have $95 to spend on smelling lovely. Luckily for you, this one is super similar and will leave you with enough money left to *also* treat yourself to lunch. Dossier is a small business that specializes in alternative, affordable perfumes — check out the rest of their options on their Amazon storefront! I recently tried their Fruity Jasmine scent (which is inspired by Dior's J'Adore perfume) and basically want to soak my entire body in it. It smells absolutely divine and I can't wait to try out more of their scents. Promising review: ""Gorgeous scent! I love perfumes, and I'm super picky. I either love or return. This scent is gorgeous. Smells a bit sweet but not overly sweet, not super vanilla, just a hint of it with sophistication. Very soft and sultry. I applied moisturizer (thin, thin layer of Vaseline) and then sprayed perfume. It stayed on my skin for probably over eight hours. I checked my sweater the next day, you could easily smell it on my sweater. Definitely worth the money."" —Amazon Customer Get it from Amazon for $29+ (available in two sizes). 3. Olay Super Serum Body Wash made with niacinamide, shea butter, and collagen peptides and will deliver 24 hours (!!!) of hydration — aka everything you'd want in a revitalizing skin smoothie. Aaaaand, every shower you take will feel like a luxurious spa moment! Check out a TikTok of the Olay Super Serum Body Wash in action. Promising review: ""I recently tried the Olay Super Serum Body Wash, and I am absolutely in love with it! The formula is incredibly hydrating, leaving my skin feeling soft and smooth after every use. It lathers beautifully and has a lovely, light fragrance that isn't overpowering. After just a few uses, I noticed my skin looked more radiant and felt deeply moisturized. The addition of serums in the body wash is a game changer. My skin feels nourished, and I no longer need to apply lotion right after showering. Highly recommend this to anyone looking for a luxurious, skin-loving body wash!"" —Darina Get it from Amazon for $12.97. 4. Glitter-infused highlighters, so the next time you get the urge to annotate your already worn-down copy of Pride and Prejudice, you can do so with the kind of flair Jane Austen deserves. You better believe I'm reserving shimmery red for Mr. Darcy. Promising review: ""These colors are beautiful and the sparkles are unreal! The glitter does rub off a bit, which some people might mind, but I don't. I haven't used them much, so I can't speak to their longevity, but they are a gorgeous mix of vibrant and pastel colors, quick-drying, and the shine is even better in person.""...","Why yes, you should add a purple Xbox controller to your cart. 1. A set of two lightweight tinted lip balms with a touch of gloss that'll be perfect for anyone who wants to add some color to their pout but keep it looking au natural. It's super similar to the viral Clinique Almost Lipstick Tinted Lip Balm but costs shockingly less. My coworker Emma Lord has and loves this: ""I bought this because I crave that Black Honey and will buy it until the day I die, but I am always paranoid of losing it, so I almost never let it leave my bag. I have tried probably five or six ""almost"" versions of Black Honey that came close, but this one genuinely spooked me. It has the same easy glide, same buildability, and the same refreshingly hydrating effect. It was a two-pack so I gave one to my BFF, another Black Honey fan, who also could not detect the difference!"" Promising review: ""Love this! Adds just a touch of color, which is what I wanted, and is nicely moisturizing, too."" —Joan Modisette Get a set of two from Amazon for $5.94+ (available in five shades). 2. Dossier's ""Ambery Vanilla"" perfume for anyone who tried the sample size of YSL's Black Opium and fell in love with it but simply doesn't have $95 to spend on smelling lovely. Luckily for you, this one is super similar and will leave you with enough money left to *also* treat yourself to lunch. Dossier is a small business that specializes in alternative, affordable perfumes — check out the rest of their options on their Amazon storefront! I recently tried their Fruity Jasmine scent (which is inspired by Dior's J'Adore perfume) and basically want to soak my entire body in it. It smells absolutely divine and I can't wait to try out more of their scents. Promising review: ""Gorgeous scent! I love perfumes, and I'm super picky. I either love or return. This scent is gorgeous. Smells a bit sweet but not overly sweet, not super vanilla, just a hint of it with sophistication. Very soft and sultry. I applied moisturizer (thin, thin layer of Vaseline) and then sprayed perfume. It stayed on my skin for probably over eight hours. I checked my sweater the next day, you could easily smell it on my sweater. Definitely worth the money."" —Amazon Customer Get it from Amazon for $29+ (available in two sizes). 3. Olay Super Serum Body Wash made with niacinamide, shea butter, and collagen peptides and will deliver 24 hours (!!!) of hydration — aka everything you'd want in a revitalizing skin smoothie. Aaaaand, every shower you take will feel like a luxurious spa moment! Check out a TikTok of the Olay Super Serum Body Wash in action. Promising review: ""I recently tried the Olay Super Serum Body Wash, and I am absolutely in love with it! The formula is incredibly hydrating, leaving my skin feeling soft and smooth after every use. It lathers beautifully and has a lovely, light fragrance that isn't overpowering. After just a few uses, I noticed my skin looked more radiant and felt deeply moisturized. The addition of serums in the body wash is a game changer. My skin feels nourished, and I no longer need to apply lotion right after showering. Highly recommend this to anyone looking for a luxurious, skin-loving body wash!"" —Darina Get it from Amazon for $12.97. 4. Glitter-infused highlighters, so the next time you get the urge to annotate your already worn-down copy of Pride and Prejudice, you can do so with the kind of flair Jane Austen deserves. You better believe I'm reserving shimmery red for Mr. Darcy. Promising review: ""These colors are beautiful and the sparkles are unreal! The glitter does rub off a bit, which some people might mind, but I don't. I haven't used them much, so I can't speak to their longevity, but they are a gorgeous mix of vibrant and pastel colors, quick-drying, and the shine is even better in person.""...",2025-07-15 03:31:02,en,WEB,,,,8747c34f5e4675cdf10d33dcd4cbb15f,,False,1,True,Affiliate,Medium,True,"- Contains direct Amazon product links with pricing
- Mentions specific Dossier perfume as a YSL ""alternative""
- Provides detailed product descriptions with personal anecdotes
- Includes promising rev",[],False,,,
mov_84466237B6F89CE90DE79423A986D907,"  There's so many great value deals available at Debenhams right now. (Debenhams / Yahoo Life UK) Debenhams has launched a huge summer sale, discounting prices by up to 75% across everything from midi dresses to dehumidifiers, raincoats to garden furniture, giving you the perfect excuse to snap up a bargain. And with over 1,000 deals up for grabs, there couldn't be more choice. A few standout deals include a ridiculous 75% off this best-selling Three Layer Cosmetic Makeup Storage Organiser, described by shoppers as ""super stylish"" and complete with ""great sized compartments"", as well as a £119 saving on this Neo 4 Piece Wicker Bamboo Style Garden Sofa, Table & Chairs Set, great for hosting the entire family this summer. Elsewhere in the home department, there's big savings on fans, dehumidifiers, ice makers and more. ð Go straight to the Debenhams sale ð️ Shop womenswear sale ð️ Shop dress sale ð️ Shop menswear sale ð️ Shop home and garden sale ð️ Shop beauty and perfume sale As far as fashion is concerned, there's a whole range of styles on sale. A number of Jolie Moi dresses have been significantly discounted, including this best-selling Chelsea Pleated Chiffon Dip Hem Maxi Dress, that's now available for just £49, down from £79, as well as this Regatta 'Elender' Longline Puffer Jacket, perfect for random spots of summer rainfall and now £39 down from £130. To help you bag the biggest savings, we've whittled down thousands of deals to bring you our edit of the best bargains to shop now. ✨Top deals from the Debenhams sale✨ Debenhams £39£130Save £91 Perfect for the odd spots of rain during summer, and even better for later in the year during autumn and winter, this longline puffer comes in a range of colours and offers premium insulation, a water-repellent coating and snug hood and collar. Debenhams £89£140Save £51 This great value fragrance bundle from YSL contains a generous 90ml bottle of Black Opium, complete with a travel-friendly 10ml bottle, and matching high-shine lipstick. It would make the perfect gift. Debenhams £49£79Save £30 Ideal for a summer occasion, this floral dress features a floaty silhouette, with short airy sleeves, a cinched-in waist, and asymmetric hem. Debenhams £150£270Save £120 An inviting sofa set that looks a lot more expensive than it actually is, it comes complete with a matching glass-top coffee table and two armchair, and is designed in a gorgeous wicker style. Debenhams £170£240Save £70 Breeze through summer with this simple yet sophisticated tower fan. Debenhams £48£120Save £72 Great for camping, this oversized robe will give you freedom of movement as you change from wet clothes into something clean and dry. It's ideal if you love the outdoors. Similar styles often cost upwards of £100. Debenhams £39£85Save £46 Snap up this waterproof practical jacket for a bargain price in the sale. Throw it on for dog walks, running errands, the school run, you name it. Debenhams £157£190Save £33 This is one of the most affordable hanging egg chair we've come across this year. Sit back and relax in style this summer. Debenhams £55£80Save £25 Bag an entire matching set of suitcases for less with this fantastic offer, available in a choice of six colours, and designed with a hardshell casing, durable zipper and fully lined interior. Debenhams £19£40Save £21...","There's so many great value deals available at Debenhams right now. (Debenhams / Yahoo Life UK) Debenhams has launched a huge summer sale, discounting prices by up to 75% across everything from midi dresses to dehumidifiers, raincoats to garden furniture, giving you the perfect excuse to snap up a bargain. And with over 1,000 deals up for grabs, there couldn't be more choice. A few standout deals include a ridiculous 75% off this best-selling Three Layer Cosmetic Makeup Storage Organiser, described by shoppers as ""super stylish"" and complete with ""great sized compartments"", as well as a £119 saving on this Neo 4 Piece Wicker Bamboo Style Garden Sofa, Table & Chairs Set, great for hosting the entire family this summer. Elsewhere in the home department, there's big savings on fans, dehumidifiers, ice makers and more. ð Go straight to the Debenhams sale ð Shop womenswear sale ð Shop dress sale ð Shop menswear sale ð Shop home and garden sale ð Shop beauty and perfume sale As far as fashion is concerned, there's a whole range of styles on sale. A number of Jolie Moi dresses have been significantly discounted, including this best-selling Chelsea Pleated Chiffon Dip Hem Maxi Dress, that's now available for just £49, down from £79, as well as this Regatta 'Elender' Longline Puffer Jacket, perfect for random spots of summer rainfall and now £39 down from £130. To help you bag the biggest savings, we've whittled down thousands of deals to bring you our edit of the best bargains to shop now. Top deals from the Debenhams sale Debenhams £39£130Save £91 Perfect for the odd spots of rain during summer, and even better for later in the year during autumn and winter, this longline puffer comes in a range of colours and offers premium insulation, a water-repellent coating and snug hood and collar. Debenhams £89£140Save £51 This great value fragrance bundle from YSL contains a generous 90ml bottle of Black Opium, complete with a travel-friendly 10ml bottle, and matching high-shine lipstick. It would make the perfect gift. Debenhams £49£79Save £30 Ideal for a summer occasion, this floral dress features a floaty silhouette, with short airy sleeves, a cinched-in waist, and asymmetric hem. Debenhams £150£270Save £120 An inviting sofa set that looks a lot more expensive than it actually is, it comes complete with a matching glass-top coffee table and two armchair, and is designed in a gorgeous wicker style. Debenhams £170£240Save £70 Breeze through summer with this simple yet sophisticated tower fan. Debenhams £48£120Save £72 Great for camping, this oversized robe will give you freedom of movement as you change from wet clothes into something clean and dry. It's ideal if you love the outdoors. Similar styles often cost upwards of £100. Debenhams £39£85Save £46 Snap up this waterproof practical jacket for a bargain price in the sale. Throw it on for dog walks, running errands, the school run, you name it. Debenhams £157£190Save £33 This is one of the most affordable hanging egg chair we've come across this year. Sit back and relax in style this summer. Debenhams £55£80Save £25 Bag an entire matching set of suitcases for less with this fantastic offer, available in a choice of six colours, and designed with a hardshell casing, durable zipper and fully lined interior. Debenhams £19£40Save £21...",2025-07-15 11:54:31,en,WEB,,,✨,bada7b8670adf8fbc99b4d98551f8c28,,False,1,True,Affiliate,Medium,False,"- Contains multiple direct product mentions for YSL fragrance
- Includes specific product details and pricing for YSL Black Opium fragrance bundle
- Part of a broader Debenhams sale roundup with multi",[],False,,,
18080536240877281,"  SPR_COMBO[pt]🔹 Y‑Not (Moments Paris) — inspirado no Y de YSL •É descrito pela Moments Paris como “a fragrância de quem tem coragem de ir além. Inspirado no sofisticado Y de Yves Saint Laurent” ￼. •Trata-se de um contratipo/parfum inspirado na versão masculina Y de YSL, lançada em 1964 como chypre frutado, com notas de aldeídos, galbanum, florais – e base amadeirada (oakmoss, patchouli, vetiver) Saiba mais!! +55 4499746-0859 #aceleramoments #jeanrose #hinode #ameicosmeticos #jeunesse #lucilucioficial #atlãnticanatural #ozontech #markadapaz #luciluci #natureglobal #avon #natura #jequiti #tupeware #cafémarita #amakaparis #twoco #chanceller #revendedores #empreendedores #bemestar #consumoconsciente #escolhassaudáveis #informaçãoimportante #hábitossaudáveis #uber #99 #aplicativos #motoristalucra","SPR_COMBO[pt] Y‑Not (Moments Paris) — inspirado no Y de YSL •É descrito pela Moments Paris como “a fragrância de quem tem coragem de ir além. Inspirado no sofisticado Y de Yves Saint Laurent” ￼. •Trata-se de um contratipo/parfum inspirado na versão masculina Y de YSL, lançada em 1964 como chypre frutado, com notas de aldeídos, galbanum, florais – e base amadeirada (oakmoss, patchouli, vetiver) Saiba mais!! +55 4499746-0859",2025-07-15 20:25:13,pt,INSTAGRAM,aceleramoments|jeanrose|hinode|ameicosmeticos|jeunesse|lucilucioficial|atlãnticanatural|ozontech|markadapaz|luciluci|natureglobal|avon|natura|jequiti|tupeware|cafémarita|amakaparis|twoco|chanceller|revendedores|empreendedores|bemestar|consumoconsciente|escolhassaudáveis|informaçãoimportante|hábitossaudáveis|uber|99|aplicativos|motoristalucra,,🔹,6e86e8035b5b676c8b485d9ad5a9a596,,False,1,True,Affiliate,High,False,"- Contains multiple promotional hashtags from multiple brands (#hinode, #jeunesse, #avon, #natura, etc.)
- Includes direct contact number for sales (+55 4499746-0859)
- Detailed product description th","['#hinode', '#jeunesse', '#avon', '#natura']",False,,,
18091571842642117,"  SPR_COMBO[pt]🔹 Y‑Not (Moments Paris) — inspirado no Y de YSL •É descrito pela Moments Paris como “a fragrância de quem tem coragem de ir além. Inspirado no sofisticado Y de Yves Saint Laurent” ￼. •Trata-se de um contratipo/parfum inspirado na versão masculina Y de YSL, lançada em 1964 como chypre frutado, com notas de aldeídos, galbanum, florais – e base amadeirada (oakmoss, patchouli, vetiver) Saiba mais!! +5531995031264 #aceleramoments #jeanrose #hinode #ameicosmeticos #jeunesse #lucilucioficial #atlãnticanatural #ozontech #markadapaz #luciluci #natureglobal #avon #natura #jequiti #tupeware #cafémarita #amakaparis #twoco #chanceller #revendedores #empreendedores #bemestar #consumoconsciente #escolhassaudáveis #informaçãoimportante #hábitossaudáveis #uber #99 #aplicativos #motoristalucra","SPR_COMBO[pt] Y‑Not (Moments Paris) — inspirado no Y de YSL •É descrito pela Moments Paris como “a fragrância de quem tem coragem de ir além. Inspirado no sofisticado Y de Yves Saint Laurent” ￼. •Trata-se de um contratipo/parfum inspirado na versão masculina Y de YSL, lançada em 1964 como chypre frutado, com notas de aldeídos, galbanum, florais – e base amadeirada (oakmoss, patchouli, vetiver) Saiba mais!! +5531995031264",2025-07-15 20:33:15,pt,INSTAGRAM,aceleramoments|jeanrose|hinode|ameicosmeticos|jeunesse|lucilucioficial|atlãnticanatural|ozontech|markadapaz|luciluci|natureglobal|avon|natura|jequiti|tupeware|cafémarita|amakaparis|twoco|chanceller|revendedores|empreendedores|bemestar|consumoconsciente|escolhassaudáveis|informaçãoimportante|hábitossaudáveis|uber|99|aplicativos|motoristalucra,,🔹,aeb637498503549c7058e08017683283,,False,1,True,Affiliate,High,False,"- Contains multiple brand-specific hashtags related to multiple product lines
- Detailed product description of a YSL fragrance (Y-Not)
- Includes contact number for direct sales (+5531995031264)
- Ex",[],False,,,
1945291779370057962,  SPR_COMBO[th]⭐️ YSL Beauty ลง ig story ยั่วน้ำลายชูตใหม่ขอองออสตินกับแคมเปญ MYSLF https://t.co/CFUr9PR7Fs,SPR_COMBO[th] YSL Beauty ลง ig story ยั่วน้ำลายชูตใหม่ขอองออสตินกับแคมเปญ MYSLF,2025-07-16 01:17:56,th,TWITTER,,,⭐,c9727862978c520ab33eed7020fa2a69,,False,1,True,Brand_Official,Medium,False,"- Direct brand mention
- Campaign reference suggests official/promotional content
- URL could be campaign-related link
- Appears to be discussing YSL Beauty's social media content",[],False,,,
1945457515640095104,  爆買いしたった🤣 SENSAIの美容液使うの楽しみだな！ 紫耀くんYSLの香水もやっとお迎え👍 NARSのパウダーはまとめ買い！！ ほぼヒロ買い🤣 伊勢丹最高😆 #小田切ヒロ #yslbeautyxshohirano #SENSAI #NARS #ヒロ買い https://t.co/x1NefKe0iM,爆買いしたった SENSAIの美容液使うの楽しみだな！ 紫耀くんYSLの香水もやっとお迎え NARSのパウダーはまとめ買い！！ ほぼヒロ買い 伊勢丹最高,2025-07-16 12:16:31,ja,TWITTER,小田切ヒロ|yslbeautyxshohirano|SENSAI|NARS|ヒロ買い,,😆🤣👍,d6ceeff30864c929ca159c161155c6c0,,False,1,True,Influencer,Medium,False,"- Contains branded hashtag #yslbeautyxshohirano suggesting collaboration
- Mentions multiple beauty brands (YSL, SENSAI, NARS)
- Appears to be content from an influencer (小田切ヒロ) showcasing product pur",['#yslbeautyxshohirano'],False,,,
1945508151345688930,  Don't blink—YSL Lash Clash Duo just hit the Nordstrom Sale for $44 https://t.co/x7GV3uam1r https://t.co/MZMcIkayjV,Don't blink—YSL Lash Clash Duo just hit the Nordstrom Sale for $44,2025-07-16 15:37:43,en,TWITTER,,,,7c1308f0a58a54642362792b0f9a42a1,,False,1,True,Influencer,Medium,True,"- Contains direct product mention (YSL Lash Clash Duo)
- Includes specific pricing information (",[],False,,,
1945751279696859205,  PR #Number_i #平野紫耀 予約はじまってる！ YSL ラブシャイン キャンディ グロウ バーム amazon一覧🔻 https://t.co/7leHb925z6 紫耀くん使用カラーは1B イブサンローランのリップ💄 欲しい💞 アジア アンバサダー平野紫耀 YSL日本人 初となる店頭ビジュ💞 07/17 16:43,PR 予約はじまってる！ YSL ラブシャイン キャンディ グロウ バーム amazon一覧 紫耀くん使用カラーは1B イブサンローランのリップ 欲しい アジア アンバサダー平野紫耀 YSL日本人 初となる店頭ビジュ 07/17 16:43,2025-07-17 07:43:50,ja,TWITTER,Number_i|平野紫耀,,🔻💞💄,c6c9a9ac21d2d89982550286726e685e,,False,1,True,Influencer,High,True,"Multiple strong promotional indicators present:
- Contains Amazon affiliate link
- Uses PR hashtag (#PR)
- Mentions YSL brand ambassador (平野紫耀)
- Includes direct product link to YSL Lip product
- Appe",['#PR'],False,,,
mov_19906C9850F9F0B2C94BF135E6B91694,"  SPR_COMBO[zh-tw]記者羅玉如∕台南報導
新光三越台南新天地秋季化妝品節十八日登場。 除提供光澤感彩妝、逆齡修護、秋季關鍵護膚等早秋保養彩妝流行資訊，也結合霸氣一夏卡利HIGH回饋。 同期還有流行服飾夏換季最後出清。 台南新天地指出，秋季化妝品節推薦LANCOME超緊顏醇肽三效精華、SK-II凝時金緻乳霜、ESTEE LAUDER白金級黑鑽松露奇蹟凝露、LA MER超能平衡精華露。 LANCOME超緊顏醇肽三效精華，號稱首創塗抹式肉毒，結合維他命Ｃ、Ａ醇、胜肽等三大抗老成分。 SK-II凝時金緻乳霜，與世界知名皮膚科學家合作，加入水解黃金蠶絲，增強肌膚內聚力。 秋冬美妝新趨勢，主打微光感底妝。 首推YSL超模光感精華水氣墊、GIORGIO ARMANI輕透亮絲亮彩漂染腮紅露、TOM FORD超模黑跟緞光唇膏、DIOR迪奧超完美柔光蜜粉餅。 YSL超模光感精華水氣墊，強調注入百分之六十水光精華的粉凝質地，搭配獨家奈米極細網紗，呈現輕盈無瑕效果。 GIORGIO ARMANI輕透亮絲亮彩漂染腮紅露，以獨家水感漂染綻彩粒子訂製鮮豔明亮色彩，絲光輕紗質地，打造自然、持久的完美頰彩。",SPR_COMBO[zh-tw]記者羅玉如∕台南報導 新光三越台南新天地秋季化妝品節十八日登場。 除提供光澤感彩妝、逆齡修護、秋季關鍵護膚等早秋保養彩妝流行資訊，也結合霸氣一夏卡利HIGH回饋。 同期還有流行服飾夏換季最後出清。 台南新天地指出，秋季化妝品節推薦LANCOME超緊顏醇肽三效精華、SK-II凝時金緻乳霜、ESTEE LAUDER白金級黑鑽松露奇蹟凝露、LA MER超能平衡精華露。 LANCOME超緊顏醇肽三效精華，號稱首創塗抹式肉毒，結合維他命Ｃ、Ａ醇、胜肽等三大抗老成分。 SK-II凝時金緻乳霜，與世界知名皮膚科學家合作，加入水解黃金蠶絲，增強肌膚內聚力。 秋冬美妝新趨勢，主打微光感底妝。 首推YSL超模光感精華水氣墊、GIORGIO ARMANI輕透亮絲亮彩漂染腮紅露、TOM FORD超模黑跟緞光唇膏、DIOR迪奧超完美柔光蜜粉餅。 YSL超模光感精華水氣墊，強調注入百分之六十水光精華的粉凝質地，搭配獨家奈米極細網紗，呈現輕盈無瑕效果。 GIORGIO ARMANI輕透亮絲亮彩漂染腮紅露，以獨家水感漂染綻彩粒子訂製鮮豔明亮色彩，絲光輕紗質地，打造自然、持久的完美頰彩。,2025-07-17 13:52:15,zh-tw,WEB,,,,f4924b39969e637ca67059b8776eda8f,,False,1,True,Brand_Official,Medium,False,"- This appears to be a news/press article about a cosmetics seasonal event
- Specifically mentions YSL product (YSL超模光感精華水氣墊) in a product roundup
- Written in traditional Chinese, seems to be from a ",[],False,,,
